date,baseline,overlay,scalar
2007-05-24,287506.9199580195,283739.8206516194,1.0
2007-05-25,289826.7256391203,286029.23075694236,1.0
2007-05-29,288186.3913781432,284410.38920319366,1.0
2007-05-30,291368.82572975743,287538.5623229406,0.996
2007-05-31,290366.9733737379,286557.789531256,0.992
2007-06-01,291104.8009711301,287280.11273821036,0.992
2007-06-04,294327.49193910224,290409.57670158974,0.984
2007-06-05,293448.09610646137,289545.3576306884,0.996
2007-06-06,291511.13050927257,287634.1528759201,1.0
2007-06-07,287492.02399779565,283678.86184466054,0.9973868059399323
2007-06-08,289180.5541667373,285344.99612503074,1.0
2007-06-11,291157.20763599244,287295.4321706022,1.0
2007-06-12,288361.98703484406,284537.286091584,1.0
2007-06-13,291781.3858395072,287911.33156112814,1.0
2007-06-14,294448.7659809769,290445.8438830165,0.9629601562352768
2007-06-15,296994.7463548433,292812.4540841034,0.9423587184537034
2007-06-18,299768.8359138651,295302.557447833,0.9104500407996664
2007-06-19,299692.8347279467,295232.7823473633,0.9319645107983618
2007-06-20,295646.0879798784,291246.2596032613,1.0
2007-06-21,299878.6415587352,295415.8239862554,1.0
2007-06-22,300886.97533047124,296409.15165534924,1.0
2007-06-25,298415.74209795054,293974.6955105146,1.0
2007-06-26,294543.56206679007,290160.14156768454,1.0
2007-06-27,296915.04423765984,292496.33115402755,1.0
2007-06-28,294376.4394424613,289995.50607541937,1.0
2007-06-29,296212.25462319376,291767.55721386813,0.9798488204246742
2007-07-02,298861.6728476158,294361.11351659877,0.993827897419124
2007-07-03,301703.0364720672,297136.7487891886,0.9918028855749526
2007-07-05,303695.457797325,299096.86486081703,0.9989043910508552
2007-07-06,304910.2634934073,300241.22421130794,0.956493534336148
2007-07-09,305181.8321868777,300508.63441931753,1.0
2007-07-10,304804.4284861698,300137.0098376318,1.0
2007-07-11,305208.85395527247,300535.24240794417,1.0
2007-07-12,307455.6934950653,302747.6764739702,1.0
2007-07-13,308220.47727359727,303496.7480303174,0.9946868115487218
2007-07-16,306613.75637451245,301914.6514344714,1.0
2007-07-17,305012.41405454674,300337.8509866494,1.0
2007-07-18,306963.27098433994,302258.80944892275,1.0
2007-07-19,307589.3101328197,302866.0715540616,0.9851041198436509
2007-07-20,307073.9592534086,302358.63423040503,1.0
2007-07-23,310208.016636844,305444.5660767888,1.0
2007-07-24,304303.5269748977,299630.74378344236,1.0
2007-07-25,305704.5387623745,301010.2421024535,1.0
2007-07-26,303423.50225845684,298764.2324322389,1.0
2007-07-27,298902.35615501186,294312.51153634343,1.0
2007-07-30,302894.6644431547,298243.51527356834,1.0
2007-07-31,299775.71496702067,295172.459342514,1.0
2007-08-01,301668.04071185825,297035.72716606775,1.0
2007-08-02,305442.6016866201,300752.32724483433,1.0
2007-08-03,295763.62362706376,291221.97633540264,1.0
2007-08-06,300235.04327933566,295624.73436287907,1.0
2007-08-07,305560.04037577123,300867.96258475,1.0
2007-08-08,312464.34470333107,307666.24672407465,1.0
2007-08-09,306103.94907504984,301403.51920394285,1.0
2007-08-10,305033.1703322248,300349.1829813902,1.0
2007-08-13,305820.67100944853,301124.5910615797,1.0
2007-08-14,303092.69197657285,298438.50196241,1.0
2007-08-15,297729.07381423574,293197.05120541126,0.9924628768561572
2007-08-16,294514.3564025312,290060.8271427596,0.9906629668516574
2007-08-17,299411.785110328,294884.1988765119,1.0
2007-08-20,302071.1272364112,297503.3274859607,1.0
2007-08-21,302330.20662696485,297758.48918075056,1.0
2007-08-22,304904.7388637711,300294.09036242287,1.0
2007-08-23,305251.69220013404,300635.7972080743,1.0
2007-08-24,309896.4887102662,305210.35694803257,1.0
2007-08-27,308087.3428307913,303428.568254835,1.0
2007-08-28,303260.6539423338,298674.8666409373,1.0
2007-08-29,312180.5589368483,307459.8883707692,1.0
2007-08-30,312097.2744005104,307377.8632301497,1.0
2007-08-31,316687.35411641054,311898.53358153143,1.0
2007-09-04,321827.81374694366,316961.26122082013,1.0
2007-09-05,317271.6333309727,312473.97755760234,1.0
2007-09-06,316516.7708661104,311730.52982346975,1.0
2007-09-07,313532.43172096566,308791.318670951,1.0
2007-09-10,315378.9675200208,310609.9318881981,1.0
2007-09-11,318521.8389304095,313705.27804393764,1.0
2007-09-12,319602.5143035242,314698.3134686846,0.9330112393670291
2007-09-13,320324.0206796568,315370.44740016223,0.9460877492540516
2007-09-14,320874.8516455164,315912.7601738856,1.0
2007-09-17,318524.2499157497,313641.1488051211,0.9815750141897001
2007-09-18,324732.3825074771,319433.2482477742,0.9475115035707538
2007-09-19,327985.1524268257,322458.11709627754,0.9453631844111308
2007-09-20,328934.2882097198,323279.10628992977,0.8798121683335396
2007-09-21,330689.7579882328,324891.62979826215,0.9346396639741397
2007-09-24,330720.15651480714,324921.4953341719,1.0
2007-09-25,331260.629438192,325452.4919093564,1.0
2007-09-26,331584.91878643614,325771.09535059455,1.0
2007-09-27,334697.6015477942,328829.20208342705,1.0
2007-09-28,334150.2200905222,328291.41810470226,1.0
2007-10-01,336510.4285564961,330610.2440031481,1.0
2007-10-02,335680.29554166284,329794.666073613,1.0
2007-10-03,332944.20598741306,327106.5495744445,1.0
2007-10-04,332617.99829471234,326786.0614239223,1.0
2007-10-05,335310.9306951938,329431.777462579,1.0
2007-10-08,336768.55554110254,330863.84513441357,1.0
2007-10-09,339502.9583972795,333550.3045091244,1.0
2007-10-10,341197.6633085024,335215.2954177752,1.0
2007-10-11,338738.2503761307,332799.00444823876,1.0
2007-10-12,340546.8271117187,334575.8706167438,1.0
2007-10-15,339121.1114192053,333175.1526211592,1.0
2007-10-16,338037.3861678325,332110.4287987039,1.0
2007-10-17,343521.60891224846,337498.4942666202,1.0
2007-10-18,341442.4559824225,335523.36500575056,0.9669217067717089
2007-10-19,330626.6700494106,324895.0766138324,1.0
2007-10-22,329698.97593779664,323983.4645850085,1.0
2007-10-23,335375.37806043774,329561.46318460966,1.0
2007-10-24,334475.2155734556,328676.90550470666,1.0
2007-10-25,331960.0086550524,326362.5484935978,0.9363784014607718
2007-10-26,334833.7884416352,329094.4006166501,0.9669169038246882
2007-10-29,336465.6685496499,330622.90918842045,0.9529901538710002
2007-10-30,337398.64903528924,331539.68837634695,1.0
2007-10-31,341659.2114631049,335541.70712475374,0.9559165925963036
2007-11-01,337641.02551419864,331620.6631749009,0.9936153772020186
2007-11-02,339910.35267086,333704.2804811343,0.9348339430531301
2007-11-05,339043.1675532706,332852.92840128357,1.0
2007-11-06,343420.689527837,337063.1142213892,0.9796603790971188
2007-11-07,339015.4790504555,332739.45520029654,1.0
2007-11-08,333403.1764932214,327231.0503907469,1.0
2007-11-09,335807.2907356778,329590.658469749,1.0
2007-11-12,326179.8869182182,320257.3466933356,0.9877381130943453
2007-11-13,330660.65727486176,324656.75843855034,1.0
2007-11-14,329565.89264066954,323581.87175466353,1.0
2007-11-15,327752.97001623106,321801.8668777578,1.0
2007-11-16,331162.25662833074,325149.250111053,1.0
2007-11-19,328816.5773894698,322846.162031868,1.0
2007-11-20,335606.6806297452,329512.97545206407,1.0
2007-11-21,335006.1582851987,328923.35696113994,1.0
2007-11-23,340360.8662632632,334180.83799583826,1.0
2007-11-26,338544.1643968158,332397.12249768694,1.0
2007-11-27,342163.10434661625,335950.35233388527,1.0
2007-11-28,346092.1790127024,339808.0856828341,1.0
2007-11-29,347453.9576901325,341145.13816064876,1.0
2007-11-30,346720.91447844345,340425.40502135205,1.0
2007-12-03,344683.42180974624,338424.9076818343,1.0
2007-12-04,341500.2552254535,335299.53875121084,1.0
2007-12-05,343041.5117627642,336812.810258772,1.0
2007-12-06,349029.42728982546,342692.0015143667,1.0
2007-12-07,349218.64896904025,342877.78744217096,1.0
2007-12-10,351559.9664243111,345176.592935901,1.0
2007-12-11,346161.6652072264,339876.31019692146,1.0
2007-12-12,347635.67023559625,341323.55130016187,1.0
2007-12-13,345225.7784501684,338957.4165997329,1.0
2007-12-14,343481.34448588383,337244.65681505745,1.0
2007-12-17,338517.544518321,332370.9859638357,1.0
2007-12-18,338406.97491802584,332262.4240069657,1.0
2007-12-19,339519.0328662223,333354.2900052758,1.0
2007-12-20,341075.0415478948,334882.045798352,1.0
2007-12-21,343377.0991006321,337142.3042426743,1.0
2007-12-24,345881.7210035965,339601.4490191715,1.0
2007-12-26,347185.74902751256,340881.79943837994,1.0
2007-12-27,344916.82550075324,338654.07339617854,1.0
2007-12-28,346383.5319131497,340094.1484064748,1.0
2007-12-31,343707.22476773144,337466.4357249048,1.0
2008-01-02,341033.1898731568,334840.9540362788,1.0
2008-01-03,340884.2142129925,334694.68336920347,1.0
2008-01-04,331073.56458487455,325062.1684740506,1.0
2008-01-07,327547.1368708352,321599.77110285015,1.0
2008-01-08,321352.9732018572,315518.0766110358,1.0
2008-01-09,327440.3708607196,321494.9436732998,1.0
2008-01-10,326533.627986156,320604.66478490946,1.0
2008-01-11,322838.0935187333,316976.2311793533,1.0
2008-01-14,327812.5478311882,321860.3629215213,1.0
2008-01-15,320940.9442808576,315113.52901539166,1.0
2008-01-16,314163.41970697057,308459.0658671898,1.0
2008-01-17,312914.73336835194,307233.05227868643,1.0
2008-01-18,312538.43878468475,306863.5901819308,1.0
2008-01-22,309615.80575461,304026.62803728576,0.9886380680965952
2008-01-23,296770.6736684409,291413.37599308393,1.0
2008-01-24,298247.39725631993,292863.44179922633,1.0
2008-01-25,297322.4692159807,291955.210539533,1.0
2008-01-28,297229.1151565452,291863.54170552565,1.0
2008-01-29,297226.05331670545,291860.5351379514,1.0
2008-01-30,297222.5457905276,291857.09092955897,1.0
2008-01-31,299612.1055211221,294203.51438044093,1.0
2008-02-01,298226.02419412124,292842.45456307643,1.0
2008-02-04,297276.2870713752,291909.8620739864,1.0
2008-02-05,296201.93672905955,290854.9058804263,1.0
2008-02-06,294720.7037968229,289400.4121325115,1.0
2008-02-07,296221.70955295704,290874.32176574157,1.0
2008-02-08,296000.515434948,290657.120639087,1.0
2008-02-11,296213.32126791007,290866.0849058318,1.0
2008-02-12,297453.0393922641,292083.42366586515,1.0
2008-02-13,298919.0097326477,293522.93034189945,1.0
2008-02-14,296928.1636242007,291568.02294362534,1.0
2008-02-15,296095.41949632,290750.31149442995,1.0
2008-02-19,295553.9558482748,290236.25657671306,0.9668335526710521
2008-02-20,295707.6539283982,290378.86810877436,0.9448683796560512
2008-02-21,295671.01278054283,290342.8872509944,1.0
2008-02-22,295863.1175851461,290531.53024003404,1.0
2008-02-25,297228.3933546073,291872.20312193537,1.0
2008-02-26,299406.00959423685,294010.5777309065,1.0
2008-02-27,299111.31617219746,293721.1948177688,1.0
2008-02-28,298159.67659514,292820.8741665828,0.963434677934037
2008-02-29,295677.89703687106,290383.53298067907,1.0
2008-03-03,294444.5041663084,289172.22505777905,1.0
2008-03-04,295165.8488177732,289880.6534201566,1.0
2008-03-05,295544.7090624254,290237.1367865091,0.9580917726748829
2008-03-06,294308.5657664141,289095.9807145292,0.9400402198088057
2008-03-07,294439.2986520465,289221.4358363705,0.9769321402475954
2008-03-10,291131.5221583239,286146.70444909506,0.9463163013018288
2008-03-11,293529.5479963456,288379.90946489386,0.9474912739859342
2008-03-12,294968.16965425847,289710.7736963613,0.9416163340926728
2008-03-13,296135.66741903475,290808.8587946039,0.9576139136113823
2008-03-14,295186.1838032886,289902.6206506253,0.9719366277921505
2008-03-17,293031.25136619434,287839.5891700601,0.9748012599370032
2008-03-18,295400.8027333553,290167.15897314786,1.0
2008-03-19,292989.60644346115,287798.6820743334,1.0
2008-03-20,301139.0495488134,295803.74073095416,1.0
2008-03-24,247765.77911425987,243376.08954044792,1.0
2008-03-25,247226.3097631041,242846.17801844282,1.0
2008-03-26,247113.64755297423,242735.51185526882,1.0
2008-03-27,246623.3257926997,242253.87717166235,1.0
2008-03-28,246411.0860508173,242045.39770121622,1.0
2008-03-31,247004.8144735776,242628.60698175925,1.0
2008-04-01,250394.8842506332,245958.61457424663,1.0
2008-04-02,250801.5341392227,246358.05980857555,1.0
2008-04-03,251315.4233406424,246862.8443867594,1.0
2008-04-04,250814.36595257843,246370.6642794891,1.0
2008-04-07,250674.8750146724,246233.64471562818,1.0
2008-04-08,250928.86167148929,246483.13146699686,1.0
2008-04-09,250660.4388935748,246219.46436064364,1.0
2008-04-10,251210.26095255683,246759.54517057832,1.0
2008-04-11,251385.30558378476,246931.4885196381,1.0
