date,portfolio_value,cash,n_positions,leverage,drawdown,regime_score,crash_active,max_positions,above_sma_today
2022-05-20,382662.4112860095,382662.4112860095,0,1.0,-0.08767812081203546,0.0,False,1,False
2022-05-23,382719.50694737595,382719.50694737595,0,1.0,-0.08754199659514075,0.0,False,1,False
2022-05-24,382776.6111277776,382776.6111277776,0,1.0,-0.08740585206764863,0.0,False,1,False
2022-05-25,382833.7238284856,382833.7238284856,0,1.0,-0.0872696872265286,0.0,False,1,False
2022-05-26,382890.8450507711,382890.8450507711,0,1.0,-0.08713350206874963,0.0,False,1,False
2022-05-27,382947.97479590564,382947.97479590564,0,1.0,-0.0869972965912806,0.0,False,1,False
2022-05-31,383005.1130651609,383005.1130651609,0,1.0,-0.08686107079108944,0.0,False,1,False
2022-06-01,383069.5551952957,383069.5551952957,0,1.0,-0.08672482466514393,0.0,False,1,False
2022-06-02,383134.0081680746,383134.0081680746,0,1.0,-0.08657116249278596,0.0,False,1,False
2022-06-03,383198.4719853219,383198.4719853219,0,1.0,-0.0864174744661578,0.0,False,1,False
2022-06-06,383262.9466488623,383262.9466488623,0,1.0,-0.0862637605809093,0.0,False,1,False
2022-06-07,383327.43216052064,383327.43216052064,0,1.0,-0.08611002083268962,0.0,False,1,False
2022-06-08,383391.92852212227,383391.92852212227,0,1.0,-0.08595625521714721,0.0,False,1,False
2022-06-09,383456.4357354927,383456.4357354927,0,1.0,-0.08580246372992974,0.0,False,1,False
2022-06-10,383520.9538024577,383520.9538024577,0,1.0,-0.08564864636668425,0.0,False,1,False
2022-06-13,383585.48272484355,383585.48272484355,0,1.0,-0.085494803123057,0.0,False,1,False
2022-06-14,383650.0225044766,383650.0225044766,0,1.0,-0.08534093399469353,0.0,False,1,False
2022-06-15,383714.5731431837,383714.5731431837,0,1.0,-0.08518703897723871,0.0,False,1,False
2022-06-16,383779.13464279193,383779.13464279193,0,1.0,-0.08503311806633643,0.0,False,1,False
2022-06-17,383843.7070051287,383843.7070051287,0,1.0,-0.08487917125763014,0.0,False,1,False
2022-06-21,383908.2902320216,383908.2902320216,0,1.0,-0.08472519854676235,0.0,False,1,False
2022-06-22,383972.8843252987,383972.8843252987,0,1.0,-0.08457119992937498,0.0,False,1,False
2022-06-23,384037.4892867884,384037.4892867884,0,1.0,-0.08441717540110917,0.0,False,1,False
2022-06-24,384102.10511831916,384102.10511831916,0,1.0,-0.08426312495760517,0.0,False,1,False
2022-06-27,384166.73182172,384166.73182172,0,1.0,-0.08410904859450286,0.0,False,1,False
2022-06-28,384231.3693988202,384231.3693988202,0,1.0,-0.08395494630744096,0.0,False,1,False
2022-06-29,384296.0178514492,384296.0178514492,0,1.0,-0.08380081809205771,0.0,False,1,False
2022-06-30,384360.6771814369,384360.6771814369,0,1.0,-0.08364666394399072,0.0,False,1,False
2022-07-01,384422.60195720504,384422.60195720504,0,1.0,-0.0834924838588765,0.0,False,1,False
2022-07-05,384484.5367097426,384484.5367097426,0,1.0,-0.0833448243146093,0.0,False,1,False
2022-07-06,384546.481440657,384546.481440657,0,1.0,-0.0831971409807488,0.0,False,1,False
2022-07-07,384608.43615155574,384608.43615155574,0,1.0,-0.0830494338534623,0.0,False,1,False
2022-07-08,384670.40084404685,384670.40084404685,0,1.0,-0.08290170292891655,0.0,False,1,False
2022-07-11,384732.37551973836,384732.37551973836,0,1.0,-0.08275394820327726,0.0,False,1,False
2022-07-12,384794.3601802388,384794.3601802388,0,1.0,-0.08260616967271008,0.0,False,1,False
2022-07-13,384856.3548271567,384856.3548271567,0,1.0,-0.08245836733337951,0.0,False,1,False
2022-07-14,384918.35946210107,384918.35946210107,0,1.0,-0.08231054118144993,0.0,False,1,False
2022-07-15,384980.37408668105,384980.37408668105,0,1.0,-0.08216269121308473,0.0,False,1,False
2022-07-18,385042.39870250615,385042.39870250615,0,1.0,-0.08201481742444688,0.0,False,1,False
2022-07-19,385104.433311186,385104.433311186,0,1.0,-0.08186691981169855,0.0,False,1,False
2022-07-20,385166.47791433055,385166.47791433055,0,1.0,-0.0817189983710016,0.0,False,1,False
2022-07-21,385228.5325135501,385228.5325135501,0,1.0,-0.08157105309851695,0.0,False,1,False
2022-07-22,385290.59711045504,385290.59711045504,0,1.0,-0.08142308399040504,0.0,False,1,False
2022-07-25,385352.67170665617,385352.67170665617,0,1.0,-0.08127509104282571,0.0,False,1,False
2022-07-26,385414.7563037645,385414.7563037645,0,1.0,-0.08112707425193817,0.0,False,1,False
2022-07-27,385476.8509033912,385476.8509033912,0,1.0,-0.08097903361390096,0.0,False,1,False
2022-07-28,385538.9555071479,385538.9555071479,0,1.0,-0.08083096912487207,0.0,False,1,False
2022-07-29,385601.07011664624,385601.07011664624,0,1.0,-0.0806828807810088,0.0,False,1,False
2022-08-01,385663.34774979606,385663.34774979606,0,1.0,-0.080534768578468,0.0,False,1,False
2022-08-02,385725.6354412779,385725.6354412779,0,1.0,-0.08038626764625026,0.0,False,1,False
2022-08-03,385787.9331927162,385787.9331927162,0,1.0,-0.08023774272995342,0.0,False,1,False
2022-08-04,385850.2410057358,385850.2410057358,0,1.0,-0.08008919382570384,0.0,False,1,False
2022-08-05,385912.55888196174,385912.55888196174,0,1.0,-0.0799406209296273,0.0,False,1,False
2022-08-08,385974.88682301925,385974.88682301925,0,1.0,-0.0797920240378489,0.0,False,1,False
2022-08-09,386037.2248305339,386037.2248305339,0,1.0,-0.07964340314649314,0.0,False,1,False
2022-08-10,386099.5729061315,386099.5729061315,0,1.0,-0.0794947582516839,0.0,False,1,False
2022-08-11,386161.93105143815,386161.93105143815,0,1.0,-0.07934608934954444,0.0,False,1,False
2022-08-12,386224.2992680802,386224.2992680802,0,1.0,-0.07919739643619737,0.0,False,1,False
2022-08-15,386286.67755768425,386286.67755768425,0,1.0,-0.07904867950776459,0.0,False,1,False
2022-08-16,386349.0659218771,386349.0659218771,0,1.0,-0.07889993856036757,0.0,False,1,False
2022-08-17,386411.4643622859,386411.4643622859,0,1.0,-0.07875117359012711,0.0,False,1,False
2022-08-18,386473.87288053805,386473.87288053805,0,1.0,-0.0786023845931633,0.0,False,1,False
