symbol,year,total_revenue,total_debt,ratio
JNJ,2023,85159000000.0,29332000000.0,2.9032796945315695
JNJ,2022,79990000000.0,39642000000.0,2.017809394076989
LLY,2025,65179000000.0,42503000000.0,1.533515281274263
LLY,2024,45043000000.0,33644000000.0,1.338812269646891
LLY,2023,34124000000.0,25225300000.0,1.3527688471494888
LLY,2022,28541400000.0,16238600000.0,1.7576268890175262
ABBV,2024,56334000000.0,67144000000.0,0.8390027403788871
ABBV,2023,54318000000.0,59385000000.0,0.9146754230866381
ABBV,2022,58054000000.0,63271000000.0,0.9175451628708255
ABBV,2021,56197000000.0,76684000000.0,0.7328386625632466
MRK,2024,64168000000.0,37111000000.0,1.7290830212066504
MRK,2023,60115000000.0,35055000000.0,1.714876622450435
MRK,2022,59283000000.0,30691000000.0,1.931608614903392
MRK,2021,48704000000.0,33102000000.0,1.471331037399553
PFE,2024,63627000000.0,63649000000.0,0.9996543543496362
PFE,2023,59554000000.0,70845000000.0,0.8406238972404545
PFE,2022,101175000000.0,34859000000.0,2.9024068389798905
PFE,2021,81288000000.0,36998000000.0,2.1970917346883616
TMO,2024,42879000000.0,31275000000.0,1.371031175059952
TMO,2023,42857000000.0,34917000000.0,1.2273963971704327
TMO,2022,44915000000.0,34488000000.0,1.302337044769195
TMO,2021,39211000000.0,34870000000.0,1.1244909664468024
ABT,2024,41950000000.0,15021000000.0,2.7927568071366755
ABT,2023,40109000000.0,15628000000.0,2.566483235218838
ABT,2022,43653000000.0,17716000000.0,2.464043802212689
ABT,2021,43075000000.0,19006000000.0,2.2663895611912026
DHR,2024,23875000000.0,17146000000.0,1.3924530502741164
DHR,2023,23890000000.0,19536000000.0,1.2228705978705978
DHR,2022,26643000000.0,20616000000.0,1.2923457508731082
DHR,2021,24802000000.0,23272000000.0,1.0657442420075627
AMGN,2025,36751000000.0,54604000000.0,0.6730459307010476
AMGN,2024,33424000000.0,60099000000.0,0.5561490207823757
AMGN,2023,28190000000.0,64613000000.0,0.43628991069908535
AMGN,2022,26323000000.0,38945000000.0,0.6759019129541661
BMY,2025,48195000000.0,47139000000.0,1.0224018328772355
BMY,2024,48300000000.0,51200000000.0,0.943359375
BMY,2023,45006000000.0,41464000000.0,1.0854234999035308
BMY,2022,46159000000.0,40717000000.0,1.1336542476115627
MDT,2025,33537000000.0,28516000000.0,1.1760765885818487
MDT,2024,32364000000.0,25024000000.0,1.2933184143222507
MDT,2023,31227000000.0,24364000000.0,1.2816860942373995
MDT,2022,31686000000.0,24114000000.0,1.3140084598158746
SYK,2025,25116000000.0,15859000000.0,1.5837064127624692
SYK,2024,22595000000.0,13597000000.0,1.661763624328896
SYK,2023,20498000000.0,12995000000.0,1.577375913813005
SYK,2022,18449000000.0,13048000000.0,1.4139331698344575
GILD,2024,28754000000.0,26711000000.0,1.0764853431170678
GILD,2023,27116000000.0,24987000000.0,1.0852043062392445
GILD,2022,27281000000.0,25230000000.0,1.0812921125644075
GILD,2021,27305000000.0,26695000000.0,1.0228507211088218
REGN,2025,14342900000.0,2705900000.0,5.300602387375735
REGN,2024,14202000000.0,2704400000.0,5.251442094364739
REGN,2023,13117200000.0,2702900000.0,4.853009730289689
REGN,2022,12172900000.0,2701400000.0,4.506144961871622
VRTX,2025,12001300000.0,2030500000.0,5.910514651563655
VRTX,2024,11020100000.0,1744300000.0,6.317777905176862
VRTX,2023,9869200000.0,808400000.0,12.208312716476991
VRTX,2022,8930700000.0,899700000.0,9.926308769589863
BIIB,2025,9890600000.0,6577200000.0,1.503770601471751
BIIB,2024,9675900000.0,6630300000.0,1.4593457309623998
BIIB,2023,9835600000.0,7338200000.0,1.340328690959636
BIIB,2022,10173400000.0,6614000000.0,1.5381614756576958
AMZN,2025,716924000000.0,152987000000.0,4.686175949590488
AMZN,2024,637959000000.0,130900000000.0,4.873636363636364
AMZN,2023,574785000000.0,135611000000.0,4.238483603837447
AMZN,2022,513983000000.0,140118000000.0,3.6682153613383006
TSLA,2025,94827000000.0,14719000000.0,6.442489299544806
TSLA,2024,97690000000.0,13623000000.0,7.170960874990825
TSLA,2023,96773000000.0,9573000000.0,10.108952261568996
TSLA,2022,81462000000.0,5748000000.0,14.17223382045929
WMT,2025,680985000000.0,60114000000.0,11.328226369897195
WMT,2024,648125000000.0,61321000000.0,10.569380799399879
WMT,2023,611289000000.0,58923000000.0,10.374369940430732
WMT,2022,572754000000.0,57323000000.0,9.991696177799486
HD,2025,159514000000.0,62290000000.0,2.5608283833681167
HD,2024,152669000000.0,52243000000.0,2.9222862393047873
HD,2023,157403000000.0,50364000000.0,3.1253077595107617
HD,2022,151157000000.0,46269000000.0,3.2669173744839957
PG,2025,84284000000.0,35463000000.0,2.3766742802357386
PG,2024,84039000000.0,33369000000.0,2.5184752315022925
PG,2023,82006000000.0,35424000000.0,2.314984191508582
PG,2022,80187000000.0,32293000000.0,2.483107794258818
COST,2025,275235000000.0,8173000000.0,33.676128716505566
COST,2024,254453000000.0,8169000000.0,31.14861060105276
COST,2023,242290000000.0,8884000000.0,27.272624943719045
COST,2022,226954000000.0,9039000000.0,25.10830844119925
KO,2024,47061000000.0,44522000000.0,1.0570279861641436
KO,2023,45754000000.0,42064000000.0,1.0877234689996196
KO,2022,43004000000.0,39149000000.0,1.0984699481468236
KO,2021,38655000000.0,42761000000.0,0.9039779238090784
PEP,2025,93925000000.0,49901000000.0,1.8822268090819823
PEP,2024,91854000000.0,44948000000.0,2.043561448785263
PEP,2023,91471000000.0,44661000000.0,2.0481180448265826
PEP,2022,86392000000.0,39554000000.0,2.184153309399808
NKE,2025,46309000000.0,11018000000.0,4.203031403158468
