symbol,year,ebitda,total_debt,debt_ebitda
PG,2023,21823000000.0,35424000000.0,1.623241534161206
PG,2022,21241000000.0,32293000000.0,1.5203144861353044
COST,2025,13398000000.0,8173000000.0,0.6100164203612479
COST,2024,12146000000.0,8169000000.0,0.6725671002799275
COST,2023,10724000000.0,8884000000.0,0.8284222305110034
COST,2022,9898000000.0,9039000000.0,0.9132147908668418
KO,2024,15817000000.0,44522000000.0,2.8148194980084718
KO,2023,15607000000.0,42064000000.0,2.6952008714038573
KO,2022,13828000000.0,39149000000.0,2.8311397165172116
KO,2021,15474000000.0,42761000000.0,2.7634095902804705
PEP,2025,15543000000.0,49901000000.0,3.210512771022325
PEP,2024,16680000000.0,44948000000.0,2.694724220623501
PEP,2023,15754000000.0,44661000000.0,2.8348990732512376
PEP,2022,14924000000.0,39554000000.0,2.6503618332886627
NKE,2025,4510000000.0,11018000000.0,2.4430155210643014
NKE,2024,7155000000.0,11952000000.0,1.6704402515723271
NKE,2023,6774000000.0,12144000000.0,1.7927369353410096
NKE,2022,7515000000.0,12627000000.0,1.6802395209580838
MCD,2024,13948000000.0,51948000000.0,3.7244049326068254
MCD,2023,13861000000.0,53091000000.0,3.8302431282014284
MCD,2022,10903000000.0,48699000000.0,4.466568834265798
MCD,2021,12181800000.0,49349100000.0,4.051051568733684
DIS,2025,19141000000.0,44877000000.0,2.3445483517057624
DIS,2024,14629000000.0,48743000000.0,3.3319434000957004
DIS,2023,12111000000.0,49895000000.0,4.119808438609528
DIS,2022,11997000000.0,51608000000.0,4.301742102192215
SBUX,2025,4821400000.0,26611500000.0,5.519454930103289
SBUX,2024,7124000000.0,25803100000.0,3.621996069623807
SBUX,2023,7402300000.0,24599800000.0,3.323264390797455
SBUX,2022,6244200000.0,23804800000.0,3.812305819800775
TGT,2025,8653000000.0,19875000000.0,2.2968912515890443
TGT,2024,8600000000.0,19646000000.0,2.284418604651163
TGT,2023,6596000000.0,19073000000.0,2.891600970285021
TGT,2022,11970000000.0,16467000000.0,1.375689223057644
LOW,2025,12597000000.0,39678000000.0,3.1497975708502026
LOW,2024,13581000000.0,40145000000.0,2.9559678963257494
LOW,2023,12177000000.0,37994000000.0,3.120144534778681
LOW,2022,13987000000.0,29384000000.0,2.1008078930435405
CL,2024,4853000000.0,8512000000.0,1.7539666185864413
CL,2023,4246000000.0,9064000000.0,2.134715025906736
CL,2022,3372000000.0,9271000000.0,2.7494068801897984
CL,2021,3760000000.0,7833000000.0,2.0832446808510636
KMB,2025,3113000000.0,7296000000.0,2.343719884355927
KMB,2024,3469000000.0,7534000000.0,2.171807437301816
KMB,2023,2652000000.0,8114000000.0,3.059577677224736
KMB,2022,3376000000.0,8549000000.0,2.53228672985782
GIS,2025,3922800000.0,15296700000.0,3.899434077699602
GIS,2024,4079000000.0,13315100000.0,3.264304976709978
GIS,2023,4083200000.0,12064800000.0,2.9547413793103448
GIS,2022,4163300000.0,11975400000.0,2.876420147479163
EL,2025,146000000.0,9467000000.0,64.84246575342466
EL,2024,1975000000.0,9826000000.0,4.975189873417722
EL,2023,2396000000.0,10169000000.0,4.244156928213689
EL,2022,3930000000.0,7645000000.0,1.94529262086514
MO,2024,15068000000.0,24926000000.0,1.6542341385718078
MO,2023,12349000000.0,26233000000.0,2.1243015628795856
MO,2022,8743000000.0,26680000000.0,3.051584124442411
MO,2021,5256000000.0,28044000000.0,5.335616438356165
PM,2025,17463000000.0,48835000000.0,2.7964839947317186
PM,2024,15749000000.0,45695000000.0,2.9014540605752748
PM,2023,13374000000.0,47909000000.0,3.582249140122626
PM,2022,13479000000.0,43123000000.0,3.199272943096669
XOM,2024,73311000000.0,41710000000.0,0.5689459971900533
XOM,2023,74273000000.0,41573000000.0,0.5597323388041415
XOM,2022,102591000000.0,41193000000.0,0.40152644968856915
XOM,2021,52788000000.0,47704000000.0,0.9036902326286277
CVX,2024,44725000000.0,24541000000.0,0.5487087758524315
CVX,2023,45042000000.0,20836000000.0,0.46259047111584745
CVX,2022,65485000000.0,23339000000.0,0.35640222951821027
CVX,2021,39364000000.0,31369000000.0,0.7968956406869221
COP,2024,24425000000.0,24324000000.0,0.9958648925281474
COP,2023,25783000000.0,18937000000.0,0.7344762052515224
COP,2022,37127000000.0,16643000000.0,0.4482721469550462
COP,2021,21090000000.0,19934000000.0,0.9451872925557137
SLB,2025,6958000000.0,11636000000.0,1.6723196320781835
SLB,2024,8069000000.0,12074000000.0,1.4963440327178088
SLB,2023,7544000000.0,11965000000.0,1.5860286320254506
SLB,2022,6430000000.0,12226000000.0,1.9013996889580094
EOG,2024,12464000000.0,5067000000.0,0.40653080872913994
EOG,2023,13329000000.0,4124000000.0,0.30940055518043363
EOG,2022,13622000000.0,5374000000.0,0.3945088826897665
EOG,2021,9762000000.0,5349000000.0,0.5479409956976029
OXY,2024,12616000000.0,27104000000.0,2.1483830057070388
OXY,2023,14239000000.0,20911000000.0,1.468572231196011
OXY,2022,22073000000.0,20765000000.0,0.9407420830879355
OXY,2021,13766000000.0,30388000000.0,2.2074676739793695
MPC,2024,10602000000.0,28758000000.0,2.7125070741369552
MPC,2023,18561000000.0,28501000000.0,1.535531490760196
MPC,2022,24882000000.0,27909000000.0,1.1216542078611045
MPC,2021,7448000000.0,26904000000.0,3.6122448979591835
PSX,2024,5985000000.0,20062000000.0,3.352046783625731
PSX,2023,12372000000.0,19359000000.0,1.5647429679922404
PSX,2022,16910000000.0,17190000000.0,1.0165582495564756
PSX,2021,3950000000.0,14448000000.0,3.657721518987342
VLO,2024,7028000000.0,11540000000.0,1.6420034149117815
VLO,2023,15061000000.0,12637000000.0,0.8390545116526127
VLO,2022,18342000000.0,12722000000.0,0.693599389379566
VLO,2021,4551000000.0,15125000000.0,3.3234453966161284
GE,2025,12063000000.0,20495000000.0,1.6989969327696262
GE,2024,9790000000.0,19273000000.0,1.968641470888662
GE,2023,12649000000.0,20525000000.0,1.6226579176219464
GE,2022,4045000000.0,26148000000.0,6.4642768850432635
CAT,2025,14305000000.0,43330000000.0,3.0290108353722474
CAT,2024,16038000000.0,38409000000.0,2.3948746726524504
CAT,2023,15705000000.0,37878000000.0,2.4118433619866284
CAT,2022,11414000000.0,36993000000.0,3.2410198002453128
BA,2025,7359000000.0,54433000000.0,7.396793042532953
BA,2023,2315000000.0,52603000000.0,22.722678185745142
HON,2024,9605000000.0,32225000000.0,3.3550234252993234
HON,2023,9100000000.0,21536000000.0,2.3665934065934064
HON,2022,7997000000.0,20537000000.0,2.5680880330123794
HON,2021,8801000000.0,20631000000.0,2.344165435745938
UNP,2025,12940000000.0,32822000000.0,2.5364760432766613
UNP,2024,12461000000.0,32463000000.0,2.605168124548592
UNP,2023,11891000000.0,34179000000.0,2.8743587587250863
UNP,2022,12589000000.0,34957000000.0,2.7767892604654856
RTX,2025,14946000000.0,39506000000.0,2.64324902984076
RTX,2024,12528000000.0,42893000000.0,3.423770753512133
RTX,2023,9700000000.0,45239000000.0,4.663814432989691
RTX,2022,11525000000.0,33500000000.0,2.9067245119305856
LMT,2025,8727000000.0,21700000000.0,2.486536037584508
LMT,2024,8815000000.0,20270000000.0,2.2994895065229723
LMT,2023,10444000000.0,17459000000.0,1.6716775181922634
LMT,2022,8707000000.0,15547000000.0,1.7855748248535661
DE,2025,11656000000.0,64250000000.0,5.512182566918326
DE,2024,14672000000.0,65463000000.0,4.461763904034896
DE,2023,17476000000.0,63692000000.0,3.644541084916457
DE,2022,12084000000.0,52201000000.0,4.319844422376696
UPS,2024,11917000000.0,25652000000.0,2.152555173281866
UPS,2023,12726000000.0,26729000000.0,2.1003457488606005
UPS,2022,18717000000.0,23521000000.0,1.2566650638457018
UPS,2021,20242000000.0,25528000000.0,1.2611402035372
FDX,2025,10494000000.0,37416000000.0,3.56546598056032
FDX,2024,10868000000.0,37719000000.0,3.470647773279352
FDX,2023,10233000000.0,38332000000.0,3.745920062542754
FDX,2022,9555000000.0,37194000000.0,3.8926216640502354
MMM,2025,6467000000.0,12602000000.0,1.9486624400804082
MMM,2024,7373000000.0,13044000000.0,1.7691577376915775
MMM,2022,8685000000.0,16855000000.0,1.9407023603914795
GD,2025,6429000000.0,9789000000.0,1.5226318245450303
GD,2024,5819000000.0,10676000000.0,1.8346794981955663
GD,2023,5246000000.0,11083000000.0,2.1126572626763247
GD,2022,5311000000.0,12114000000.0,2.2809263792129544
NOC,2025,7205000000.0,17019000000.0,2.362109646079112
NOC,2024,7007000000.0,16490000000.0,2.3533609247894964
NOC,2023,4229000000.0,15678000000.0,3.7072593993851974
NOC,2022,7684000000.0,13629000000.0,1.773685580426861
EMR,2025,4839000000.0,13759000000.0,2.8433560653027485
EMR,2024,4032000000.0,8356000000.0,2.072420634920635
EMR,2023,4215000000.0,8561000000.0,2.031079478054567
EMR,2022,3502000000.0,10686000000.0,3.0513992004568817
NEE,2025,16043000000.0,95619000000.0,5.960169544349561
NEE,2024,14033000000.0,82333000000.0,5.86709898097342
NEE,2023,16763000000.0,73211000000.0,4.367416333591839
NEE,2022,9207000000.0,64966000000.0,7.056152927120669
DUK,2024,14997000000.0,85230000000.0,5.683136627325465
DUK,2023,13865000000.0,80457000000.0,5.802884962134872
DUK,2022,12360000000.0,74579000000.0,6.0338996763754045
DUK,2021,11861000000.0,68263000000.0,5.755248292724054
SO,2024,13238000000.0,66277000000.0,5.006571989726544
SO,2023,11777000000.0,63490000000.0,5.391016387874671
SO,2022,10309000000.0,59135000000.0,5.736249878746726
SO,2021,8386000000.0,55470000000.0,6.614595754829478
D,2024,6708000000.0,41750000000.0,6.223911747167561
D,2023,7526000000.0,44243000000.0,5.878687217645496
D,2022,4443000000.0,41203000000.0,9.273688948908395
D,2021,5386000000.0,40581000000.0,7.5345339769773485
AEP,2025,9239000000.0,49508000000.0,5.358588591838943
AEP,2024,8099000000.0,45763000000.0,5.650450672922583
AEP,2023,7203000000.0,43608500000.0,6.054213522143551
AEP,2022,7102200000.0,41579300000.0,5.8544253893159865
VZ,2024,47520000000.0,168357000000.0,3.5428661616161614
VZ,2023,40135000000.0,174942000000.0,4.358838918649558
VZ,2022,48983000000.0,176331000000.0,3.5998407610803747
VZ,2021,49111000000.0,177930000000.0,3.6230172466453543
T,2025,54697000000.0,155043000000.0,2.8345795930306963
T,2024,44037000000.0,140923000000.0,3.200104457615187
T,2023,45329000000.0,154899000000.0,3.417216351563017
T,2022,21035000000.0,154679000000.0,7.353410981697172
TMUS,2025,31563000000.0,122269000000.0,3.8738079396762033
TMUS,2024,31042000000.0,113944000000.0,3.670639778364796
TMUS,2023,27152000000.0,113086000000.0,4.164923394225103
TMUS,2022,20161000000.0,111792000000.0,5.544963047467884
CMCSA,2025,46386000000.0,98937000000.0,2.13290648040357
CMCSA,2024,37609000000.0,99093000000.0,2.6348214523119466
CMCSA,2023,38901000000.0,97090000000.0,2.495822729492815
CMCSA,2022,27001000000.0,99983000000.0,3.702936928261916
