date,value,positions,exposure,cash
2015-07-16,987129.424917172,0,0.0,987129.424917172
2015-07-17,987246.9403249002,0,0.0,987246.9403249002
2015-07-20,987364.4697225579,0,0.0,987364.4697225579
2015-07-21,987482.0131118107,0,0.0,987482.0131118107
2015-07-22,987599.570494324,0,0.0,987599.570494324
2015-07-23,987717.1418717637,0,0.0,987717.1418717637
2015-07-24,987834.7272457961,0,0.0,987834.7272457961
2015-07-27,987952.3266180872,0,0.0,987952.3266180872
2015-07-28,998201.3517804515,2,0.4062171845938348,592714.8090024363
2015-07-29,998875.223939487,1,0.1996110066419519,799488.7349792209
2015-07-30,997649.139710491,1,0.1985319483745481,799583.9122095755
2015-07-31,1001370.1500907738,1,0.20141508042948728,799679.1007705529
2015-08-03,1000543.5124821968,1,0.20066015052220676,799774.3006635017
2015-08-04,999102.3557008064,1,0.19941184471663673,799869.5118897712
2015-08-05,999873.570166958,1,0.19993411335281816,799964.7344507105
2015-08-06,995298.3054295781,1,0.19616062442469737,800059.9683476689
2015-08-07,996663.2885829573,1,0.20117141655076648,796163.1229945784
2015-08-10,998557.7335027702,2,0.4023067822959538,596831.1848005302
2015-08-11,990029.4086841629,2,0.39708635834829364,596902.2361320541
2015-08-12,988906.127856045,2,0.39632966253701774,596973.2959220698
2015-08-13,993516.1829181511,2,0.3990592459018147,597044.3641715844
2015-08-14,993453.2143725106,2,0.39894961107075627,597115.4408816048
2015-08-17,1006721.396860786,2,0.40680060251493794,597186.5260531383
2015-08-18,1002818.9039816697,1,0.195530126522492,806737.5968069871
2015-08-19,1002816.9035181784,0,0.0,1002816.9035181784
2015-08-20,1002936.2864828829,0,0.0,1002936.2864828829
2015-08-21,987745.5557815793,1,0.18767087665693774,802374.4814140562
2015-08-24,944456.8539952635,4,0.791124844370304,197273.57236379376
2015-08-25,941593.7891186136,2,0.39764315087741886,567175.4679668802
2015-08-26,951185.2791979497,1,0.21036738101085817,751086.9231569951
2015-08-27,960895.6138212464,2,0.4163263836433937,560849.4178602479
2015-08-28,962064.8125604838,1,0.20302582653846135,766740.8088068217
2015-08-31,960114.2867238044,1,0.2013116583326803,766832.0874745368
2015-09-01,953858.771753633,1,0.1959780632946316,766923.37700876
2015-09-02,957049.6774107849,1,0.1985633603828416,767014.6774107849
2015-09-03,959773.1879311728,1,0.20074242714007148,767105.9886819052
2015-09-04,951939.090148163,2,0.39581431510834036,575147.9711563112
2015-09-08,951823.2659762569,2,0.3956688581646563,575216.4411528774
2015-09-09,960088.5735627292,1,0.20710179655385474,761252.5051270602
2015-09-10,960079.7808267407,0,0.0,960079.7808267407
