symbol,entry_date,exit_date,exit_reason,pnl,return,days_held
PYPL,2018-01-25 00:00:00-05:00,2018-02-06 00:00:00-05:00,hold_expired,-17423.81587504625,-0.10269146430230673,8
MU,2018-01-25 00:00:00-05:00,2018-02-06 00:00:00-05:00,hold_expired,2056.7882734650425,0.02020379026979856,8
LDG,2018-02-01 00:00:00-05:00,2018-02-06 00:00:00-05:00,position_stop,-14448.857685115443,-0.13247908169000144,3
HD,2018-01-29 00:00:00-05:00,2018-02-08 00:00:00-05:00,hold_expired,-12570.83914582864,-0.11566104467413124,8
AMZN,2018-01-30 00:00:00-05:00,2018-02-09 00:00:00-05:00,hold_expired,-7509.022652140104,-0.06832559795570302,8
BA,2018-02-02 00:00:00-05:00,2018-02-14 00:00:00-05:00,hold_expired,-1192.746741928716,-0.006760293170290852,8
WMT,2018-02-02 00:00:00-05:00,2018-02-14 00:00:00-05:00,hold_expired,-2820.189340446865,-0.026640672173162946,8
NVDA,2018-02-05 00:00:00-05:00,2018-02-15 00:00:00-05:00,hold_expired,19353.10035924385,0.15329671159605715,8
LDG,2018-02-06 00:00:00-05:00,2018-02-16 00:00:00-05:00,hold_expired,23572.7055880014,0.14285703978675945,8
MU,2018-02-06 00:00:00-05:00,2018-02-16 00:00:00-05:00,hold_expired,1124.880990929739,0.007497501274132788,8
NFLX,2018-02-06 00:00:00-05:00,2018-02-16 00:00:00-05:00,hold_expired,4332.9172535374055,0.04813332662425929,8
PYPL,2018-02-08 00:00:00-05:00,2018-02-21 00:00:00-05:00,hold_expired,5356.245133089544,0.05792319300804122,8
AMZN,2018-02-09 00:00:00-05:00,2018-02-22 00:00:00-05:00,hold_expired,10491.344979574444,0.10877865883725436,8
BA,2018-02-14 00:00:00-05:00,2018-02-27 00:00:00-05:00,hold_expired,9709.649169307932,0.05738421452109411,8
WMT,2018-02-14 00:00:00-05:00,2018-02-27 00:00:00-05:00,hold_expired,-10165.623115898854,-0.10013191774434117,8
NVDA,2018-02-15 00:00:00-05:00,2018-02-28 00:00:00-05:00,hold_expired,-2122.2064897065275,-0.017809702489273906,8
LDG,2018-02-16 00:00:00-05:00,2018-03-01 00:00:00-05:00,hold_expired,10874.88992822747,0.056037232656481875,8
NFLX,2018-02-16 00:00:00-05:00,2018-03-01 00:00:00-05:00,hold_expired,7132.911547231058,0.042582231265137424,8
BAC,2018-02-16 00:00:00-05:00,2018-03-01 00:00:00-05:00,hold_expired,-1172.8631916030474,-0.011669925342100443,8
MU,2018-02-21 00:00:00-05:00,2018-03-05 00:00:00-05:00,hold_expired,16721.25576499723,0.16814040496191537,8
AMZN,2018-02-22 00:00:00-05:00,2018-03-06 00:00:00-05:00,hold_expired,3606.02680270201,0.03519740333278407,8
BA,2018-02-27 00:00:00-05:00,2018-03-09 00:00:00-05:00,hold_expired,-4707.592248923099,-0.02775634716144307,8
CSCO,2018-02-27 00:00:00-05:00,2018-03-09 00:00:00-05:00,hold_expired,742.7255291844864,0.007298630913404253,8
NVDA,2018-02-28 00:00:00-05:00,2018-03-12 00:00:00-04:00,hold_expired,3441.252815591201,0.03189892786886238,8
LDG,2018-03-01 00:00:00-05:00,2018-03-13 00:00:00-04:00,hold_expired,8280.802723043511,0.04081223721024193,8
