date,compass_value,nightshift_value,combined_value,compass_dd,nightshift_dd,combined_dd
2021-05-07,2102022.0722725494,35978.10868836401,2138000.180960913,-0.010122461259387556,-0.319381331781695,-0.009599786013971807
2021-05-10,2072271.1030062535,35722.70172758196,2107993.8047338356,-0.02413269294103191,-0.3242130128188192,-0.023499841636458303
2021-05-11,2048840.801146431,35329.07706008792,2084169.8782065187,-0.0351664160607307,-0.3316594380683575,-0.03453595947253694
2021-05-12,2020623.1223077008,35534.86291420405,2056157.985221905,-0.04845459549818882,-0.32776646817436234,-0.04751209719842163
2021-05-13,2039657.9058898569,35816.02331782951,2075473.9292076863,-0.039490795844841615,-0.322447594380055,-0.03856424245677146
2021-05-14,2062483.833979742,35661.05455605859,2098144.8885358004,-0.028741682495780668,-0.3253792279788516,-0.02806222137661366
2021-05-17,2080279.6478332456,35642.95003543959,2115922.597868685,-0.02036133452058193,-0.3257217216551914,-0.019826933426564435
2021-05-18,2049893.460667396,35120.064934889386,2085013.5256022853,-0.034670700992135706,-0.3356134411963794,-0.034145151011089364
2021-05-19,2031998.8985483053,35218.85622551989,2067217.7547738252,-0.04309755118602356,-0.33374454927538055,-0.04238880570929981
2021-05-20,2033245.4203908108,35352.2195425637,2068597.6399333745,-0.04251054309047497,-0.33122163835691737,-0.04174959221929929
2021-05-21,2036673.230021651,35560.81744345194,2072234.0474651027,-0.04089632989766156,-0.3272754713494891,-0.04006507468294183
2021-05-24,2053340.9944181223,35582.32761486723,2088923.3220329895,-0.03304719937961233,-0.3268685510094392,-0.032333989694970644
2021-05-25,2039366.867697483,35627.743088848656,2074994.6107863316,-0.039627850623355505,-0.3260094002495845,-0.03878628035522656
2021-05-26,2049182.678955029,35647.98652731881,2084830.6654823478,-0.035005420052083056,-0.3256264434285059,-0.0342298585352179
2021-05-27,2051574.9761685915,35770.53997365661,2087345.5161422482,-0.03387884706841447,-0.3233080290795334,-0.033064887337419045
2021-05-28,2048118.8149078696,35942.21410843205,2084061.0290163015,-0.03550641152046392,-0.32006037028817014,-0.03458638241554852
2021-06-01,2074265.5460446605,35980.377048131544,2110245.923092792,-0.02319347617824965,-0.3193384199094398,-0.022456577690788484
2021-06-02,2075560.7989160116,35710.59090967216,2111271.3898256836,-0.02258351982181921,-0.3244421201581794,-0.021981543834039666
2021-06-03,2074737.8955706428,35875.690416245474,2110613.585986888,-0.02297103884404072,-0.32131883740697215,-0.022286262733741118
2021-06-04,2085023.450575088,35835.31015676713,2120858.760731855,-0.018127398043745066,-0.3220827341050036,-0.017540321479807715
2021-06-07,2082407.3092622005,35907.37923131824,2118314.6884935186,-0.01935938297766105,-0.3207193617841966,-0.018718829186066075
2021-06-08,2074543.07924014,35997.07466695053,2110540.1539070904,-0.023062781129856037,-0.3190225414072807,-0.022320279170312374
2021-06-09,2058396.5241526875,36062.74290438833,2094459.2670570759,-0.030666465420300933,-0.3177802574201957,-0.029769536620880707
2021-06-10,2037502.538450744,36076.87503806782,2073579.4134888118,-0.0405057946138146,-0.317512911682616,-0.039441851724573256
2021-06-11,2036804.5636704387,36085.166191269745,2072889.7298617084,-0.04083448267410916,-0.3173560631473255,-0.03976133851318472
2021-06-14,2016805.7391545344,36022.2995124569,2052828.0386669913,-0.050252265413234444,-0.3185453484313167,-0.04905465075380359
2021-06-15,2016929.021030734,36033.73921501956,2052962.7602457537,-0.0501942099047821,-0.3183289369687117,-0.048992242770107886
2021-06-16,2005247.2683419883,35950.82749646073,2041198.095838449,-0.05569534367128464,-0.31989742585049247,-0.054442067447499444
2021-06-17,1941623.696232831,35683.53890303679,1977307.235135868,-0.08565675358988252,-0.3249538785968534,-0.08403866087863189
2021-06-18,1907773.1324833096,35772.4885069041,1943545.6209902137,-0.1015975532472012,-0.32327116755033597,-0.09967828063738297
2021-06-21,1943920.0834818548,35552.09593474249,1979472.1794165974,-0.08457534622121426,-0.32744046116855097,-0.08303577916795844
2021-06-22,1961026.0604200491,35537.454539630395,1996563.5149596795,-0.07651985404884758,-0.3277174408988744,-0.07511844476831044
2021-06-23,1972495.6476928347,35718.13156759914,2008213.779260434,-0.07111863254422221,-0.32429946917559976,-0.06972161442226472
2021-06-24,1997590.443472132,35765.85305496596,2033356.296527098,-0.059301071249847605,-0.3233966942282467,-0.05807467692300797
2021-06-25,2015741.2571437352,35831.759639290714,2051573.0167830258,-0.05075354789108417,-0.32214990129539756,-0.04963602298824273
2021-06-28,2033951.614233773,35528.30967709965,2069479.9239108725,-0.04217798453537408,-0.3278904395467641,-0.041340885874046406
2021-06-29,2019740.4348922055,35481.269678937955,2055221.7045711435,-0.048870267844285144,-0.3287803223690971,-0.04794581678606374
2021-06-30,2024419.968778211,35490.94302476693,2059910.9118029778,-0.046666596652324546,-0.3285973260973264,-0.04577360375858578
2021-07-01,2038224.0369921476,35614.170186177755,2073838.2071783254,-0.04016602881887347,-0.3262661666910821,-0.03932196898192668
2021-07-02,2042859.6369724632,35625.5122362889,2078485.1492087522,-0.03798304684183839,-0.32605160257632054,-0.03716933474816955
2021-07-06,2022416.0714091435,35734.71640961571,2058150.7878187592,-0.047610265618386695,-0.3239857241373683,-0.04658895783859738
2021-07-07,2014601.9512632128,35231.78785810238,2049833.7391213153,-0.05129006618732875,-0.3334999141106358,-0.05044172028596934
2021-07-08,1993871.3828816065,35271.10695058076,2029142.4898321873,-0.06105243941687957,-0.3327560921218262,-0.06002666696000579
2021-07-09,2014276.0453507835,35306.89845960697,2049582.9438103905,-0.051443540761507596,-0.33207900346722385,-0.050557897885867835
2021-07-12,2023003.2306259084,35401.952685085256,2058405.1833109937,-0.04733376247029573,-0.330280807766779,-0.04647111250247917
