date,value,cash,positions,drawdown,leverage,in_protection,universe_size
2023-11-27,583750.1168172492,140066.02367221555,2,-0.017902046188168545,2.0,False,40
2023-11-28,583906.046478645,33584.68466851826,4,-0.017639710992022866,2.0,False,40
2023-11-29,579827.1026417252,113591.60728563686,4,-0.02450210344479621,2.0,False,40
2023-11-30,574043.3824057326,52861.589443062956,4,-0.03423260224136715,2.0,False,40
2023-12-01,569897.141505409,96596.79670214932,4,-0.04120821489977719,2.0,False,40
2023-12-04,567591.5826613273,136187.01344665588,2,-0.04508707429172191,2.0,False,40
2023-12-05,569004.8374366888,32654.22945413206,4,-0.04270942230825883,2.0,False,40
2023-12-06,566227.203987235,111263.93296393112,4,-0.04738249739391564,2.0,False,40
2023-12-07,570227.7970478699,51431.31654031447,4,-0.0406519218519267,2.0,False,40
2023-12-08,570698.3823795945,97908.16391634505,4,-0.03986021170392637,2.0,False,40
2023-12-11,573238.6531313674,137544.74578522946,2,-0.035586474302302426,2.0,False,40
2023-12-12,575094.6642712591,32979.86773299873,4,-0.03246393147065749,2.0,False,40
2023-12-13,581992.0623156406,114135.5937920723,4,-0.02085978731571338,2.0,False,40
2023-12-14,580161.2430526998,53081.532089498985,4,-0.02393994747351654,2.0,False,40
2023-12-15,582529.2963872912,99277.13166190317,4,-0.019955947697894216,2.0,False,40
2023-12-18,583777.4041962221,140065.8233955373,2,-0.017856138053365507,2.0,False,40
2023-12-19,583745.1659796408,33584.94103163692,4,-0.017910375449859146,2.0,False,40
2023-12-20,573512.9170889877,112300.73665330108,4,-0.03512505414353352,2.0,False,40
2023-12-21,575087.4887676137,52520.98341197276,4,-0.03247600349813078,2.0,False,40
2023-12-22,574372.5566862992,97758.37913669265,4,-0.03367880126029932,2.0,False,40
2023-12-26,581618.5074970543,139550.34738438876,2,-0.021488253867412654,2.0,False,40
2023-12-27,581891.5791700422,33459.88679389721,4,-0.02102883960168611,2.0,False,40
2023-12-28,577095.0823075677,113023.82752826644,4,-0.02909843927865848,2.0,False,40
2023-12-29,573983.5660934194,52531.725037651515,4,-0.03433323687292432,2.0,False,40
2024-01-02,569016.5480627301,136527.15992290797,2,-0.0426897204160593,2.0,False,40
2024-01-03,567586.7172524361,32736.112023141686,4,-0.04509525982861326,2.0,False,40
2024-01-04,566770.0034932855,111056.86563564214,4,-0.04646929452017781,2.0,False,40
2024-01-05,569494.6127254376,51456.29344251315,4,-0.041885427083160884,2.0,False,40
2024-01-08,586359.6219045186,140691.20216532898,2,-0.013511829325100895,2.0,False,40
2024-01-09,587058.518599744,33734.44791653934,4,-0.012336009407412413,2.0,False,40
2024-01-10,589768.5563290449,115958.2302100595,4,-0.007776656985847916,2.0,False,40
2024-01-11,586330.8841192296,53167.836923967654,4,-0.013560177615433136,2.0,False,40
2024-01-12,587973.348330604,100454.55068251293,4,-0.010796904950076297,2.0,False,40
2024-01-16,590439.4124294706,141670.56206799718,2,-0.006648012409085405,2.0,False,40
2024-01-17,593368.6274494685,33969.11883501265,4,-0.0017199173311782231,2.0,False,40
2024-01-18,600779.4691749732,118511.56504519249,4,0.0,2.0,False,40
2024-01-19,605887.033004738,54108.261913977825,4,0.0,2.0,False,40
2024-01-22,607510.7987966784,145767.75397151939,2,0.0,2.0,False,40
2024-01-23,600687.6979229262,34952.11729951193,4,-0.011231242123213381,2.0,False,40
2024-01-24,602282.3777527753,117264.07695870384,4,-0.008606301409389347,2.0,False,40
2024-01-25,605914.7382376122,55428.61858081819,4,-0.0026272134787194367,2.0,False,40
2024-01-26,603222.2434775986,103033.07271712428,4,-0.0070592248361252136,2.0,False,40
2024-01-29,603714.590852731,144850.0963941335,2,-0.006248790888107188,2.0,False,40
2024-01-30,614018.7346141728,34731.161371347145,4,0.0,2.0,False,40
2024-01-31,608112.5788620225,120125.8909934877,4,-0.009618852681851078,2.0,False,40
2024-02-01,608865.6251931314,54728.51328983478,4,-0.008392430280290181,2.0,False,40
2024-02-02,615323.7461730702,106276.89862866138,4,0.0,2.0,False,40
2024-02-05,614695.7562620379,147490.55678770054,2,-0.0010205845539652321,2.0,False,40
2024-02-06,626631.0934592332,35364.32029770224,4,0.0,2.0,False,40
2024-02-07,633606.1788404073,124876.92987325453,4,0.0,2.0,False,40
2024-02-08,631963.2530596949,57270.260413294294,4,-0.002592976261246679,2.0,False,40
2024-02-09,630594.4285477899,107896.48149718237,4,-0.004753347415470772,2.0,False,40
2024-02-12,631576.2042973852,151537.8038428102,2,-0.0032038427193643547,2.0,False,40
2024-02-13,623027.4271719583,36335.67275785642,4,-0.016696099283327225,2.0,False,40
2024-02-14,630766.0878721089,123484.39184059223,4,-0.004482423093626015,2.0,False,40
2024-02-15,635802.9434235271,57679.12850174925,4,0.0,2.0,False,40
2024-02-16,629863.6645673505,107943.64128916993,4,-0.009341383077272426,2.0,False,40
2024-02-20,621714.7905501042,149176.04331095304,2,-0.022158049155236923,2.0,False,40
2024-02-21,618777.1475617725,35768.885480779325,4,-0.02677841623393238,2.0,False,40
2024-02-22,635026.5034273386,122838.6312461423,4,-0.0012211959762370853,2.0,False,40
2024-02-23,636535.3670936679,59054.73381019055,4,0.0,2.0,False,40
2024-02-26,636025.3123864447,152606.17073326535,2,-0.0008012982994991139,2.0,False,40
2024-02-27,632250.4722035851,36591.9195240888,4,-0.00673158965172195,2.0,False,40
2024-02-28,625765.3001148107,122308.7532877835,4,-0.016919824939235953,2.0,False,40
2024-02-29,620268.7299306083,56986.94970695271,4,-0.025554962071205504,2.0,False,40
2024-03-01,619421.0010936792,104580.69258609263,4,-0.026886747987202107,2.0,False,40
2024-03-04,616773.2529935632,147989.4367930554,2,-0.031046372474691757,2.0,False,40
2024-03-05,609615.0688291816,35483.98367695482,4,-0.04229191283965979,2.0,False,40
2024-03-06,608616.7486874664,119038.5146400875,4,-0.0438602783906164,2.0,False,40
2024-03-07,606817.8213260974,55559.73345191183,4,-0.04668640157931316,2.0,False,40
2024-03-08,604189.5822303718,103887.86637784177,4,-0.05081537733085036,2.0,False,40
2024-03-11,606110.5544467702,145431.54937004525,2,-0.047797521111533986,2.0,False,40
2024-03-12,610480.6326783297,34871.05629134555,4,-0.04093210803713931,2.0,False,40
2024-03-13,608894.7640218239,119367.93297827814,4,-0.04342351501700075,2.0,False,40
2024-03-14,609337.1231375865,55615.34813356894,4,-0.0427285668041742,2.0,False,40
2024-03-15,601110.8788222589,102162.86923329832,4,-0.05565203459652563,2.0,False,40
2024-03-18,601497.7939131645,144320.28026176395,2,-0.05504418920268331,2.0,False,40
2024-03-19,597968.4906519818,34605.125965592066,4,-0.06058874091753467,2.0,False,40
2024-03-20,607251.0579414705,119258.76124278925,4,-0.046005784856708615,2.0,False,40
2024-03-21,608620.8085367135,54286.8290708399,4,-0.04385390034870863,2.0,False,40
2024-03-22,601018.585021091,103062.69408055232,4,-0.05579702858419558,2.0,False,40
2024-03-25,597805.5317896663,143439.19133800463,2,-0.06084475004246289,2.0,False,40
2024-03-26,598538.7302504315,34393.27055221785,4,-0.05969289187610072,2.0,False,40
2024-03-27,598670.9394046573,116581.79064306756,4,-0.059485190684524306,2.0,False,40
2024-03-28,598344.0580256723,54892.745280233925,4,-0.059998722839819156,2.0,False,40
2024-04-01,594712.6006608709,142696.90916109557,2,-0.06570375912300663,2.0,False,40
2024-04-02,595680.165233792,34215.85389675395,4,-0.06418371071259558,2.0,False,40
2024-04-03,588146.723506459,114944.0001674582,4,-0.07601878244117785,2.0,False,40
2024-04-04,569951.1407708916,53519.76039418271,4,-0.10460412691095332,2.0,False,40
2024-04-05,575746.2307398242,97500.46693454709,4,-0.09550001381918238,2.0,False,40
2024-04-08,575572.5767579945,138096.32604181147,2,-0.09577282502623698,2.0,False,40
2024-04-09,578861.8688224778,33112.57541329319,4,-0.09060533200931047,2.0,False,40
2024-04-10,569066.6042258759,111676.06498987041,4,-0.1059937379062611,2.0,False,40
2024-04-11,564993.9600810134,51486.14896205295,4,-0.11239188065747643,2.0,False,40
2024-04-12,549576.8485134838,93425.0984384541,4,-0.1366122340966294,2.0,False,40
2024-04-15,545028.7981880796,130776.97553954858,2,-0.14375724215198682,2.0,False,40
2024-04-16,543128.4230235119,31357.8203504157,4,-0.14674274030779957,2.0,False,40
2024-04-17,543156.4302065751,106672.53410016873,4,-0.14669874089392398,2.0,False,40
2024-04-18,540894.2458330926,49376.560587315485,4,-0.15025264298708074,2.0,False,40
2024-04-19,540192.1233971709,92354.19306727551,4,-0.15135568057496446,2.0,False,40
2024-04-22,544983.7881059994,130766.16448173567,2,-0.1438279531987049,2.0,False,40
2024-04-23,546930.682555029,31354.75630762417,4,-0.14076937303226583,2.0,False,40
2024-04-24,545208.7726978497,107119.96380069797,4,-0.143474501366362,2.0,False,40
2024-04-25,540624.3681706579,49339.861216274556,4,-0.15067662204054155,2.0,False,40
2024-04-26,545313.7830461436,92943.0551998658,4,-0.14330952962445645,2.0,False,40
2024-04-29,548121.1598980259,131518.90924282506,2,-0.13889912763108347,2.0,False,40
2024-04-30,542506.8677930628,31535.662257709024,4,-0.14771920644398145,2.0,False,40
2024-05-01,544872.148703526,106821.94998679333,4,-0.14400333921532651,2.0,False,40
2024-05-02,550758.0478437777,49522.74397256822,4,-0.13475656449623136,2.0,False,40
2024-05-03,561621.5307433255,96604.49299838263,4,-0.1176899827143754,2.0,False,40
2024-05-06,568258.5734748854,136347.56827248263,2,-0.1072631579459988,2.0,False,40
2024-05-07,565182.057561784,32692.753356555288,4,-0.11209637864691338,2.0,False,40
2024-05-08,563959.1524601938,110454.96415711317,4,-0.11401756820653491,2.0,False,40
2024-05-09,563034.8337248324,51242.04168404272,4,-0.11546967720651359,2.0,False,40
2024-05-10,559883.7969509271,95381.52282725551,4,-0.12041997052374508,2.0,False,40
2024-05-13,560069.2889953599,134382.76399775446,2,-0.12012856166569573,2.0,False,40
2024-05-14,560267.2852193188,32221.026263747874,4,-0.1198175086838906,2.0,False,40
2024-05-15,558216.1987304394,109064.80942383988,4,-0.12303977502589196,2.0,False,40
2024-05-16,559451.9412465353,50902.3150166765,4,-0.12109841782882355,2.0,False,40
2024-05-17,562160.3750221871,96091.0747964496,4,-0.11684345586493743,2.0,False,40
2024-05-20,558644.8195339602,134039.32960211966,2,-0.12236640976501445,2.0,False,40
2024-05-21,560094.8070084831,32139.667388784394,4,-0.1200884727492861,2.0,False,40
