lookback,skip,hold,positions,target_vol,trail_act,trail_stop,lev_min,lev_max,cagr,sharpe,sortino,max_dd,calmar,trades,win_rate,final_value
90,5,5,5,0.25,0.05,0.03,0.3,2.0,0.12306993573871838,0.5997074537577487,0.8154515459343336,-0.3219089612740828,0.38231286029323364,4944,0.0002022653721682848,2055782.4862925517
90,5,5,5,0.15,0.1,0.03,0.3,2.0,0.12247960576317918,0.5868253858772551,0.7916898079780289,-0.35973018368107756,0.3404763106333182,5114,0.00019554165037152912,2027819.9281048414
120,3,10,5,0.15,0.05,0.03,0.3,2.0,0.12206939918553794,0.6215211836980318,0.842980472183483,-0.42627305534553805,0.2863643330366921,2846,0.00035137034434293746,2008605.1585260755
90,5,5,5,0.15,0.1,0.04,0.3,2.0,0.12191164892290929,0.5858550545666015,0.7908233623673123,-0.35153895509622535,0.34679413804805476,5111,0.00019565642731363725,2001262.5816636877
90,5,5,5,0.15,0.03,0.02,0.3,2.0,0.1217984995923378,0.5924181290566891,0.7946953974393601,-0.4276746818623851,0.2847924012287673,5265,0.0001899335232668566,1996011.884291654
90,5,5,5,0.15,0.1,0.05,0.3,2.0,0.12169243927095108,0.5835620829178041,0.7846642436810091,-0.34096642839867475,0.3569044607777698,5110,0.00019569471624266145,1991102.1827550994
90,5,5,7,0.15,0.05,0.03,0.3,2.0,0.12134706691927355,0.5970539939556637,0.8065150326525787,-0.3027931606196392,0.4007589427414662,6635,0.00015071590052750564,1975194.6960270442
60,7,10,5,0.15,0.05,0.03,0.3,2.0,0.12126865254395724,0.5431863122073709,0.7081910984178237,-0.46081911976322143,0.2631588997571707,2920,0.00034246575342465754,1971600.0735904176
120,5,3,5,0.15,0.05,0.03,0.3,2.0,0.12098185883120971,0.6202500831112563,0.8525536341142642,-0.35373355492085273,0.3420140870104313,8434,0.00011856770215793219,1958506.558426547
90,5,5,5,0.15,0.1,0.02,0.3,2.0,0.12062535194873414,0.5779154140073895,0.7799328751226174,-0.3675560636031039,0.32818218468839727,5058,0.00019770660340055358,1942346.8476261462
90,5,5,7,0.2,0.05,0.03,0.3,2.0,0.12038884416117046,0.5889092711046195,0.7990376677394277,-0.2987214619373617,0.4030137084238512,6572,0.00015216068167985393,1931697.2710837084
120,10,3,5,0.15,0.05,0.03,0.3,2.0,0.12017915473316299,0.5836979660503652,0.7951187014599754,-0.30518636929639575,0.3937893917419539,8502,0.00011761938367442955,1922302.261306143
180,5,10,5,0.15,0.05,0.03,0.3,2.0,0.119462022093058,0.6170987788017649,0.8312885882363976,-0.31556475158865865,0.37856579827641135,2858,0.0003498950314905528,1890502.519627763
