date,portfolio_value,cash,positions_count,regime_mult
2023-03-28,1039067.6064303232,10185.620133066066,31,1.0
2023-03-29,1035809.1589774574,10185.620133066066,31,1.0
2023-03-30,1042301.4232175696,10185.620133066066,31,1.0
2023-03-31,1050087.6958181942,10185.620133066066,31,1.0
2023-04-03,1080760.0533506842,10185.620133066066,31,1.0
2023-04-04,1078655.2951423957,10185.620133066066,31,0.75
2023-04-05,1101268.0041549383,10185.620133066066,31,0.75
2023-04-06,1105195.6238001531,10185.620133066066,31,0.75
2023-04-10,1109140.1691739426,10185.620133066066,31,0.75
2023-04-11,1116417.1570033012,10185.620133066066,31,0.75
2023-04-12,1114490.071848844,10185.620133066066,31,0.75
2023-04-13,1124937.6067844701,10185.620133066066,31,0.75
2023-04-14,1107155.670546362,10185.620133066066,31,0.75
2023-04-17,1099924.915691916,10185.620133066066,31,0.75
2023-04-18,1098490.486894268,10185.620133066066,31,0.75
2023-04-19,1078242.744500167,10185.620133066066,31,0.75
2023-04-20,1079957.2223538116,10185.620133066066,31,0.75
2023-04-21,1076846.0753152177,10185.620133066066,31,0.75
2023-04-24,1084031.2978442577,10185.620133066066,31,0.75
2023-04-25,1083896.87327502,10185.620133066066,31,0.75
2023-04-26,1069085.47093107,10185.620133066066,31,0.75
2023-04-27,1083681.1281325903,10185.620133066066,31,0.75
2023-04-28,1089301.124869004,10185.620133066066,31,0.75
2023-05-01,1092810.3962716027,10185.620133066066,31,0.75
2023-05-02,1087398.8310234167,10185.620133066066,31,1.0
2023-05-03,1076171.6676013179,10185.620133066066,31,0.75
2023-05-04,1073185.2234974054,10185.620133066066,31,1.0
2023-05-05,1087761.5503477484,10185.620133066066,31,1.0
2023-05-08,1087418.8281546852,10185.620133066066,31,1.0
2023-05-09,1083597.0890306586,10185.620133066066,31,1.0
2023-05-10,1083641.8830877764,10185.620133066066,31,1.0
2023-05-11,1081383.948071734,10185.620133066066,31,1.0
2023-05-12,1084226.288440414,10185.620133066066,31,1.0
2023-05-15,1078323.3521006503,10185.620133066066,31,1.0
2023-05-16,1067559.4319336927,10185.620133066066,31,1.0
2023-05-17,1076485.7395113776,10185.620133066066,31,1.0
2023-05-18,1071403.6303372278,10185.620133066066,31,1.0
2023-05-19,1070300.9346244796,10185.620133066066,31,1.0
2023-05-22,1069841.4172526246,10185.620133066066,31,1.0
2023-05-23,1067363.4717147204,10185.620133066066,31,1.0
2023-05-24,1066499.6594488528,10185.620133066066,31,1.0
2023-05-25,1064513.314099727,10185.620133066066,31,1.0
2023-05-26,1074694.4846534375,10185.620133066066,31,1.0
2023-05-30,1069343.0212556133,10185.620133066066,31,1.0
2023-05-31,1075197.3905919779,10185.620133066066,31,1.0
2023-06-01,1086274.040565209,10185.620133066066,31,1.0
2023-06-02,1098843.4684323552,10185.620133066066,31,1.0
2023-06-05,1097386.2852937987,10185.620133066066,31,1.0
2023-06-06,1085272.5567481872,10185.620133066066,31,1.0
2023-06-07,1076394.7560052692,10185.620133066066,31,1.0
2023-06-08,1090196.384718103,10185.620133066066,31,1.0
2023-06-09,1095828.991790067,10185.620133066066,31,1.0
2023-06-12,1096523.290500687,10185.620133066066,31,1.0
2023-06-13,1094425.0107463903,10185.620133066066,31,1.0
2023-06-14,1057958.2793743983,10185.620133066066,31,1.0
2023-06-15,1071372.1639757578,10185.620133066066,31,0.75
2023-06-16,1059783.8911875228,10185.620133066066,31,0.75
2023-06-20,1070001.3724804474,10185.620133066066,31,0.75
2023-06-21,1076460.9972603947,10185.620133066066,31,0.75
2023-06-22,1080941.808462987,10185.620133066066,31,0.75
2023-06-23,1076161.8180732992,10185.620133066066,31,0.75
2023-06-26,1077351.0466613204,10185.620133066066,31,0.75
2023-06-27,1084536.2913762415,10185.620133066066,31,0.75
2023-06-28,1073365.7368128484,10185.620133066066,31,0.75
2023-06-29,1077747.6351966695,10185.620133066066,31,0.75
2023-06-30,1088802.2117088535,10185.620133066066,31,0.75
2023-07-03,1085766.4539881784,10185.620133066066,31,0.75
2023-07-05,1076411.0908830902,10185.620133066066,31,0.75
2023-07-06,1069450.681614925,10185.620133066066,31,0.75
2023-07-07,1054832.5438112183,10185.620133066066,31,0.75
2023-07-10,1058774.8231343585,10185.620133066066,31,0.75
2023-07-11,1059032.217459537,10185.620133066066,31,0.75
2023-07-12,1048024.3476463094,10185.620133066066,31,0.75
2023-07-13,1044672.6002113427,10185.620133066066,31,0.75
2023-07-14,1085412.217400215,10185.620133066066,31,1.0
2023-07-17,1089968.8798108916,10185.620133066066,31,0.75
2023-07-18,1111247.148025092,10185.620133066066,31,0.75
2023-07-19,1117389.7873452588,10185.620133066066,31,0.75
2023-07-20,1122712.449364478,10185.620133066066,31,0.75
2023-07-21,1129295.91671525,10185.620133066066,31,0.75
2023-07-24,1135031.3607570177,10185.620133066066,31,0.75
2023-07-25,1138403.275901232,10185.620133066066,31,0.75
2023-07-26,1134124.2566840148,10185.620133066066,31,0.75
2023-07-27,1127104.2349180705,10185.620133066066,31,0.75
2023-07-28,1127437.9639617517,10185.620133066066,31,0.75
2023-07-31,1130750.679347389,10185.620133066066,31,0.75
2023-08-01,1127871.783760598,10185.620133066066,31,0.75
2023-08-02,1122361.5483876735,10185.620133066066,31,0.75
2023-08-03,1124529.0710121118,10185.620133066066,31,0.75
2023-08-04,1120003.5883222432,10185.620133066066,31,0.75
2023-08-07,1135357.134896101,10185.620133066066,31,0.75
