date,value,cash,active_pairs,qualifying_pairs,gross_exposure
2014-10-13,166481.52210463557,2720.01685345471,10,30,332012.64809887914
2014-10-14,166808.6449992263,2327.5919338431995,10,30,332481.35489543196
2014-10-15,167260.75216472242,1374.975812285309,10,30,332768.60222810495
2014-10-16,167258.93918412284,2075.379700887839,10,30,333289.08417762525
2014-10-17,167244.64752162548,2072.792511746927,10,30,333289.08417762525
2014-10-20,167207.8689055402,2070.169455886667,10,30,333289.08417762525
2014-10-21,168010.5868737453,2325.7513330835573,10,30,333793.6301119501
2014-10-22,167649.7137186089,2323.2132388487726,10,30,333793.6301119501
2014-10-23,167740.04305782047,2622.053912397365,10,30,333889.4882905698
2014-10-24,167978.54338853652,3122.3124064482035,10,30,334033.0465353326
2014-10-27,167717.06935842265,3119.4364426921716,10,30,334033.0465353326
2014-10-28,168090.87007037146,3601.25154086998,10,30,334199.4327125824
2014-10-29,168261.07643278048,3824.1055005258786,10,30,334489.9189992932
2014-10-30,167144.16952654487,2576.344812733121,10,30,334266.53761804604
2014-10-31,167061.0365556048,2573.0216857613323,10,30,334266.53761804604
2014-11-03,167152.5287943857,2569.706052782575,10,30,334266.53761804604
2014-11-04,167683.5060972973,2566.403907072738,10,30,334266.53761804604
2014-11-05,167758.01190796748,2307.3837196006716,10,30,334390.8918924618
2014-11-06,169351.06447639782,3302.5925693740937,10,30,335131.5212346323
2014-11-07,169111.04388842045,3298.9997253680667,10,30,335131.5212346323
2014-11-10,169092.54303240465,2514.5285562539248,10,30,335841.5483045735
2014-11-11,169150.55352288298,2510.828160141681,10,30,335841.5483045735
2014-11-12,169436.5551525461,2507.125777283296,10,30,335841.5483045735
2014-11-13,169191.18238343226,2503.40748246725,10,30,335841.5483045735
2014-11-14,169561.61143766082,2532.142194983102,10,30,336158.1619143984
2014-11-17,169238.11820191052,2528.329906970577,10,30,336158.1619143984
2014-11-18,169919.02544704953,2051.581105550016,10,30,336967.0034563977
2014-11-19,169689.4112007279,19130.07405980362,9,30,303348.8294423234
2014-11-20,169642.43117502422,19128.55228161821,9,30,303348.8294423234
2014-11-21,169494.08488546943,19127.010613793977,9,30,303348.8294423234
2014-11-24,168990.10055596402,2226.428189077884,10,30,337146.84955351625
2014-11-25,169482.83179500262,1507.2203672117066,10,30,337681.68691267143
2014-11-26,169505.51562547006,1502.989321658641,10,30,337681.68691267143
2014-11-28,169376.6990870175,1498.741510116418,10,30,337681.68691267143
2014-12-01,169612.89079852903,1582.855140759806,10,30,337806.24496118445
2014-12-02,169493.30575840423,1578.673428774167,10,30,337806.24496118445
2014-12-03,169314.30063947456,1855.8345830808685,10,30,337798.8921937998
2014-12-04,169174.49592097587,1851.6581681703149,10,30,337798.8921937998
2014-12-05,168703.5441589313,1847.4494408828045,10,30,337798.8921937998
2014-12-08,167928.06370324318,2417.7561662710323,10,30,337472.1826469162
2014-12-09,168520.03881045923,2413.4072681795096,10,30,337472.1826469162
2014-12-10,169598.9183272035,2932.7132344356505,10,30,337863.27710925404
2014-12-11,169623.20136438293,3095.149374130535,10,30,337969.40877564973
2014-12-12,170442.69217935135,1769.8000367282148,10,30,339702.98541476455
2014-12-15,169664.63944364464,1766.9227213758033,10,30,339702.98541476455
2014-12-16,169377.33372362965,1764.089646879625,10,30,339702.98541476455
2014-12-17,170192.10713299064,1953.8954971403437,10,30,339871.1939460832
2014-12-18,170739.38727342364,1950.9613410428374,10,30,339871.1939460832
2014-12-19,170541.85809041743,1948.0125658976035,10,30,339871.1939460832
2014-12-22,170471.69008714313,1945.0317656674686,10,30,339871.1939460832
2014-12-23,170878.31036691216,2456.5118315548316,10,30,340214.19599153707
2014-12-24,170860.24835781383,2654.1686278399175,10,30,340297.7072272296
2014-12-26,171270.71592638292,2650.919746253809,10,30,340297.7072272296
2014-12-29,171070.77895459768,2647.668104803349,10,30,340297.7072272296
2014-12-30,170954.97726230722,2644.4251076637893,10,30,340297.7072272296
2014-12-31,170513.81485090073,2641.200755736295,10,30,340297.7072272296
2015-01-02,170664.21309713478,36123.080134302174,8,30,272455.34540208307
2015-01-05,171341.1033335784,1856.650570918442,10,30,340991.78673551447
2015-01-06,171583.26892520828,2665.9204261461346,10,30,341610.2312562843
2015-01-07,170960.42289630376,2663.3404620247634,10,30,341610.2312562843
2015-01-08,171007.37057672872,2660.71309156499,10,30,341610.2312562843
2015-01-09,170378.62610986398,2658.1161600955593,10,30,341610.2312562843
2015-01-12,170025.18753106828,2655.5342523008776,10,30,341610.2312562843
2015-01-13,169976.48860003927,169936.25431435253,0,30,0.0
2015-01-14,169936.25431435253,169956.48482081853,0,30,0.0
2015-01-15,169956.48482081853,169976.71773567816,0,30,0.0
2015-01-16,169976.71773567816,169996.95305921813,0,30,0.0
2015-01-20,169996.95305921813,170017.19079172518,0,30,0.0
2015-01-21,170017.19079172518,170037.4309334861,0,30,0.0
2015-01-22,170037.4309334861,170057.6734847877,0,30,0.0
2015-01-23,170057.6734847877,170077.91844591685,0,30,0.0
2015-01-26,170077.91844591685,170098.16581716042,0,30,0.0
2015-01-27,170098.16581716042,170118.41559880532,0,30,0.0
2015-01-28,170118.41559880532,170138.66779113852,0,30,0.0
2015-01-29,170138.66779113852,170158.922394447,0,30,0.0
2015-01-30,170158.922394447,170179.17940901776,0,30,0.0
2015-02-02,170179.17940901776,170199.43883513787,0,30,0.0
2015-02-03,170199.43883513787,170219.70067309443,0,30,0.0
2015-02-04,170219.70067309443,170239.96492317456,0,30,0.0
2015-02-05,170239.96492317456,170260.2315856654,0,30,0.0
2015-02-06,170260.2315856654,119202.43118515455,3,30,102156.13895139925
2015-02-09,170272.0941314139,119215.5718647591,3,30,102156.13895139925
2015-02-10,170524.88722821302,119228.70699268908,3,30,102156.13895139925
2015-02-11,170708.16330396518,119241.84008511926,3,30,102156.13895139925
2015-02-12,170104.41839283222,68223.62880753507,6,30,204218.78998709854
2015-02-13,169853.95164466018,34258.43714030106,8,30,272160.37064496265
2015-02-17,169322.7457661062,34258.85288744987,8,30,272160.37064496265
2015-02-18,169929.89902317108,34259.285818282566,8,30,272160.37064496265
2015-02-19,170606.99254500697,17199.02683140693,9,30,306281.76915396407
2015-02-20,169790.69741067156,17197.080284305917,9,30,306281.76915396407
2015-02-23,170251.85077913266,17195.162053127762,9,30,306281.76915396407
2015-02-24,169601.90359252156,17193.208813887544,9,30,306281.76915396407
2015-02-25,169409.73386513154,34395.12211008441,8,30,272260.88547539763
2015-02-26,169312.55124722703,34395.679642139105,8,30,272260.88547539763
2015-02-27,169241.48791844965,34864.89552322315,8,30,272057.1367419545
2015-03-02,168288.2187203224,1208.0050530380831,10,30,339372.4242300835
2015-03-03,167757.23669123574,1204.0901989788358,10,30,339372.4242300835
2015-03-04,167868.64772582042,2088.5503806626475,10,30,338894.10745811445
2015-03-05,168286.85410392244,2084.4789638456273,10,30,338894.10745811445
2015-03-06,169022.21418691459,2080.4582529761014,10,30,338894.10745811445
2015-03-09,169102.35261566218,2076.4324852090926,10,30,338894.10745811445
2015-03-10,170876.78808206329,36297.945698853124,8,30,271349.5875840183
2015-03-11,170128.26831372525,2273.4932903696754,10,30,339400.89490950835
2015-03-12,167975.14941295213,2269.695381496079,10,30,339400.89490950835
2015-03-13,168563.80274457164,2265.9342907504924,10,30,339400.89490950835
2015-03-16,168606.29191279633,2262.147450753371,10,30,339400.89490950835
2015-03-17,168375.5784536144,2258.356315275972,10,30,339400.89490950835
2015-03-18,168812.05960946286,19359.379767021157,9,30,305743.25116544386
2015-03-19,170148.37399623383,19063.51282283357,9,30,305720.8796475576
2015-03-20,170497.01945167873,19062.359677717304,9,30,305720.8796475576
2015-03-23,170830.80552897876,18644.675583794397,9,30,305916.25042442133
2015-03-24,171326.83724047276,17977.72219982732,9,30,306912.42683707265
2015-03-25,171766.92149634252,17458.253214556014,9,30,307244.9274577747
2015-03-26,171853.15479483132,17457.444549525055,9,30,307244.9274577747
2015-03-27,171790.54130419518,17656.63656385591,9,30,307577.3820558687
2015-03-30,172258.87415695764,17656.080229378196,9,30,307577.3820558687
2015-03-31,172074.74597860634,17655.54316501215,9,30,307577.3820558687
2015-04-01,172365.7619826448,52540.20281830362,7,30,239729.8385423113
2015-04-02,172525.56173755816,52544.55485798357,7,30,239729.8385423113
2015-04-06,172971.8851289199,52548.89953998804,7,30,239729.8385423113
2015-04-07,173037.35855387105,87473.19664478596,5,30,171018.34598220375
