date,value,cash,long_positions,short_positions,drawdown,leverage,in_protection,risk_on
2022-03-09,75862.10833836031,47595.8737400565,2,0,-0.36138597891712565,0.5,True,False
2022-03-10,75038.34547673364,47595.8737400565,2,0,-0.3683204884503406,0.5,True,False
2022-03-11,74345.84072570484,46093.97001324901,2,0,-0.37415005545500385,0.5,True,False
2022-03-14,73499.18282947155,46093.97001324901,2,0,-0.3812772974396786,0.5,True,False
2022-03-15,72028.88103170041,39801.782155007815,2,0,-0.3936544296318407,0.5,True,False
2022-03-16,71909.47951415027,39801.782155007815,2,0,-0.39465956229841515,0.5,True,False
2022-03-17,72639.5037990181,39801.782155007815,2,0,-0.38851415249819926,0.5,True,False
2022-03-18,72674.30660749506,36442.51268692713,2,0,-0.38822117934001443,0.5,True,False
2022-03-21,73838.8882070942,36442.51268692713,2,0,-0.3784176271518522,0.5,True,False
2022-03-22,73693.24560111453,38279.15038631695,2,0,-0.37964365965059094,0.5,True,True
2022-03-23,74164.34453667537,38279.15038631695,2,0,-0.37567790662637335,0.5,True,True
2022-03-24,74266.0281723578,38279.15038631695,2,0,-0.37482192467591335,0.5,True,True
2022-03-25,74985.80176831532,38237.82073432159,2,0,-0.3687628060928449,0.5,True,True
2022-03-28,74144.90363874234,38237.82073432159,2,0,-0.37584156184601347,0.5,True,True
2022-03-29,73832.3002783371,38330.030504016715,2,0,-0.3784730849260471,0.5,True,True
2022-03-30,74263.85733079983,38330.030504016715,2,0,-0.37484019901453686,0.5,True,True
2022-03-31,73721.61742494119,38330.030504016715,2,0,-0.3794048230970564,0.5,True,True
2022-04-01,73985.40955941794,37932.49540594016,2,0,-0.3771841972877016,0.5,True,True
2022-04-04,74010.22120315855,37932.49540594016,2,0,-0.3769753306489286,0.5,True,True
2022-04-05,73806.27598552482,38112.977812869925,2,0,-0.37869215975329246,0.5,True,True
2022-04-06,74162.84184272101,38112.977812869925,2,0,-0.37569055643864024,0.5,True,True
2022-04-07,74715.27567035948,38112.977812869925,2,0,-0.371040119009761,0.5,True,True
2022-04-08,75410.96316318493,38477.110325962974,2,0,-0.3651837593996541,0.5,True,True
2022-04-11,74296.84267150881,38477.110325962974,2,0,-0.3745625254627684,0.5,True,True
2022-04-12,75043.85807540097,38783.35287516119,2,0,-0.368274082901132,0.5,True,True
2022-04-13,75584.79005365542,38783.35287516119,2,0,-0.3637204690703032,0.5,True,False
2022-04-14,75793.74341828327,38783.35287516119,2,0,-0.36196148093608727,0.5,True,False
2022-04-18,76192.33479565551,38972.12226408886,2,0,-0.3586061030294079,0.5,True,False
2022-04-19,75806.38497891297,38972.12226408886,2,0,-0.3618550631467148,0.5,True,False
2022-04-20,75922.84946240897,39253.54870663474,2,0,-0.36087465469580565,0.5,True,False
2022-04-21,74888.58687018536,39253.54870663474,2,0,-0.36958116981043404,0.5,True,False
2022-04-22,74106.71645270055,39253.54870663474,2,0,-0.3761630249975939,0.5,True,False
2022-04-25,73139.0704796439,37987.13166057132,2,0,-0.38430875544687393,0.5,True,False
2022-04-26,73036.15209648249,37987.13166057132,2,0,-0.3851751316121778,0.5,True,False
2022-04-27,73496.75779574957,37917.94625884612,2,0,-0.3812977115907005,0.5,True,False
2022-04-28,74665.94627723322,37917.94625884612,2,0,-0.3714553782583101,0.5,True,False
2022-04-29,73673.6850849697,37917.94625884612,2,0,-0.3798083218270492,0.5,True,False
2022-05-02,74267.8382712793,38114.347447924534,2,0,-0.37480668710110643,0.5,True,False
2022-05-03,74950.47896703517,38114.347447924534,2,0,-0.3690601565970098,0.5,True,False
2022-05-04,76263.06735925574,39063.28565015165,2,0,-0.3580106699752569,0.5,True,False
2022-05-05,75834.61510850536,39063.28565015165,2,0,-0.36161741938793246,0.5,True,False
2022-05-06,76608.65018380177,39063.28565015165,2,0,-0.35510152281293206,0.5,True,False
2022-05-09,73874.82541505089,38721.27144810508,2,0,-0.378115104517267,0.5,True,False
2022-05-10,74161.88979570678,38721.27144810508,2,0,-0.37569857085565733,0.5,True,False
2022-05-11,74789.04309616168,38161.0779888837,2,0,-0.3704191382138364,0.5,True,False
2022-05-12,75047.45399667195,38161.0779888837,2,0,-0.3682438121138753,0.5,True,False
2022-05-13,75944.16172948125,38161.0779888837,2,0,-0.36069524612317916,0.5,True,False
2022-05-16,76969.18251623187,39410.79882351837,2,0,-0.35206652935458194,0.5,True,False
2022-05-17,77320.75256486039,39410.79882351837,2,0,-0.34910698120380335,0.5,True,False
2022-05-18,76523.7909045951,39684.33319855106,2,0,-0.35581587582403823,0.5,True,False
2022-05-19,76494.57448560365,39684.33319855106,2,0,-0.3560618222552995,0.5,True,False
2022-05-20,76746.66060745869,39684.33319855106,2,0,-0.3539397387084119,0.5,True,False
2022-05-23,77586.37705334809,39605.57573313084,2,0,-0.34687093047430584,0.5,True,False
2022-05-24,77791.04974386186,39605.57573313084,2,0,-0.34514797743809605,0.5,True,False
2022-05-25,78483.11684072469,40421.97154128899,2,0,-0.33932209464539176,0.5,True,False
2022-05-26,78677.89425059267,40421.97154128899,2,0,-0.3376824409677336,0.5,True,False
2022-05-27,79048.9730988876,40421.97154128899,2,0,-0.334558665994443,0.5,True,False
2022-05-31,78341.99448588255,40377.540461322504,2,0,-0.3405100752652878,0.5,True,False
2022-06-01,78885.7913495682,40377.540461322504,2,0,-0.3359323445723623,0.5,True,False
2022-06-02,78817.39681119465,40575.473086185506,2,0,-0.3365080959207961,0.5,True,False
2022-06-03,79268.62482500775,40575.473086185506,2,0,-0.33270961809519745,0.5,True,False
2022-06-06,79135.99022355938,40575.473086185506,2,0,-0.33382614804698685,0.5,True,False
2022-06-07,80388.22076951886,40921.80077171277,2,0,-0.32328475917981747,0.5,True,False
2022-06-08,80725.867345959,40921.80077171277,2,0,-0.3204424200647012,0.5,True,False
2022-06-09,79898.2514564053,41430.18209287935,2,0,-0.32740936473202625,0.5,True,False
2022-06-10,79314.96636455505,41430.18209287935,2,0,-0.3323195108656241,0.5,True,False
2022-06-13,77574.22919744116,41430.18209287935,2,0,-0.34697319221311296,0.5,True,False
2022-06-14,77645.36640145464,40348.05966653664,2,0,-0.3463743528597297,0.5,True,False
2022-06-15,77041.74082863756,40348.05966653664,2,0,-0.35145572698349953,0.5,True,False
2022-06-16,75379.9071179629,39276.65809319195,2,0,-0.3654451919692542,0.5,True,False
2022-06-17,73509.03274889383,38142.07569795921,2,0,-0.38119437993596844,0.5,True,False
2022-06-21,75344.01688833948,38142.07569795921,2,0,-0.36574731913602326,0.5,True,False
2022-06-22,73798.97955864153,38142.07569795921,2,0,-0.37875358172815626,0.5,True,False
2022-06-23,72604.95225672785,38142.07569795921,2,0,-0.3888050104751247,0.5,True,False
2022-06-24,73229.8168419167,37887.33174907269,2,0,-0.3835448444433568,0.5,True,False
2022-06-27,74005.08251173432,37902.02994869526,2,0,-0.3770185886134831,0.5,True,False
2022-06-28,74798.03034656795,37902.02994869526,2,0,-0.37034348273515094,0.5,True,False
2022-06-29,73746.78224867317,38067.23874319181,2,0,-0.3791929833574904,0.5,True,False
2022-06-30,73220.94662916458,38067.23874319181,2,0,-0.3836195146885895,0.5,True,False
2022-07-01,73672.1059607132,38067.23874319181,2,0,-0.3798216150364434,0.5,True,False
2022-07-05,73249.37112953866,37610.53771225737,2,0,-0.3833802346991619,0.5,True,False
2022-07-06,73024.58483407479,37610.53771225737,2,0,-0.38527250586291906,0.5,True,False
2022-07-07,73556.47235804328,37822.23107159785,2,0,-0.3807950290581574,0.5,True,False
2022-07-08,73541.24076681052,37822.23107159785,2,0,-0.3809232499570712,0.5,True,False
2022-07-11,73740.29852215681,37822.23107159785,2,0,-0.379247563947892,0.5,True,False
