date,reason,positions_before,portfolio_value
2009-02-25,drift_threshold,0,206865.3923932681
2009-02-26,drift_threshold,0,206908.65352889954
2009-02-27,drift_threshold,0,206951.92371160182
2009-03-02,drift_threshold,0,206995.2029432669
2009-03-03,drift_threshold,0,207040.3804677188
2009-03-04,drift_threshold,0,207085.56785234468
2009-03-05,drift_threshold,0,207130.76509929658
2009-03-06,drift_threshold,0,207175.972210727
2009-03-09,drift_threshold,0,207221.18918878885
2009-03-10,drift_threshold,0,207266.4160356356
2009-03-11,drift_threshold,0,207311.65275342116
2009-03-12,drift_threshold,0,207356.8993442999
2009-03-13,drift_threshold,0,207402.15581042663
2009-03-16,drift_threshold,0,207447.4221539567
2009-03-17,drift_threshold,0,207492.69837704586
2009-03-18,drift_threshold,0,207537.98448185038
2009-03-19,drift_threshold,0,207583.28047052698
2009-03-20,drift_threshold,0,207628.58634523285
2009-03-23,drift_threshold,0,207673.90210812565
2009-03-24,drift_threshold,0,207719.22776136352
2009-03-25,drift_threshold,0,207764.5633071051
2009-03-26,drift_threshold,0,207809.9087475094
2009-03-27,drift_threshold,0,207855.26408473606
2009-03-30,drift_threshold,0,207900.62932094504
2009-03-31,drift_threshold,0,207946.00445829684
2009-04-01,drift_threshold,0,207991.38949895243
2009-04-02,drift_threshold,0,208035.8765461508
2009-04-03,drift_threshold,0,208080.3731086343
2009-04-06,drift_threshold,0,208124.8791884381
2009-04-07,drift_threshold,0,208169.39478759785
2009-04-08,drift_threshold,0,208213.91990814963
2009-04-09,drift_threshold,0,208258.45455213
2009-04-13,drift_threshold,0,208302.99872157586
2009-04-14,drift_threshold,0,208347.55241852463
2009-04-15,drift_threshold,0,208392.11564501416
2009-04-16,drift_threshold,0,208436.68840308266
2009-04-17,drift_threshold,0,208481.27069476887
2009-04-20,drift_threshold,0,208525.86252211191
2009-04-21,drift_threshold,0,208570.46388715136
2009-04-22,drift_threshold,0,208615.0747919272
2009-04-23,drift_threshold,0,208659.69523847994
2009-04-24,drift_threshold,0,208704.3252288504
2009-04-27,drift_threshold,0,208748.9647650799
2009-04-28,drift_threshold,0,208793.6138492102
2009-04-29,drift_threshold,0,208838.2724832835
2009-04-30,drift_threshold,0,208882.94066934244
2009-05-01,drift_threshold,0,208927.61840943006
2009-05-04,drift_threshold,0,208973.5493223661
2009-05-05,drift_threshold,0,209019.49033281236
2009-05-06,drift_threshold,0,209065.4414429887
2009-05-07,drift_threshold,0,209111.40265511544
2009-05-08,drift_threshold,0,209157.3739714134
2009-05-11,drift_threshold,0,209203.35539410394
2009-05-12,drift_threshold,0,209249.34692540884
2009-05-13,drift_threshold,0,209295.3485675504
2009-05-14,drift_threshold,0,209341.36032275134
2009-05-15,drift_threshold,0,209387.38219323498
2009-05-18,drift_threshold,0,209433.4141812251
2009-05-19,drift_threshold,0,209479.4562889459
2009-05-20,drift_threshold,0,209525.5085186221
2009-05-21,drift_threshold,0,209571.57087247897
2009-05-22,drift_threshold,0,209617.64335274222
2009-05-26,drift_threshold,0,209663.72596163803
2009-05-27,drift_threshold,0,209709.8187013931
2009-05-28,drift_threshold,0,209755.92157423458
2009-05-29,drift_threshold,0,209802.0345823902
2009-06-01,drift_threshold,0,209848.15772808806
2010-05-24,drift_threshold,0,220971.81398927746
2010-05-25,drift_threshold,0,221015.30685425314
2010-05-26,drift_threshold,0,221058.80827972922
2010-05-27,drift_threshold,0,221102.31826739063
2010-05-28,drift_threshold,0,221145.83681892263
2010-06-01,drift_threshold,0,221189.3639360108
2010-06-02,drift_threshold,0,221232.19743188412
2010-06-03,drift_threshold,0,221275.03922249793
2010-06-04,drift_threshold,0,221317.88930945846
2010-06-07,drift_threshold,0,221360.74769437234
2010-06-08,drift_threshold,0,221403.61437884648
2010-06-09,drift_threshold,0,221446.4893644881
2010-06-10,drift_threshold,0,221489.3726529047
2010-06-11,drift_threshold,0,221532.26424570417
2010-06-14,drift_threshold,0,221575.1641444946
2010-06-15,drift_threshold,0,221618.0723508845
2010-06-16,drift_threshold,0,221660.9888664826
2010-06-24,drift_threshold,0,221918.66254357446
2010-06-25,drift_threshold,0,221961.63726870195
2010-06-28,drift_threshold,0,222004.62031591905
2010-06-29,drift_threshold,0,222047.61168683736
2010-06-30,drift_threshold,0,222090.61138306878
2010-07-01,drift_threshold,0,222133.6194062255
2010-07-02,drift_threshold,0,222175.22538573336
2010-07-06,drift_threshold,0,222216.8391581072
2010-07-07,drift_threshold,0,222258.46072480667
2010-07-08,drift_threshold,0,222300.09008729164
2010-07-09,drift_threshold,0,222341.72724702227
2010-07-12,drift_threshold,0,222383.37220545902
2010-07-13,drift_threshold,0,222425.02496406258
2010-07-14,drift_threshold,0,222466.68552429395
2010-07-15,drift_threshold,0,222508.3538876144
2010-07-16,drift_threshold,0,222550.0300554854
2010-07-19,drift_threshold,0,222591.7140293688
2010-07-20,drift_threshold,0,222633.4058107267
2010-07-21,drift_threshold,0,222675.1054010214
2010-07-22,drift_threshold,0,222716.81280171557
