config,bull,mild_bull,mild_bear,bear,cagr,sharpe,sortino,max_dd,trades,win_rate,cagr_delta,sharpe_delta,dd_delta,is_cagr,is_sharpe,is_max_dd,oos_cagr,oos_sharpe,oos_max_dd,oos_sharpe_delta,passes_kill
b6/mb5/mbr4/br2,6,5,4,2,0.09355142075958311,0.6688924873784673,0.9370871160507387,-0.3030626846560173,5260,0.5408745247148289,-0.014839398415448013,-0.10753454723269695,-0.046298453491752434,0.08346851855074622,0.624174217775932,-0.3030626846560173,0.46350312128264637,2.9294431715458646,-0.298983617604869,-0.5786566794847388,False
b6/mb5/mbr4/br3,6,5,4,3,0.1010782157159058,0.7317619246984767,1.0409262377160344,-0.3259556102239843,5016,0.5376794258373205,-0.007312603459125322,-0.04466510991268757,-0.023405527923785474,0.07824192584644507,0.5865707519440785,-0.3259556102239843,0.5068822606195715,3.3237810421956127,-0.15291055703097184,-0.18431880883499074,False
b6/mb5/mbr4/br4,6,5,4,4,0.09602824456815129,0.6957603500805942,0.9778065563316762,-0.3854216946178056,4930,0.5399594320486816,-0.01236257460687984,-0.08066668453057002,0.036060556470035865,0.07812978323190212,0.5952656528427609,-0.3854216946178056,0.47767085430524525,3.0223015232465373,-0.21779185158893707,-0.48579832778406606,False
b6/mb5/mbr5/br2,6,5,5,2,0.10055013620875974,0.717828908648059,1.0078280629395564,-0.3171475412156923,5086,0.5418796696814786,-0.007840682966271384,-0.05859812596310521,-0.03221359693207748,0.0911243550813281,0.6777148820609742,-0.3171475412156923,0.5038070875013587,3.2101178538465054,-0.24134300604512018,-0.297981997184098,False
b6/mb5/mbr5/br3,6,5,5,3,0.09931690833476914,0.7150849573802532,1.0023371077886338,-0.32802496076071086,4869,0.5415896487985212,-0.00907391084026199,-0.06134207723091101,-0.021336177387058897,0.08407029574877689,0.6296681633798147,-0.32802496076071086,0.49664431467798154,3.2033523961770007,-0.2061209294313784,-0.30474745485360266,False
b6/mb5/mbr5/br4,6,5,5,4,0.09825226159246814,0.7074798420446755,0.9958765048124365,-0.37626094000179866,4770,0.540670859538784,-0.01013855758256299,-0.06894719256648874,0.026899801854028904,0.08321653875560431,0.6243808336660652,-0.37626094000179866,0.4904817087091864,3.1510326343054493,-0.20221782449199258,-0.35706721672515407,False
b6/mb6/mbr3/br2,6,6,3,2,0.09590989155277474,0.6941379932473515,0.94835986051068,-0.35141144834760113,5282,0.5405149564558879,-0.012480927622256388,-0.08228904136381276,0.0020503101998313733,0.08041923150311381,0.6070019466317916,-0.35141144834760113,0.4769914827728212,3.0726390936792822,-0.24614417532772825,-0.43546075735132117,False
b6/mb6/mbr3/br3,6,6,3,3,0.10318397096208543,0.7467329421816613,1.0381810900695458,-0.3853065973853466,5024,0.5392117834394905,-0.005206848212945703,-0.02969409242950294,0.03594545923757686,0.0870749942373541,0.6558636273584861,-0.3853065973853466,0.5191926136577178,3.360563568412476,-0.20637150917784716,-0.14753628261812723,False
b6/mb6/mbr4/br2,6,6,4,2,0.1021790101616662,0.727030085230802,1.001814408802975,-0.3379058963156129,4988,0.535485164394547,-0.006211809013364933,-0.04939694938036221,-0.011455241832156848,0.09392895619223474,0.6908510334212252,-0.3379058963156129,0.5133080009496145,3.3215308471527565,-0.3263729246541146,-0.18656900387784692,False
b6/mb6/mbr4/br3,6,6,4,3,0.09734772451623064,0.7146530795637354,0.9749827273880697,-0.38034529770695746,4768,0.5375419463087249,-0.01104309465880049,-0.061773955047428886,0.030984159559187707,0.07339081192977681,0.558953396233509,-0.38034529770695746,0.48526115468368314,3.212522527945751,-0.16715464539735556,-0.2955773230848524,False
b6/mb6/mbr4/br4,6,6,4,4,0.08537787764289351,0.6259679272925314,0.8465714679608574,-0.40027754453471337,4665,0.5380493033226152,-0.02301294153213762,-0.15045910731863288,0.05091640638694361,0.07080982749499976,0.5449936777548711,-0.40027754453471337,0.4174856922072785,2.683247185459293,-0.3018466286645176,-0.8248526655713104,False
b6/mb6/mbr5/br2,6,6,5,2,0.10016895557808692,0.714430117488636,0.9852424819161882,-0.3376647349026567,4851,0.5429808286951144,-0.008221863596944212,-0.061996917122528195,-0.011696403245113063,0.08805086190138645,0.6515252403515048,-0.3376647349026567,0.5015903385583085,3.225226193640983,-0.30167160622520955,-0.28287365738962045,False
b6/mb6/mbr5/br3,6,6,5,3,0.10526958607940595,0.7610720960133238,1.055659829936044,-0.3645060295633056,4639,0.541064884673421,-0.0031212330956251755,-0.015354938597840428,0.015144891415535822,0.08191449453690569,0.6129763075990455,-0.3645060295633056,0.5314609319038659,3.4855428761577087,-0.19565169586679182,-0.022556974872894653,False
b6/mb6/mbr5/br4,6,6,5,4,0.09060447199343735,0.6604768517900492,0.9095086970370337,-0.4141887116813196,4534,0.5394794883105426,-0.017786347181593776,-0.11595018282111502,0.06482757353354984,0.06231362258181683,0.47605953716856875,-0.4141887116813196,0.44678188359668236,2.868289556086854,-0.20199334190143042,-0.6398102949437492,False
b7/mb4/mbr3/br2,7,4,3,2,0.09448691055845004,0.6882441015187496,0.9363510240945055,-0.3257337343117244,5545,0.5372407574391344,-0.013903908616581084,-0.08818293309241465,-0.023627403836045335,0.07665925734045564,0.5841823468925725,-0.3257337343117244,0.46884196509523135,3.0182673395007034,-0.24011117692046785,-0.48983251152990004,False
b7/mb4/mbr3/br3,7,4,3,3,0.09572958954647737,0.7018801482038303,0.9649051197523778,-0.36919978659633,5284,0.5401211203633611,-0.01266122962855376,-0.07454688640733398,0.01983864844856026,0.07744425682212785,0.5940081050439163,-0.36919978659633,0.47595697024508543,3.0847453422243416,-0.2482361403011143,-0.4233545088062618,False
