symbol,strategy,entry_date,exit_date,exit_reason,pnl_pct,hold_days
TSLA,RATTLESNAKE,2010-12-30,2011-01-06,PROFIT,0.052075465943475674,5
TGT,RATTLESNAKE,2011-01-06,2011-01-19,TIME,-0.007281911569081867,8
AIG,RATTLESNAKE,2011-01-14,2011-01-19,STOP,-0.05518492793497509,2
TSLA,RATTLESNAKE,2011-01-14,2011-01-19,STOP,-0.06679632930838886,2
TSLA,RATTLESNAKE,2011-01-19,2011-01-20,STOP,-0.058676642941388746,1
TMUS,RATTLESNAKE,2011-01-12,2011-01-25,PROFIT,0.04009250298474876,8
CRM,RATTLESNAKE,2011-01-21,2011-01-25,STOP,-0.0625376936771791,2
CRM,RATTLESNAKE,2011-01-25,2011-01-28,PROFIT,0.06162806045644764,3
AIG,RATTLESNAKE,2011-01-19,2011-01-31,TIME,-0.04655046546658892,8
NVDA,RATTLESNAKE,2011-02-09,2011-02-17,PROFIT,0.1026190112512908,6
NFLX,RATTLESNAKE,2011-02-22,2011-02-28,STOP,-0.06737341642737926,4
NVDA,RATTLESNAKE,2011-02-25,2011-03-01,STOP,-0.06358138313337847,2
F,RATTLESNAKE,2011-02-24,2011-03-08,TIME,-0.015646307552125593,8
NFLX,RATTLESNAKE,2011-02-28,2011-03-08,STOP,-0.054289517769172124,6
NVDA,RATTLESNAKE,2011-03-04,2011-03-08,STOP,-0.05828543391195107,2
AIG,RATTLESNAKE,2011-02-25,2011-03-09,TIME,-0.037104329446919104,8
NVDA,RATTLESNAKE,2011-03-08,2011-03-10,STOP,-0.08337577085031078,2
QCOM,RATTLESNAKE,2011-03-10,2011-03-16,STOP,-0.0655071761662368,4
BLK,RATTLESNAKE,2011-03-10,2011-03-16,STOP,-0.05573116318371052,4
MET,RATTLESNAKE,2011-03-16,2011-03-18,PROFIT,0.04115370205487623,2
NVDA,RATTLESNAKE,2011-03-10,2011-03-22,TIME,-0.026227657152443018,8
SCHW,RATTLESNAKE,2011-03-16,2011-03-23,PROFIT,0.04254061514664276,5
BLK,RATTLESNAKE,2011-03-16,2011-03-25,PROFIT,0.04711595517572986,7
ADBE,RATTLESNAKE,2011-03-16,2011-03-28,TIME,0.01059520570181327,8
NVDA,RATTLESNAKE,2011-04-04,2011-04-14,PROFIT,0.05470095778944506,8
COP,RATTLESNAKE,2011-05-03,2011-05-13,TIME,-0.041594059849241805,8
EMR,RATTLESNAKE,2011-05-06,2011-05-18,TIME,-0.022475779396872286,8
TSLA,RATTLESNAKE,2011-05-17,2011-05-19,PROFIT,0.08628638589072923,2
