date,value,cash,positions,drawdown,leverage,regime_score,regime_label,dd_leverage,universe_size
2003-08-04 00:00:00-04:00,308406.4679598724,87118.45124988686,8,-0.19123271056670316,0.3969182235832421,0.5,MILD,0.3969182235832421,50
2003-08-05 00:00:00-04:00,300046.6961962839,95665.16456972773,8,-0.21315543480216947,0.3421114129945763,0.5,MILD,0.3421114129945763,50
2003-08-06 00:00:00-04:00,300630.81765545864,95678.45139814018,8,-0.21162363058171443,0.34594092354571393,0.5,MILD,0.34594092354571393,50
2003-08-07 00:00:00-04:00,300239.75998058286,103065.1648635926,8,-0.21264914297713708,0.3433771425571573,0.5,MILD,0.3433771425571573,50
2003-08-08 00:00:00-04:00,299483.3107750059,120484.53416563215,8,-0.2146328606910861,0.3384178482722847,0.5,MILD,0.3384178482722847,50
2003-08-11 00:00:00-04:00,300163.1458531248,120501.26812871071,8,-0.2128500564035203,0.3428748589911992,0.5,MILD,0.3428748589911992,50
2003-08-12 00:00:00-04:00,301592.52423513855,120518.00441595081,8,-0.20910164448711965,0.35224588878220087,0.5,MILD,0.35224588878220087,50
2003-08-13 00:00:00-04:00,303294.60986819176,120534.74302767524,8,-0.2046380831586753,0.3634047921033118,0.5,MILD,0.3634047921033118,50
2003-08-14 00:00:00-04:00,305829.30242249434,95033.59629714262,8,-0.19799108758737366,0.3800222810315658,0.5,MILD,0.3800222810315658,50
2003-08-15 00:00:00-04:00,305282.8567087578,90927.31063868731,8,-0.19942409066816064,0.3764397733295984,0.5,MILD,0.3764397733295984,50
2003-08-18 00:00:00-04:00,312542.1765919081,90939.93943183158,8,-0.18038719917926815,0.4240320020518296,0.5,MILD,0.4240320020518296,50
2003-08-19 00:00:00-04:00,316804.94449287857,83108.42430746436,8,-0.1692084866718517,0.4519787833203707,0.5,MILD,0.4519787833203707,50
2003-08-20 00:00:00-04:00,316355.2652104517,83487.70710429671,8,-0.17038772878298028,0.44903067804254926,0.5,MILD,0.44903067804254926,50
2003-08-21 00:00:00-04:00,320377.37808455515,83499.30261917232,8,-0.15984011170963575,0.47539972072591064,0.5,MILD,0.47539972072591064,50
