date,value,cash,positions,drawdown,leverage,in_protection,risk_on,universe_size,hmm_pb
2006-06-08,119719.24768736497,60457.10395900623,2,-0.16844743349198715,0.33,True,True,40,0.39999997897632034
2006-06-09,119222.56961047187,60471.23460751093,2,-0.17189728752587877,0.33,True,True,40,0.3999998970291874
2006-06-12,116947.30721430539,60485.36855877435,2,-0.18770093081264733,0.3,True,True,40,5.479073220215327e-71
2006-06-13,114844.72593051296,61226.02207985612,2,-0.2023051560863903,0.33,True,False,40,7.28815251630976e-115
2006-06-14,115610.55445705829,61240.332447715264,2,-0.19698582198552098,0.33,True,False,40,4.781823519364473e-86
2006-06-15,118054.5589064032,60290.46977915788,2,-0.18001012082076792,0.33,True,False,40,1.284020501234646e-29
2006-06-16,117645.81067190404,60304.56148022928,2,-0.1828492268961836,0.33,True,False,40,2.1807203968054726e-35
2006-06-19,116413.16750591662,61073.700175480844,2,-0.19141098791678499,0.33,True,False,40,1.402922710344405e-43
2006-06-20,116744.10854949239,61087.9749411171,2,-0.18911231932786335,0.33,True,False,40,1.6454561880726827e-34
2006-06-21,117960.47288838314,61102.25304319659,2,-0.18066362868411004,0.33,True,False,40,9.508607332314763e-25
2006-06-22,117095.36190471423,61405.90915427166,2,-0.1866725643622122,0.33,True,False,40,2.8202708172200195e-29
2006-06-23,115613.82727051314,61420.26156716526,2,-0.19696308949696414,0.33,True,False,40,8.01660423438084e-31
2006-06-26,116192.53074880534,61124.51103221583,2,-0.1929434988971497,0.33,True,False,40,8.86651443390661e-26
2006-06-27,114747.1954710442,61138.797673881694,2,-0.20298258854149345,0.33,True,False,40,2.714689077113141e-28
2006-06-28,115165.30207039553,61153.08765476658,2,-0.20007848061832587,0.33,True,False,40,9.94998869797093e-20
2006-06-29,116967.99620008009,60850.15594121696,2,-0.18755722811193937,0.33,True,False,40,3.956936447048206e-09
2006-06-30,116948.52526416084,60864.378457823856,2,-0.1876924704146495,0.33,True,False,40,6.560958018206435e-13
2006-07-03,117698.77222976933,63824.59230492529,2,-0.18248136358080302,0.3,True,True,40,4.4849184560822173e-07
