date,portfolio_value,cash,positions_value,positions_count
2005-09-08,138430.57030954602,16608.873218421824,121821.6970911242,17
2005-09-09,138965.1200341171,16608.873218421824,122356.24681569528,17
2005-09-12,138506.6088224649,16608.873218421824,121897.73560404309,17
2005-09-13,137624.29163782368,16608.873218421824,121015.41841940186,17
2005-09-14,137134.5460655343,16608.873218421824,120525.67284711247,17
2005-09-15,137061.97823573556,16608.873218421824,120453.10501731372,17
2005-09-16,138998.3816478308,16608.873218421824,122389.50842940898,17
2005-09-19,138419.88321756443,16608.873218421824,121811.0099991426,17
2005-09-20,137739.88441841508,16608.873218421824,121131.01119999326,17
2005-09-21,136459.8611804741,16608.873218421824,119850.98796205228,17
2005-09-22,136772.51829932415,16608.873218421824,120163.64508090232,17
2005-09-23,137825.01997942617,16608.873218421824,121216.14676100435,17
2005-09-26,138008.9336752484,16608.873218421824,121400.06045682658,17
2005-09-27,137844.9810376863,16608.873218421824,121236.10781926445,17
2005-09-28,137191.27205855137,16608.873218421824,120582.39884012955,17
2005-09-29,138346.365204664,16608.873218421824,121737.49198624217,17
2005-09-30,139006.69563170016,16608.873218421824,122397.82241327835,17
2005-10-03,139650.22786930998,16608.873218421824,123041.35465088816,17
2005-10-04,139016.32985965064,16608.873218421824,122407.45664122883,17
2005-10-05,137924.93012641743,16608.873218421824,121316.05690799562,17
2005-10-06,137511.10168651782,16608.873218421824,120902.22846809599,17
2005-10-07,137455.72442139784,16608.873218421824,120846.85120297603,17
2005-10-10,136792.1312809423,16608.873218421824,120183.25806252047,17
2005-10-11,136575.1041512205,16608.873218421824,119966.23093279867,17
2005-10-12,136162.91777554713,16608.873218421824,119554.04455712532,17
2005-10-13,136949.27935811327,16608.873218421824,120340.40613969145,17
2005-10-14,138228.93120947987,16608.873218421824,121620.05799105804,17
2005-10-17,138248.42459617485,16608.873218421824,121639.55137775301,17
2005-10-18,137361.8487134206,16608.873218421824,120752.97549499877,17
2005-10-19,139360.49220087967,16608.873218421824,122751.61898245786,17
2005-10-20,138347.5370035789,16608.873218421824,121738.6637851571,17
2005-10-21,138431.3081990682,16608.873218421824,121822.43498064639,17
2005-10-24,140411.5067597223,16608.873218421824,123802.6335413005,17
2005-10-25,139991.57338926056,16608.873218421824,123382.70017083875,17
2005-10-26,139664.9866914589,16608.873218421824,123056.11347303707,17
2005-10-27,138755.25090607593,16608.873218421824,122146.37768765411,17
2005-10-28,140408.6113498733,16608.873218421824,123799.7381314515,17
2005-10-31,141722.15315715692,16608.873218421824,125113.2799387351,17
2005-11-01,142084.82513539828,16608.873218421824,125475.95191697645,17
2005-11-02,143720.3931124701,16608.873218421824,127111.51989404828,17
2005-11-03,144252.59937524676,16608.873218421824,127643.72615682494,17
2005-11-04,144203.61378083884,16608.873218421824,127594.740562417,17
2005-11-07,144728.32209887193,16608.873218421824,128119.44888045009,17
2005-11-08,144293.21079591892,16608.873218421824,127684.33757749709,17
2005-11-09,144765.83192844072,16608.873218421824,128156.95871001888,17
2005-11-10,146117.20091135072,16608.873218421824,129508.32769292888,17
2005-11-11,146765.56764778637,16608.873218421824,130156.69442936455,17
2005-11-14,146827.07989992324,16608.873218421824,130218.20668150143,17
2005-11-15,146481.14620279463,16608.873218421824,129872.27298437282,17
2005-11-16,146772.26236171916,16608.873218421824,130163.38914329735,17
2005-11-17,148205.63760973403,16608.873218421824,131596.7643913122,17
2005-11-18,148231.25849689054,16608.873218421824,131622.38527846872,17
2005-11-21,148306.43946504727,16608.873218421824,131697.56624662544,17
2005-11-22,148834.44482953358,16608.873218421824,132225.57161111175,17
2005-11-23,149744.20011515776,16608.873218421824,133135.32689673593,17
2005-11-25,150383.0847541092,16608.873218421824,133774.21153568738,17
2005-11-28,149292.27935417055,16608.873218421824,132683.40613574872,17
2005-11-29,149204.78893173148,16608.873218421824,132595.91571330966,17
2005-11-30,148847.7485612973,16608.873218421824,132238.8753428755,17
2005-12-01,151167.11260857788,16608.873218421824,134558.23939015606,17
2005-12-02,151878.451422297,16608.873218421824,135269.57820387516,17
2005-12-05,151513.20482450072,16608.873218421824,134904.3316060789,17
2005-12-06,152971.90243724754,16608.873218421824,136363.02921882572,17
2005-12-07,152253.068947229,16608.873218421824,135644.1957288072,17
2005-12-08,151934.80376471515,16608.873218421824,135325.93054629333,17
2005-12-09,152200.45062357516,16608.873218421824,135591.57740515334,17
2005-12-12,152054.17331073337,16608.873218421824,135445.30009231155,17
2005-12-13,153162.2626171737,16608.873218421824,136553.38939875187,17
2005-12-14,152818.3285807118,16608.873218421824,136209.45536228997,17
2005-12-15,152758.7654095958,16608.873218421824,136149.89219117397,17
2005-12-16,153601.95210552833,16608.873218421824,136993.0788871065,17
2005-12-19,153199.48771996982,16608.873218421824,136590.614501548,17
2005-12-20,153256.93065971957,16608.873218421824,136648.05744129774,17
2005-12-21,153645.13675567036,16608.873218421824,137036.26353724854,17
2005-12-22,154040.20251324418,16608.873218421824,137431.32929482235,17
2005-12-23,153986.01467338498,16608.873218421824,137377.14145496316,17
2005-12-27,153451.21971291656,16608.873218421824,136842.34649449473,17
2005-12-28,153056.9344488318,16608.873218421824,136448.06123040998,17
2005-12-29,152304.82546739877,16608.873218421824,135695.95224897694,17
2005-12-30,151741.70671095923,16608.873218421824,135132.8334925374,17
2006-01-03,154527.6631013283,16608.873218421824,137918.78988290648,17
2006-01-04,154595.39667274637,16608.873218421824,137986.52345432455,17
2006-01-05,154453.98505710953,16608.873218421824,137845.1118386877,17
2006-01-06,156164.87387284468,16608.873218421824,139556.00065442285,17
2006-01-09,156005.99938411787,16608.873218421824,139397.12616569604,17
2006-01-10,157185.6570158066,16608.873218421824,140576.78379738476,17
2006-01-11,158413.1673178478,16608.873218421824,141804.29409942598,17
2006-01-12,157958.36351903214,16608.873218421824,141349.4903006103,17
2006-01-13,157841.60846164092,16608.873218421824,141232.7352432191,17
2006-01-17,157228.44580135797,16608.873218421824,140619.57258293615,17
2006-01-18,157140.3245084053,16608.873218421824,140531.45128998347,17
2006-01-19,157116.5982830484,16608.873218421824,140507.72506462657,17
2006-01-20,153892.91658752965,16608.873218421824,137284.04336910782,17
2006-01-23,153597.64720561833,16608.873218421824,136988.7739871965,17
2006-01-24,153970.37940225875,16608.873218421824,137361.50618383693,17
2006-01-25,153780.92400781557,16608.873218421824,137172.05078939375,17
2006-01-26,153796.44297130176,16608.873218421824,137187.56975287994,17
2006-01-27,154827.97019826167,16608.873218421824,138219.09697983984,17
2006-01-30,154941.81338687573,16608.873218421824,138332.9401684539,17
2006-01-31,155190.5301016622,16608.873218421824,138581.6568832404,17
2006-02-01,155184.8445260252,16608.873218421824,138575.97130760338,17
2006-02-02,153315.75614472336,16608.873218421824,136706.88292630154,17
