date,portfolio_value,cash,positions,drawdown,leverage,in_protection,risk_on,universe_size
2015-04-07,191700.77108918273,39517.96696114795,5,-0.06785263400417876,1.0769983002615295,False,True,40
2015-04-08,192968.02343642068,39510.84228522722,5,-0.06169060382131459,1.1931686459793225,False,True,40
2015-04-09,193022.22769588063,39066.43218540939,5,-0.06142703494053091,1.1938980803581527,False,True,40
2015-04-10,193621.2743125944,39057.335725805824,5,-0.058514163371440144,1.2563489940554982,False,True,40
2015-04-13,192577.78461491654,38741.80617243337,5,-0.06358814490843506,1.2684152683051673,False,True,40
2015-04-14,192519.16157285817,42294.70274162812,5,-0.06387320017415411,1.3754363143564947,False,True,40
2015-04-15,192613.60703551344,42282.5502226235,5,-0.06341395794604948,1.374205424713833,False,True,40
2015-04-16,192815.4830130595,39817.82101876631,5,-0.062432333513042636,1.487314001943359,False,True,40
2015-04-17,190141.15285469205,39805.453949337636,5,-0.07543629692310992,1.3891832292171147,False,True,40
2015-04-20,192771.27263630895,39670.29756281059,5,-0.06264730701577595,1.3847564717222716,False,True,40
2015-04-21,192914.44974250495,34242.46498385024,5,-0.06195110656935511,1.3865123872361391,False,True,40
2015-04-22,192238.11762026453,34229.76274272873,5,-0.06523977986317028,1.3955811029400789,False,True,40
2015-04-23,192905.20559365538,37714.578670630755,5,-0.06199605635725653,1.6379786985061489,False,True,40
2015-04-24,193614.69507168743,37696.615641303,5,-0.058546155011572065,1.65605181853203,False,True,40
2015-04-27,191494.14625438725,36773.64291653598,5,-0.06885734981418627,1.61740373024536,False,True,40
2015-04-28,189722.49161117425,35942.247559143085,5,-0.07747204238815082,1.7928625695925264,False,True,40
2015-04-29,190363.33358018452,35920.8119744042,5,-0.07435594040254848,1.9202138683118726,False,True,40
2015-04-30,187800.27512728548,35972.61026628227,5,-0.08681884377110975,1.7421839658231104,False,True,40
2015-05-01,189587.5043682279,35955.71922328891,5,-0.07812841952341511,1.6142441696976881,False,True,40
2015-05-04,189509.274253761,36455.052055406835,5,-0.07850881442077295,1.6526178749477183,False,True,40
2015-05-05,187348.31792677258,36046.423417729195,5,-0.08901649123808292,1.4976344932343528,False,True,40
2015-05-06,186493.75086211547,36032.12813199129,5,-0.09317183413973625,1.488942469877339,False,True,40
2015-05-07,187581.42117667565,36353.14728017413,5,-0.08788302380773479,1.4924919279606423,False,True,40
2015-05-08,190676.5660990409,36341.140436971924,5,-0.07283284341270706,1.3714141031797367,False,True,40
2015-05-11,189661.48338587195,35794.64289670042,5,-0.07776869563683891,1.3695044779912733,False,True,40
2015-05-12,189767.6692667024,36164.77775467909,5,-0.07725236548042026,1.363593584272792,False,True,40
2015-05-13,189553.93063526994,36152.6690685738,5,-0.078291672214396,1.3786505476846052,False,True,40
2015-05-14,190920.29250743156,36644.53734689484,5,-0.07164772074306859,1.3043840287552626,False,True,40
2015-05-15,190569.34235274766,36631.50415144106,5,-0.07335422020275117,1.4157263691518276,False,True,40
2015-05-18,191216.01892783298,36690.06315295412,5,-0.07020974737307982,1.4710823835195175,False,True,40
2015-05-19,190812.0910497579,36140.2664438825,5,-0.0721738516667699,1.4736300474379793,False,True,40
2015-05-20,191083.12357954524,36125.6150176923,5,-0.0708559526447419,1.4888477683467485,False,True,40
2015-05-21,191974.6876174311,36635.11318273719,5,-0.06652071150403056,1.4871877279564754,False,True,40
2015-05-22,192141.56047141092,36620.50903432279,5,-0.06570929019148339,1.4827629679721732,False,True,40
2015-05-26,190768.78174377966,36456.029963687404,5,-0.07238444370174894,1.3946674397608319,False,True,40
2015-05-27,191973.52224217702,36619.99235107962,5,-0.0665263781555903,1.3362362318231156,False,True,40
2015-05-28,192052.2484258754,36608.45064875827,5,-0.06614357111547035,1.3490905418085881,False,True,40
2015-05-29,191495.355190098,36881.3952330244,5,-0.06885147134936827,1.3996401674908625,False,True,40
2015-06-01,191477.00610776918,36866.61943598261,5,-0.0689406939887143,1.4936994560547354,False,True,40
2015-06-02,191129.80405331298,36673.19832656575,5,-0.0706289682647688,1.4997965794013444,False,True,40
2015-06-03,191948.0909645225,36784.95814550115,5,-0.06665003805713829,1.6550687177407037,False,True,40
2015-06-04,190458.21869577502,36768.594143268296,5,-0.07389456035661875,1.5805162982150827,False,True,40
2015-06-05,190957.03660383486,36795.91228827789,5,-0.07146905212069617,1.5907509709692147,False,True,40
2015-06-08,191242.03418360875,36776.005008169166,5,-0.07008324787070792,1.7972929344414508,False,True,40
2015-06-09,191103.24558236584,36524.99737151275,5,-0.07075810915761759,1.8271697043681834,False,True,40
2015-06-10,191884.67320922526,36531.211212260314,5,-0.06695840767517279,1.6194389580032875,False,True,40
2015-06-11,192468.77156121453,36514.155627726235,5,-0.06411822222784355,1.6090259795046216,False,True,40
2015-06-12,191749.2162848401,36535.01365502463,5,-0.06761706864223159,1.6770563515198218,False,True,40
2015-06-15,191041.56896873418,36517.17084340425,5,-0.07105801245280854,1.6629007199297152,False,True,40
2015-06-16,192170.1943542299,36829.21375794211,5,-0.06557005758278654,1.6320361548110087,False,True,40
2015-06-17,192714.64623186772,36617.26395232279,5,-0.06292265360643283,1.6258260556079422,False,True,40
2015-06-18,194491.04123519055,36602.15411476544,5,-0.05428491097291374,1.4982786271625053,False,True,40
2015-06-19,193378.41397795963,37118.798081120476,5,-0.05969507474674889,1.4899698692613474,False,True,40
2015-06-22,194695.13373052535,37104.31956225796,5,-0.05329250869479592,1.467751651573222,False,True,40
2015-06-23,196603.67775889166,37652.1975619287,5,-0.044012189795603486,1.5963274738508566,False,True,40
2015-06-24,194816.3612088645,37617.75050168155,5,-0.05270303858480054,1.6362427913228994,False,True,40
2015-06-25,194316.26642401065,37600.20982839243,5,-0.05513475564989718,1.6275469903845228,False,True,40
2015-06-26,194140.34490842273,36582.04150100561,5,-0.05599017619122085,1.6754232539863094,False,True,40
2015-06-29,189743.75644407226,36572.02914313352,5,-0.0773686418756667,1.2954197801867335,False,True,40
2015-06-30,191772.1092614343,37343.718461065815,5,-0.06750575126092515,1.2888287911771794,False,True,40
