date,portfolio_value,cash,positions_count,closed_count
2011-07-28,264621.055638884,1.9264773267392804e-48,549,14006
2011-07-29,262288.57586966106,1.5063923849127096e-48,549,14011
2011-08-01,263294.17147859547,1.74827572405936e-48,549,14016
2011-08-02,256797.73576567447,1.9004863817277562e-48,548,14022
2011-08-03,257823.0863545541,1.806655734163113e-48,548,14027
2011-08-04,247527.2414460959,1.4574033192698167e-48,549,14031
2011-08-05,247302.60182292442,1.634696788774891e-48,549,14036
2011-08-08,234075.68713437,1.1417931216153995e-48,550,14040
2011-08-09,246525.03493554587,1.8978206144701212e-48,548,14047
2011-08-10,234438.95465666673,8.837788986791818e-49,550,14050
2011-08-11,243955.29114884208,1.6404898398950668e-48,550,14055
2011-08-12,245429.76113561954,1.4180791555900622e-48,549,14061
2011-08-15,250095.7036068255,1.33770048200787e-48,550,14065
2011-08-16,248015.01365296543,1.663703617519246e-48,549,14071
2011-08-17,248267.6367789703,1.7929189429558897e-48,548,14077
2011-08-18,239044.15820874073,1.3675116855769188e-48,549,14081
2011-08-19,235192.75940340784,1.2705504358223035e-48,550,14085
2011-08-22,235005.8720657322,1.0731792138462673e-48,551,14089
2011-08-23,244907.68895766654,1.688844898739805e-48,549,14096
2011-08-24,247794.3204627332,1.7027249683017793e-48,548,14102
2011-08-25,244486.822221895,1.3874481783186172e-48,549,14106
2011-08-26,249111.94116168798,1.8298866629963355e-48,548,14112
2011-08-29,255598.46612711338,9.789862281578949e-49,550,14115
2011-08-30,256347.11805083536,1.685198737037474e-48,550,14120
2011-08-31,257670.38105356277,2.1441664935327413e-48,547,14128
2011-09-01,254747.91297975677,1.6319902544372904e-48,548,14132
2011-09-02,249683.33775529565,1.4628322106267965e-48,549,14136
2011-09-06,250183.7089910832,6.274529410980585e-49,552,14138
2011-09-07,255716.9155335741,1.6324130618399028e-49,556,14139
2011-09-08,253596.57468674687,5.9421863759871124e-49,554,14146
2011-09-09,248051.53069955105,9.143256231181881e-50,557,14148
2011-09-12,251603.51099655862,5.6616363419725116e-49,557,14153
2011-09-13,252592.76762978244,3.4173095299204386e-49,555,14160
2011-09-14,255838.97321574797,5.508638456898234e-49,554,14166
2011-09-15,259545.22280180815,4.836183204225255e-49,554,14171
2011-09-16,263827.50579306105,5.1779659558587695e-49,554,14176
2011-09-19,263552.8319025191,4.133707200132408e-49,555,14180
2011-09-20,261881.32135408462,4.694417488194996e-49,555,14185
2011-09-21,258176.4106962479,4.276237483642758e-49,555,14190
2011-09-22,250882.0869948932,4.325159499252807e-49,555,14195
2011-09-23,252744.6073112469,5.837129962412707e-49,553,14202
2011-09-26,258436.87259927718,3.4187905130710214e-49,555,14205
2011-09-27,257878.61763432395,4.3006102709794e-49,556,14209
2011-09-28,256109.00331766627,5.278896937502976e-49,554,14216
2011-09-29,255541.9909880717,2.859212356732637e-49,556,14219
2011-09-30,249870.86068087924,4.614086096612176e-49,556,14224
2011-10-03,244223.074407859,4.8962249403878576e-49,554,14231
2011-10-04,247726.15460207837,2.8613076916247994e-49,556,14234
2011-10-05,251430.06196534316,5.6075223799450954e-49,554,14241
2011-10-06,254013.97773430587,2.55293012285377e-49,556,14244
2011-10-07,253238.64047166833,5.064799910278739e-49,556,14249
2011-10-10,261095.96452302884,3.202244451872411e-49,556,14254
2011-10-11,262671.6384094899,5.950257650776358e-49,554,14261
2011-10-12,264527.6545435544,1.5220898109239211e-49,557,14263
2011-10-13,264610.4197148248,6.078648399697936e-49,556,14269
2011-10-14,270793.56989220146,3.854101142359413e-49,555,14275
2011-10-17,266375.32242161914,5.049899636985795e-49,555,14280
2011-10-18,269880.63250559376,4.332272838916269e-49,555,14285
2011-10-19,262554.7835933483,4.703087850124571e-49,555,14290
2011-10-20,263744.34061636846,6.2001783108014664e-49,553,14297
2011-10-21,267205.61284788686,2.3820643370290506e-49,556,14299
2011-10-24,270621.3451501336,6.376315550872172e-49,554,14306
2011-10-25,264604.2381414426,6.067347875209908e-49,553,14312
2011-10-26,260758.10740387105,3.663620052177481e-49,555,14315
2011-10-27,267808.9606899059,5.835184523417478e-49,554,14321
2011-10-28,270061.7016973989,3.9186559706311005e-49,555,14325
2011-10-31,266495.939906181,5.780064969688901e-49,554,14331
2011-11-01,260840.0301054213,2.760851197706931e-49,556,14334
2011-11-02,264581.844718734,5.030020632845888e-49,556,14339
2011-11-03,269460.6361130763,5.342566605464153e-49,554,14346
2011-11-04,266439.7114542314,3.209592498782244e-49,556,14349
2011-11-07,266612.7905596699,4.2275249691328466e-49,557,14353
2011-11-08,270003.02662363095,5.7787295897962786e-49,554,14361
2011-11-09,260274.7978230329,6.208307137836306e-49,553,14367
2011-11-10,259986.08307089648,2.580599609733029e-49,556,14369
2011-11-11,263982.241715824,6.99871161619465e-49,553,14377
2011-11-14,261933.58947659621,3.49534743652481e-49,555,14380
2011-11-15,263361.9440790741,4.853713907497983e-49,556,14384
2011-11-16,259936.85069284606,4.749823494040921e-49,555,14390
2011-11-17,255468.82956372923,3.831917759152535e-49,556,14394
2011-11-18,253828.29545975197,5.946394065176607e-49,554,14401
2011-11-21,248915.33906324662,3.921641679289901e-49,555,14405
2011-11-22,249779.82097608643,4.195893370361668e-49,556,14409
2011-11-23,244756.98703584788,3.9022191996088854e-49,556,14414
2011-11-25,242811.8263525281,3.1369576445366023e-49,557,14418
2011-11-28,250911.52395371292,7.655449675927287e-50,561,14419
2011-11-29,249859.83282434213,2.634234020336542e-49,561,14424
2011-11-30,257677.78843672562,2.2898460496957515e-49,559,14431
2011-12-01,258611.3136852423,1.1427706559753029e-49,562,14433
2011-12-02,258652.44363591284,2.699249963282473e-49,560,14440
2011-12-05,261090.13991122096,1.3165747106047156e-49,561,14444
2011-12-06,260209.67500323092,2.41531866033268e-49,561,14449
2011-12-07,261437.49852423908,2.965529916391533e-49,558,14457
2011-12-08,257815.45781166264,3.3929544279228286e-49,557,14463
2011-12-09,261307.51948602655,2.1110278488435448e-49,559,14466
2011-12-12,257861.50764559678,2.1824874297830686e-49,560,14470
2011-12-13,254630.6504409305,2.1383921632547873e-49,560,14475
2011-12-14,252344.67367376067,1.3337832641482793e-49,562,14478
2011-12-15,252889.2836445225,2.5564914414540145e-49,560,14485
2011-12-16,255289.89579316042,2.375057582768221e-49,559,14491
2011-12-19,252819.74423690734,1.0998541070376341e-49,562,14493
2011-12-20,259711.66895132206,2.519946277862777e-49,561,14499
2011-12-21,258713.13044142103,1.463328169873214e-49,561,14504
2011-12-22,260719.89636436378,2.845787905258588e-49,559,14511
2011-12-23,262768.99048979685,1.8297608631434557e-49,560,14515
2011-12-27,263148.9062783445,7.9215237515651e-50,563,14517
2011-12-28,260611.66623532606,3.3972374706884467e-50,566,14519
2011-12-29,262459.5778007638,5.3000245567693375e-50,567,14523
2011-12-30,261484.70251874308,5.861439156068626e-50,565,14530
2012-01-03,263998.7867054699,1.4132631011896303e-50,569,14531
2012-01-04,263276.77333343285,8.62971364750838e-51,571,14534
2012-01-05,265056.3738607081,7.427964502115346e-51,573,14537
2012-01-06,265925.1106974102,1.1293675190442019e-50,571,14544
2012-01-09,264906.49213943654,7.740686224153832e-51,572,14548
2012-01-10,266772.6094618217,9.910663665495104e-51,572,14553
2012-01-11,266527.6312005401,6.800676668024378e-51,573,14557
2012-01-12,265931.4957939857,1.176226457998508e-50,571,14564
2012-01-13,265158.42349458026,5.416170853334487e-51,573,14567
2012-01-17,266978.89997337473,1.314337698050801e-51,577,14568
2012-01-18,271222.3924286791,3.1987252395138154e-52,581,14569
2012-01-19,272552.7119643548,1.2594786682663587e-51,578,14577
2012-01-20,272137.292777898,1.3344567083318615e-51,577,14583
2012-01-23,271682.4682317235,3.2090408137125916e-52,581,14584
2012-01-24,271239.7269756103,1.1530889873745246e-51,580,14590
2012-01-25,276353.2008953918,4.62887112873567e-52,581,14594
2012-01-26,276210.4042643668,1.1735503400673555e-51,579,14601
2012-01-27,276805.7977089351,4.6594013850304695e-52,581,14604
2012-01-30,276376.2371125142,1.1681603235379414e-51,579,14611
2012-01-31,277084.8054162748,6.832282864703496e-52,580,14615
2012-02-01,274783.513723782,7.175911765469285e-52,582,14618
2012-02-02,275493.2165853134,1.1031355544693845e-51,579,14626
2012-02-03,279225.55528887187,7.519338772888112e-52,580,14630
2012-02-06,278339.67331398535,6.721433317821534e-52,582,14633
2012-02-07,279914.09164605686,1.1265025582905346e-51,579,14641
2012-02-08,281452.17242569954,7.520799106260049e-52,580,14645
2012-02-09,283533.1466592984,8.29207489761823e-52,581,14649
2012-02-10,282703.0444538888,7.663521525834258e-52,581,14654
2012-02-13,285827.59687890817,1.105324004558897e-51,579,14661
2012-02-14,286826.72034346894,5.6315794401525854e-52,581,14664
2012-02-15,282786.56580223213,1.195818409601267e-51,579,14671
2012-02-16,284155.0316726815,4.9910854926982376e-52,581,14674
2012-02-17,284815.8458578669,1.231079773833238e-51,579,14681
2012-02-21,285915.7901165983,1.00217623204827e-51,580,14685
2012-02-22,284235.94439330674,8.106725080919182e-52,581,14689
2012-02-23,285367.26684074366,5.354513202458995e-52,583,14692
2012-02-24,287096.0110134315,6.930872531970456e-52,583,14697
2012-02-27,287496.0998164813,6.091647229319865e-52,583,14702
2012-02-28,289619.8392253986,8.92098940130104e-52,581,14709
2012-02-29,288613.1156609632,5.057567641420752e-52,583,14712
2012-03-01,289742.0075741577,5.4119232281611735e-52,585,14715
2012-03-02,289967.47079681297,8.131728784046992e-52,582,14723
2012-03-05,288424.56504051643,4.028892112156259e-52,584,14726
2012-03-06,285702.3484885424,8.49669904009745e-52,582,14733
2012-03-07,287478.37043833104,3.5216544498404226e-52,584,14736
2012-03-08,290998.96116419573,8.069904974894035e-52,583,14742
2012-03-09,291903.6672352874,5.5034379285322406e-52,583,14747
2012-03-12,293245.7500937726,6.0673673899894445e-52,584,14751
2012-03-13,298212.514215388,6.892974863240535e-52,583,14757
2012-03-14,298946.35593425005,6.5400123257781404e-52,583,14762
2012-03-15,300190.7191517284,7.977578865232132e-52,582,14768
2012-03-16,299604.6427561601,7.42849681526498e-52,582,14773
2012-03-19,302481.0024302226,6.2577829393681704e-52,583,14777
2012-03-20,303311.487119572,6.87042588487691e-52,583,14782
2012-03-21,303053.59273349453,7.777913003830914e-52,582,14788
2012-03-22,302628.8069861513,7.382834876258296e-52,582,14793
2012-03-23,303332.1324468606,6.175650987474263e-52,583,14797
2012-03-26,308689.2455761055,9.37259392303861e-52,581,14804
2012-03-27,309980.3607516681,3.465971920876271e-52,584,14806
2012-03-28,309177.9673289911,8.63379030399798e-52,583,14812
2012-03-29,308932.3855189769,5.6503695539538936e-52,583,14817
2012-03-30,307869.8878497696,5.130597711843288e-52,585,14820
2012-04-02,310625.3362491443,8.616774291158331e-52,582,14828
2012-04-03,311313.5260400157,7.368677562581977e-52,582,14833
2012-04-04,307977.42106841155,6.418383394409026e-52,583,14837
2012-04-05,309702.4040853976,5.613978342877142e-52,584,14841
2012-04-09,307706.52632925287,3.430315425140126e-52,586,14844
2012-04-10,303188.05858534615,1.4637171262642204e-52,589,14846
2012-04-11,304275.230233049,3.384215708958002e-52,586,14854
2012-04-12,306191.54039605387,1.4716324674887493e-52,589,14856
2012-04-13,301351.0259379209,2.8714463682463518e-52,588,14862
2012-04-16,298665.1212271167,1.7978681722116112e-52,589,14866
2012-04-17,305529.60415982886,2.044548377527489e-52,590,14870
2012-04-18,304676.74479118537,2.25370331334581e-52,589,14876
2012-04-19,300906.97031415906,1.2815730168888759e-52,591,14879
2012-04-20,299856.17345846276,3.1845065960116147e-52,587,14888
2012-04-23,297835.6657386825,1.572887693492787e-52,589,14891
2012-04-24,297352.71839030605,2.7405248219027676e-52,588,14897
2012-04-25,305970.16944609553,1.7733130119561148e-52,589,14901
2012-04-26,307219.56344078894,2.0174506169660685e-52,590,14905
2012-04-27,313934.7469501894,2.6959447893989902e-52,588,14912
2012-04-30,312320.07474075875,1.9379265607495184e-52,589,14916
2012-05-01,312542.72627996956,2.374695730248391e-52,589,14921
2012-05-02,312670.52626251767,1.2407612178038005e-52,591,14924
2012-05-03,311375.33122525085,2.7804704014254848e-52,589,14931
2012-05-04,306335.97669939575,1.8620265017513725e-52,589,14936
2012-05-07,308463.3938685237,2.3113576361043585e-52,589,14941
2012-05-08,307849.9616501527,2.478544562923334e-52,588,14947
2012-05-09,306977.0686894964,1.463551987093589e-52,590,14950
2012-05-10,308694.32870307966,3.088211291108146e-52,587,14958
2012-05-11,308679.8388050848,1.6055384761005255e-52,589,14961
2012-05-14,305746.30841665366,2.1226634668540697e-52,590,14965
2012-05-15,305130.5019240191,2.5248795269021996e-52,588,14972
2012-05-16,303962.4258740424,1.8733885969814182e-52,589,14976
2012-05-17,299227.29538197734,2.539926033107286e-52,588,14982
2012-05-18,296443.8092147717,1.761223973983398e-52,589,14986
2012-05-21,302860.275721778,2.520221716931121e-52,588,14992
2012-05-22,302235.79219779914,2.1607219322731915e-52,588,14997
2012-05-23,304185.8261011666,1.8853101648993524e-52,589,15001
2012-05-24,302878.68320392846,2.047632490493782e-52,589,15006
2012-05-25,302028.3025149758,2.364997648221461e-52,588,15012
2012-05-29,305273.59666027204,1.9210205816175615e-52,589,15016
2012-05-30,302648.21793397114,4.661544319859622e-53,593,15017
2012-05-31,303986.2572584999,1.8175149924076506e-52,590,15025
2012-06-01,297175.2701630296,1.5162677385285389e-52,590,15030
2012-06-04,299606.8319026943,9.647541579245465e-53,592,15033
2012-06-05,300141.4628132998,1.2748528150179993e-52,592,15038
2012-06-06,305422.79355117603,1.135302050468209e-52,592,15043
2012-06-07,305641.94334086525,1.2483152500540306e-52,592,15048
2012-06-08,308863.11593864317,1.4413761445398237e-52,591,15054
2012-06-11,305388.4376061173,1.3736771490214851e-52,591,15059
2012-06-12,307929.77358095825,1.3914774679885604e-52,591,15064
2012-06-13,306626.23100185936,1.3688724878067027e-52,591,15069
2012-06-14,307994.33371786564,1.3905365632848946e-52,591,15074
2012-06-15,311006.10495596915,1.4207394370431898e-52,591,15079
2012-06-18,313753.71471431345,1.7214651514721255e-52,590,15085
2012-06-19,315346.9570857964,7.094780342677372e-53,593,15087
2012-06-20,313590.99546969734,1.7837646753867272e-52,591,15094
2012-06-21,309003.9868623407,1.0167844603904843e-52,592,15098
2012-06-22,310944.35710700264,1.4192688567763813e-52,592,15103
2012-06-25,307370.43268071086,1.1692553205615577e-52,592,15108
2012-06-26,309834.2506086709,1.312251633993172e-52,592,15113
2012-06-27,312176.6421134092,9.809768693283783e-53,593,15117
2012-06-28,310439.63931383996,1.4324943170405482e-52,592,15123
2012-06-29,317312.9475283366,9.306923209065902e-53,593,15127
2012-07-02,318674.51449225156,1.493465927925859e-52,592,15133
2012-07-03,320169.08509452105,1.1807043751329547e-52,592,15138
2012-07-05,320040.5800728355,4.993985702779228e-53,595,15140
2012-07-06,317262.9220149972,1.1651247784380246e-53,599,15141
2012-07-09,317325.702110365,3.8898475297289647e-53,600,15145
2012-07-10,315555.97217318526,2.7117623275821594e-53,598,15152
2012-07-11,314797.15940643824,3.862238040517582e-53,597,15158
2012-07-12,312772.3027540459,2.70142876254916e-53,598,15162
2012-07-13,317163.02852978965,2.8282002459685897e-53,599,15166
2012-07-16,316196.5866677567,3.8353551042888935e-53,597,15173
2012-07-17,317564.7072565087,2.0283313283306495e-53,599,15176
2012-07-18,319499.6620454117,3.8187356245349e-53,598,15182
2012-07-19,322402.8659955408,3.572037509100337e-53,597,15188
2012-07-20,320388.7090605924,2.366055881635045e-53,599,15191
2012-07-23,318251.81189394783,4.551682521215283e-53,596,15199
2012-07-24,315923.17363949935,1.5372143180291453e-53,599,15201
2012-07-25,311790.43007822824,4.1049459191483397e-53,598,15207
2012-07-26,316296.72216685925,1.875153535745841e-53,599,15211
2012-07-27,323874.03335554985,3.3090193633770934e-53,600,15215
2012-07-30,324253.05943106016,3.2797471956213955e-53,598,15222
2012-07-31,324436.28361299285,2.6777989295396226e-53,599,15226
2012-08-01,322994.8262141928,4.099224520051186e-53,597,15233
2012-08-02,321564.8100551195,1.9831840083295937e-53,599,15236
