symbol,strategy,entry_date,exit_date,exit_reason,pnl,return
IBM,COMPASS,2008-04-25,2008-05-02,hold_expired,19.149492214160933,0.0008120687970910297
WMT,COMPASS,2008-04-30,2008-05-07,hold_expired,-558.9278211512819,-0.019834385183763115
RIG,COMPASS,2008-04-30,2008-05-07,hold_expired,804.8879339782216,0.06740802046693448
HAL,COMPASS,2008-05-02,2008-05-09,hold_expired,1821.0129318317272,0.06389570214432551
IBM,COMPASS,2008-05-02,2008-05-09,hold_expired,409.3791647440879,0.011260842937006481
WMT,COMPASS,2008-05-08,2008-05-15,hold_expired,127.77311630972613,0.0035156705672289923
MA,COMPASS,2008-05-12,2008-05-19,hold_expired,-459.54481064534923,-0.03534706330167166
IBM,COMPASS,2008-05-12,2008-05-19,hold_expired,355.19608841883314,0.009980518854454072
WMT,COMPASS,2008-05-15,2008-05-22,hold_expired,-702.8301229826842,-0.01873246721539325
HAL,COMPASS,2008-05-15,2008-05-22,hold_expired,-33.17988507151897,-0.0010346608754090321
IBM,COMPASS,2008-05-20,2008-05-28,hold_expired,1295.6856972226485,0.03483008933418408
MA,COMPASS,2008-05-23,2008-06-02,hold_expired,1402.3404674950255,0.17121705383470118
HAL,COMPASS,2008-05-23,2008-06-02,hold_expired,111.9803185242139,0.007716190799655236
WMT,COMPASS,2008-05-23,2008-06-02,hold_expired,613.5501253941791,0.0260090812463362
CVX,COMPASS,2008-05-28,2008-06-04,hold_expired,-1650.8441344953403,-0.043616827661834126
MA,COMPASS,2008-06-05,2008-06-06,regime_reduce,-804.8959244632857,-0.034067319194517665
COP,COMPASS,2008-06-02,2008-06-09,hold_expired,914.5224070896261,0.024636677951011068
MA,COMPASS,2008-06-09,2008-06-10,regime_reduce,-411.91783355290863,-0.018359044138940805
HAL,COMPASS,2008-06-02,2008-06-12,trailing_stop,185.80227733349466,0.006451509651774703
IBM,COMPASS,2008-06-09,2008-06-16,hold_expired,256.7346176392906,0.006752929766039663
HAL,COMPASS,2008-06-12,2008-06-19,hold_expired,1381.8948900913633,0.03701421657710114
CVX,COMPASS,2008-06-16,2008-06-23,hold_expired,-164.52437927870992,-0.004321812994272772
HAL,COMPASS,2008-06-19,2008-06-25,trailing_stop,468.5633855479577,0.013758801078241567
WMT,COMPASS,2008-06-19,2008-06-26,hold_expired,-568.4748327777115,-0.014907036447032073
AAPL,COMPASS,2008-06-24,2008-07-01,hold_expired,292.52927419109113,0.00825453467555829
HAL,COMPASS,2008-06-26,2008-07-03,trailing_stop,-226.2485992511392,-0.009017925931945694
IBM,COMPASS,2008-06-26,2008-07-03,hold_expired,-497.5550787627711,-0.013126357414185465
HAL,COMPASS,2008-07-07,2008-07-08,regime_reduce,-676.727403797142,-0.03183720132616897
MA,COMPASS,2008-07-07,2008-07-09,trailing_stop,550.718655265842,0.021506305874643982
CVX,COMPASS,2008-07-11,2008-07-14,regime_reduce,228.6046375976199,0.005962047432725924
AAPL,COMPASS,2008-07-02,2008-07-15,trailing_stop,323.08478710906707,0.008680890524866518
HAL,COMPASS,2008-07-09,2008-07-15,trailing_stop,-1.0915585608194156,0.0
AAPL,COMPASS,2008-07-15,2008-07-22,hold_expired,-1308.6581485694958,-0.04491867661119525
WMT,COMPASS,2008-07-15,2008-07-22,hold_expired,1902.0146215312986,0.05014182461732647
GOOG,COMPASS,2008-07-23,2008-07-24,regime_reduce,-1078.5285363079615,-0.027799245883978547
AAPL,COMPASS,2008-07-22,2008-07-29,hold_expired,-1068.6100666886964,-0.030490098759965528
GOOGL,COMPASS,2008-07-22,2008-07-29,hold_expired,396.02052789578744,0.012575703460529579
AAPL,COMPASS,2008-07-30,2008-07-31,regime_reduce,-231.4939993976294,-0.005816922277859742
SLB,COMPASS,2008-07-29,2008-08-04,trailing_stop,-508.13744439337336,-0.018912638708503182
HAL,COMPASS,2008-07-29,2008-08-05,hold_expired,-702.3006482084223,-0.02646880009979691
AMGN,COMPASS,2008-08-04,2008-08-11,hold_expired,198.17295281292547,0.0053399606657886164
QCOM,COMPASS,2008-08-05,2008-08-12,hold_expired,-1017.9609891540954,-0.027274713680491357
AMGN,COMPASS,2008-08-11,2008-08-18,hold_expired,283.2504410377814,0.007654743819525002
IBM,COMPASS,2008-08-12,2008-08-19,hold_expired,-785.7275420765759,-0.021242965316481805
QCOM,COMPASS,2008-08-14,2008-08-21,hold_expired,-1085.8228708272088,-0.02910378554004603
AMGN,COMPASS,2008-08-19,2008-08-26,hold_expired,-1.8697944816431227,-0.0001561221309030263
JNJ,COMPASS,2008-08-19,2008-08-26,hold_expired,9.039705008311573,0.00027096997752170586
QCOM,COMPASS,2008-08-21,2008-08-28,hold_expired,-388.0966067550998,-0.010566449348821162
AMGN,COMPASS,2008-08-26,2008-09-03,hold_expired,-303.0766379123412,-0.012982744134625461
JNJ,COMPASS,2008-08-26,2008-09-03,hold_expired,357.8379544542037,0.01131406997905187
QCOM,COMPASS,2008-08-29,2008-09-03,position_stop,-2354.60131574715,-0.06438764145012399
QCOM,COMPASS,2008-09-04,2008-09-09,position_stop,-982.9587630241111,-0.060362653346750755
JNJ,COMPASS,2008-09-09,2008-09-16,hold_expired,-769.3867281149395,-0.021586759071590148
AMGN,COMPASS,2008-09-04,2008-09-17,trailing_stop,276.51721897599396,0.013961931353412923
