symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl_pct,pnl_dollar,hold_days,exit_reason
AMAT,2006-10-18,2006-10-26,13.075392723083496,12.97266674041748,3035,-0.007856435737082057,-333.65452948570254,6,mean_reverted_sma
AXP,2006-10-23,2006-10-26,42.2850341796875,43.158363342285156,942,0.02065338670146266,804.6945350738525,3,mean_reverted_sma
QCOM,2006-10-24,2006-10-26,23.406871795654297,24.2230224609375,1696,0.03486799399801588,1364.6434681884766,2,mean_reverted_sma
ORCL,2006-10-25,2006-10-30,14.88742446899414,14.807469367980957,2699,-0.005370646963126835,-237.2261213277817,3,mean_reverted_ibs
CSCO,2006-10-27,2006-10-30,15.348053932189941,15.464526176452637,2640,0.007588730452556813,285.93768255615237,1,mean_reverted_ibs
BIIB,2006-10-27,2006-10-31,44.02000045776367,47.599998474121094,920,0.08132662378757494,3274.900095245361,2,mean_reverted_sma
JNJ,2006-10-30,2006-11-02,38.57673263549805,38.690696716308594,1056,0.0029542180745933955,101.91518825683593,3,mean_reverted_sma
C,2006-10-30,2006-11-02,331.25054931640625,331.986572265625,123,0.0022219523884192682,73.96918956298828,3,mean_reverted_sma
PFE,2006-11-01,2006-11-02,10.87928581237793,10.940777778625488,3784,0.005652206156547157,208.60417615509033,1,mean_reverted_ibs
UNH,2006-10-25,2006-11-03,37.82847213745117,37.20616912841797,1062,-0.01645065142393387,-678.9471533981324,7,time_stop
BAC,2006-11-03,2006-11-06,35.92900466918945,36.4535026550293,1145,0.014598177452146865,581.684599609375,1,mean_reverted_sma
AXP,2006-11-03,2006-11-06,42.591064453125,43.41213607788086,965,0.01927802545671331,773.8055001869201,1,mean_reverted_sma
TXN,2006-10-27,2006-11-07,18.64228057861328,18.54251480102539,2173,-0.005351586527580943,-237.29754677047728,7,time_stop
ORCL,2006-11-03,2006-11-07,14.215812683105469,14.551616668701172,2893,0.02362186341937278,949.0500957054137,2,mean_reverted_sma
CAT,2006-11-06,2006-11-10,36.70721435546875,36.55387878417969,1133,-0.004177259810678513,-192.59616597595215,4,mean_reverted_ibs
TXN,2006-11-09,2006-11-10,17.869159698486328,17.919031143188477,2319,0.0027909227710563034,94.41531735191344,1,mean_reverted_ibs
WMT,2006-11-08,2006-11-14,10.570015907287598,10.711610794067383,3943,0.013395901011100664,533.6399477560043,4,mean_reverted_sma
AMGN,2006-11-09,2006-11-14,50.07948684692383,49.813846588134766,827,-0.0053043726186938756,-237.86085136871338,3,mean_reverted_ibs
HD,2006-11-09,2006-11-14,22.611268997192383,23.29238510131836,1833,0.030122860605946045,1227.9915392704008,3,mean_reverted_sma
IBM,2006-11-10,2006-11-14,47.704833984375,48.50027084350586,869,0.01667413535893214,672.776183365631,2,mean_reverted_sma
PG,2006-11-13,2006-11-16,36.6104736328125,36.76677703857422,1129,0.0042693631153034595,157.63996190338136,3,mean_reverted_sma
XOM,2006-11-16,2006-11-17,37.53341293334961,37.74518585205078,1122,0.005642250521614711,218.47269721527098,1,mean_reverted_ibs
CVX,2006-11-16,2006-11-17,32.83390426635742,33.097328186035156,1282,0.008022924034277734,318.24069702606204,1,mean_reverted_ibs
LOW,2006-11-24,2006-11-27,21.37546730041504,21.660478591918945,1979,0.013333570092213698,543.0457185020447,1,mean_reverted_sma
UNH,2006-11-21,2006-11-28,36.03935241699219,36.82499694824219,1171,0.021799629531622067,900.582915472412,4,mean_reverted_sma
MS,2006-11-27,2006-11-28,41.6820068359375,42.04825973510742,1015,0.008786834583361491,352.7194485435486,1,mean_reverted_ibs
CSCO,2006-11-27,2006-11-28,16.69392204284668,17.48979949951172,2535,0.04767468391324314,1995.1482058238983,1,mean_reverted_sma
IBM,2006-11-27,2006-11-28,47.54365158081055,47.49167251586914,890,-0.0010932913903984876,-64.95765548706055,1,mean_reverted_ibs
BAC,2006-11-27,2006-11-29,36.25851058959961,36.704490661621094,1167,0.012300010804895178,501.09517955703734,2,mean_reverted_sma
QCOM,2006-11-28,2006-11-29,22.858516693115234,23.36861228942871,1883,0.02231534106791422,939.3348710834504,1,mean_reverted_ibs
HD,2006-11-28,2006-11-29,22.88324737548828,23.222749710083008,1881,0.014836283025039032,617.4968152690888,1,mean_reverted_sma
AIG,2006-11-28,2006-11-30,848.92724609375,856.6634521484375,50,0.009112919970804212,369.6543957519531,2,mean_reverted_sma
WMT,2006-11-30,2006-12-05,10.360998153686523,10.446401596069336,4197,0.008242781353302808,332.57851633071897,3,mean_reverted_sma
