date,value,cash,positions,drawdown,leverage,in_protection,risk_on,regime_score,universe_size,overlay_scalar,damped_scalar,bso_scalar,m2_scalar,fomc_scalar,fed_emergency,cash_rate_daily,v_recovery_boost
2004-08-24,90220.63222481092,19872.611353776352,4,-0.15953408438501865,0.7618636624599254,True,True,0.5099024513109431,40,0.6293956798666174,0.9073489199666543,1.0,0.7662208276637081,0.8214285714285714,0,6.0317460317460316e-05,0.0
2004-08-25,90645.29048220947,19873.81001922309,4,-0.15557810688489887,0.7776875724604045,True,True,0.514885521446165,40,0.6430781946463265,0.9107695486615817,1.0,0.7662208276637081,0.8392857142857143,0,6.0317460317460316e-05,0.0
2004-08-26,90605.95312001157,12655.40847666647,5,-0.1559445608912857,0.7762217564348572,True,True,0.6699935913715107,40,0.6567607094260356,0.9141901773565089,1.0,0.7662208276637081,0.8571428571428572,0,6.0317460317460316e-05,0.0
2004-08-27,90851.99894802166,19583.75045428914,5,-0.1536524783928339,0.7853900864286644,True,True,0.6732430998169675,40,0.6704432242057446,0.9176108060514362,1.0,0.7662208276637081,0.875,0,6.071428571428572e-05,0.0
2004-08-30,90585.61787100254,41855.118507736304,4,-0.1561339974232205,0.775464010307118,True,True,0.6149563828588636,40,0.9285714285714286,0.9821428571428572,1.0,1.0,0.9285714285714286,0,6.30952380952381e-05,0.0
2004-08-31,91180.18636030429,33176.609290839435,4,-0.1505951917483542,0.7976192330065832,True,True,0.6291073681779851,40,0.9464285714285714,0.9866071428571428,1.0,1.0,0.9464285714285714,0,6.230158730158731e-05,0.0
2004-09-01,90789.4652827075,19906.63207318537,5,-0.15423502157590604,0.7830599136963758,True,True,0.6751743320191361,40,0.9642857142857143,0.9910714285714286,1.0,1.0,0.9642857142857143,0,6.150793650793651e-05,0.0
2004-09-02,91382.62185444334,17876.020134694565,5,-0.14870936886351127,0.8051625245459549,True,True,0.6632472264036364,40,0.9821428571428572,0.9955357142857143,1.0,1.0,0.9821428571428572,0,6.230158730158731e-05,0.0
2004-09-03,91165.32085405663,18838.83230345868,5,-0.15073367394484766,0.7970653042206094,True,True,0.652789156910936,40,1.0,1.0,1.0,1.0,1.0,0,6.42857142857143e-05,0.0
2004-09-07,92070.66838734747,18840.058322703826,5,-0.1422997522935228,0.8308009908259089,True,True,0.6566782561957454,40,1.0,1.0,1.0,1.0,1.0,0,6.507936507936507e-05,0.0
2004-09-08,92123.85842360556,40750.12290302786,4,-0.1418042513041941,0.8327829947832236,True,True,0.624920717992747,40,1.0,1.0,1.0,1.0,1.0,0,6.42857142857143e-05,0.0
2004-09-09,92079.81110487497,40752.72638310222,4,-0.14221458172589901,0.831141673096404,True,True,0.6401536477424472,40,1.0,1.0,1.0,1.0,1.0,0,6.388888888888888e-05,0.0
2004-09-10,92075.49073460224,23796.432153363785,4,-0.1422548288829797,0.8309806844680813,True,True,0.6405878603049,40,1.0,1.0,1.0,1.0,1.0,0,6.468253968253968e-05,0.0
2004-09-13,92318.06272901152,22022.634922510704,4,-0.1399951074827157,0.8400195700691372,True,True,0.6398398683432907,40,1.0,1.0,1.0,1.0,1.0,0,6.507936507936507e-05,0.0
2004-09-14,92507.99542465848,13213.894415596475,5,-0.13822575658131242,0.8470969736747503,True,True,0.7174040463056874,40,1.0,1.0,1.0,1.0,1.0,0,6.468253968253968e-05,0.0
2004-09-15,92219.71853489174,13214.754367455267,5,-0.1409112498452558,0.8363550006189768,True,True,0.6508096280563993,40,1.0,1.0,1.0,1.0,1.0,0,6.507936507936507e-05,0.0
2004-09-16,92216.89834726708,27328.433995566877,4,-0.14093752179121447,0.8362499128351422,True,True,0.6439589001501094,40,1.0,1.0,1.0,1.0,1.0,0,6.507936507936507e-05,0.0
2004-09-17,92783.71678282495,18438.34871385437,5,-0.13565722654520543,0.8573710938191783,True,True,0.7081963070211419,40,1.0,1.0,1.0,1.0,1.0,0,6.666666666666666e-05,0.0
