date,value,cash,compass_pos,rattle_pos,efa_value,drawdown,leverage,in_protection,risk_on
2007-01-25,163782.5407751158,18262.618397133723,5,5,15511.18046951294,-0.017648143486509928,1.0,False,True
2007-01-26,163061.3902206052,14702.570828502721,5,5,21790.484245300293,-0.022009851890631135,1.0,False,True
2007-01-29,163171.6750506666,14566.297219507986,5,5,28029.014282226562,-0.02139844564364728,1.0,False,True
2007-01-30,163922.6992468519,23412.363670767205,5,3,38214.296531677246,-0.01685191814544521,1.0,False,True
2007-01-31,164604.59565302756,17112.54089549864,5,3,45651.39315032959,-0.01272316373549986,1.0,False,True
2007-02-01,164275.81686738925,18876.975352605325,5,2,54066.045959472656,-0.014742406141390562,1.0,False,True
2007-02-02,164450.0518910339,14164.603355353807,5,1,59981.294860839844,-0.013672283675862661,1.0,False,True
2007-02-05,163889.41090192657,36916.43390392364,5,1,15813.959342956543,-0.017013895916777596,1.0,False,True
2007-02-06,164237.44599736275,30605.063860618735,5,0,29019.20030593872,-0.015029117370620407,1.0,False,True
2007-02-07,164322.8261350533,19430.64662872302,5,0,37390.37847518921,-0.014415878293944076,1.0,False,True
2007-02-08,163375.32762556907,15798.576965344677,5,0,43966.0537109375,-0.020178325506293362,1.0,False,True
2007-02-09,161798.38038182943,8229.098294349256,5,2,47253.514041900635,-0.029570040427547982,1.0,False,True
2007-02-12,160597.53289685573,15155.904303342228,5,2,53528.842697143555,-0.03661296093314886,1.0,False,True
2007-02-13,162574.022891114,10627.161157739498,5,2,58744.78443145752,-0.024997709915401976,1.0,False,True
2007-02-14,164065.8881797056,7466.072266213796,5,2,62703.90003967285,-0.01604458503103581,1.0,False,True
2007-02-15,164196.21925152544,35774.884687511214,5,2,15314.845157623291,-0.015230412088496367,1.0,False,True
2007-02-16,164370.82829872746,17309.40979830278,5,2,22724.722076416016,-0.014199243094929757,1.0,False,True
2007-02-20,164640.11341566563,14418.61514299157,5,2,28881.117630004883,-0.012494979491452968,1.0,False,True
2007-02-21,164147.59828688198,10100.817471731789,5,2,33054.74464416504,-0.015559400282325955,1.0,False,True
2007-02-22,164062.39574766636,11577.013365194594,5,0,38106.8358001709,-0.016045718747349787,1.0,False,True
2007-02-23,163703.53464257813,19037.188710512924,5,0,46324.57620239258,-0.018188536083695687,1.0,False,True
2007-02-26,163119.0072939826,12742.07131335049,5,1,51793.853088378906,-0.02166375913687693,1.0,False,True
2007-02-27,156398.23011842393,10601.722239028228,3,5,54222.866554260254,-0.0615510804559952,0.9622603087124085,False,False
2007-02-28,158273.3360295169,24516.162198002305,4,5,10483.303310394287,-0.05069980977507071,0.9406094462447758,False,False
2007-03-01,157938.54021913244,17187.381241183455,4,5,17709.791374206543,-0.052810043881688244,0.9538320981003002,False,False
2007-03-02,155468.99832082412,23821.48231967823,3,5,27665.682582855225,-0.06760098921938465,0.9350037545218304,False,False
2007-03-05,153385.85611398253,18974.843539798796,3,5,35184.01117706299,-0.08001896765577403,0.9259481628416628,False,False
2007-03-06,156849.72390462144,21090.743873949505,3,4,45282.443099975586,-0.058621759857823134,0.850666651178054,False,False
2007-03-07,156511.09039662653,20929.32283824314,3,4,54220.935722351074,-0.06130610024341191,0.8513251029773189,False,False
2007-03-08,157636.51582337468,17814.505728739103,3,3,62461.60108947754,-0.05460342921602208,0.8358785235712185,False,False
2007-03-09,158179.74380287022,22706.839881714834,3,0,72239.73718643188,-0.05131129667396103,0.8353591021296587,False,False
2007-03-12,158385.2134222493,19282.481174787226,3,0,80922.7553100586,-0.050105128176642526,0.840881629195047,False,False
2007-03-13,155084.66850510286,13107.32547813966,3,1,84571.6188583374,-0.06957562289350236,0.7895642690542543,False,False
2007-03-14,155162.43421560735,13619.134123757009,3,1,90437.12694168091,-0.0694035658668419,0.7923647703685271,False,False
2007-03-15,155636.3059005898,9551.126601138792,3,1,94917.77765274048,-0.06660372298897858,0.8015544218964559,False,False
2007-03-16,155600.86688270853,43946.91522311894,4,1,18798.95767211914,-0.06677070796902697,0.8033547733861187,False,False
2007-03-19,156973.74268393952,26069.9452388294,4,1,30238.261108398438,-0.05858224232651633,0.7751661897415161,False,False
2007-03-20,158062.35786957707,17658.479061457147,4,1,38032.795192718506,-0.05203388491975141,0.7702347847962672,False,False
2007-03-21,159872.36129630887,29351.308145356437,4,1,12571.03145980835,-0.041155528041694645,0.7319576562804031,False,False
2007-03-22,160518.9603806734,20560.73506789862,4,1,21320.19268798828,-0.037340326303377185,0.731957297645727,False,False
2007-03-23,161276.73490562846,17657.073104820935,4,0,28884.897422790527,-0.032770739750135426,0.7328318480530656,False,False
2007-03-26,161675.02692750335,17843.319916628083,4,0,36500.48080444336,-0.030342657382041335,0.7327604738151385,False,False
2007-03-27,161634.24159598016,9214.17595930895,5,0,40231.73458099365,-0.03059341684665543,1.0,False,True
2007-03-28,160111.46050811536,12804.75588140473,5,1,45323.628887176514,-0.03969743540213904,1.0,False,True
2007-03-29,160808.67301615214,31207.89464245594,5,1,13365.557224273682,-0.0355485066072364,1.0,False,True
2007-03-30,160572.85006476234,32005.12607666869,5,1,27076.48992538452,-0.036951649247325476,1.0,False,True
2007-04-02,161257.06877257477,17965.34545700924,5,2,34792.184715270996,-0.0328990479332426,1.0,False,True
2007-04-03,162792.6495666568,10049.03392775131,5,2,39331.789558410645,-0.023637350217629395,1.0,False,True
2007-04-04,163597.34785560268,27304.46163132276,5,2,11654.96675491333,-0.01882748192135334,1.0,False,True
2007-04-05,163619.4936735041,19144.491368904382,5,2,19862.99285888672,-0.01874370535740034,1.0,False,True
2007-04-09,163939.83141379678,13414.876988187996,5,2,25581.435165405273,-0.016811888440787914,1.0,False,True
2007-04-10,164452.5206156741,12700.185242866442,5,1,31193.52896118164,-0.01371551498028381,1.0,False,True
2007-04-11,162726.26281884458,11230.53833781147,5,1,35817.78694152832,-0.02403468402538703,1.0,False,True
2007-04-12,164492.6296280022,15758.745657329157,5,1,42778.665130615234,-0.013434159437092783,1.0,False,True
2007-04-13,164501.1923714158,21891.8380609828,5,0,52254.95807647705,-0.013384139524134326,1.0,False,True
2007-04-16,165281.63666679867,22487.271628975224,5,0,62419.80341720581,-0.008722178766608945,1.0,False,True
2007-04-17,165213.92883043672,15766.397469364609,5,0,69153.4037475586,-0.009174966034234755,1.0,False,True
2007-04-18,164479.12774142344,9588.676682547592,5,0,73233.43587112427,-0.013531684499021568,1.0,False,True
2007-04-19,163460.42927555472,41131.49233602495,5,0,17576.208003997803,-0.019528914283901622,1.0,False,True
2007-04-20,164470.28637427752,26083.500482651507,5,0,28918.040084838867,-0.01358441039935147,1.0,False,True
2007-04-23,163752.8980250122,20143.83948557448,5,0,37236.297748565674,-0.01790720500157471,1.0,False,True
2007-04-24,164250.0353692865,11320.277511736256,5,1,42027.523765563965,-0.014940743232553923,1.0,False,True
2007-04-25,165824.89296048976,9594.96046907009,5,1,46507.54296875,-0.0054573203513334344,1.0,False,True
2007-04-26,166798.74893633867,20290.885813074794,5,1,54927.02035903931,0.0,1.0,False,True
2007-04-27,166372.64759723714,19179.925265948477,5,1,62974.82827758789,-0.0026142352130381014,1.0,False,True
2007-04-30,165088.2040914746,13101.190647961375,5,2,68318.28979492188,-0.010378485122006145,1.0,False,True
2007-05-01,165442.01458979817,7377.527226128921,5,3,71392.32467651367,-0.008285055868010666,1.0,False,True
2007-05-02,166549.1473572394,25666.363949028266,5,3,10993.683780670166,-0.0015617764436807336,1.0,False,True
2007-05-03,166986.2938333184,18943.520536472846,5,3,19072.966693878174,0.0,1.0,False,True
2007-05-04,167579.01166628205,17208.166425458567,5,2,26614.742065429688,0.0,1.0,False,True
2007-05-07,167389.69792300396,12097.984778549766,5,2,31829.56781387329,-0.001305166090207568,1.0,False,True
2007-05-08,167664.54620640795,8512.178112076586,5,2,35157.55579376221,0.0,1.0,False,True
2007-05-09,170409.81163002172,23024.304268451902,5,3,9819.699993133545,0.0,1.0,False,True
2007-05-10,168682.03556511048,19017.036685454164,5,2,17729.01383972168,-0.009866265959764895,1.0,False,True
2007-05-11,170358.97641161617,15406.822237735789,5,2,24629.244583129883,-0.00021087989877935473,1.0,False,True
2007-05-14,170059.80271359647,22960.503298046362,5,2,9796.692260742188,-0.002101842312129849,1.0,False,True
2007-05-15,169126.71130475236,12893.133400067156,5,3,15311.44119644165,-0.007601361147475331,1.0,False,True
2007-05-16,170206.47977557676,22126.255314088972,5,3,24753.465087890625,-0.0009526133654980707,1.0,False,True
2007-05-17,170292.4867202986,18740.36855620635,5,2,32639.604320526123,-0.00041829949955775,1.0,False,True
2007-05-18,171530.9360488499,13133.640114696398,5,2,38500.09812927246,0.0,1.0,False,True
2007-05-21,173614.5682342145,18361.731872344364,5,1,46132.6608581543,0.0,1.0,False,True
2007-05-22,173864.73115138174,12866.763176837692,5,1,51671.99259567261,0.0,1.0,False,True
2007-05-23,173574.0866492072,12958.062123951458,5,2,57463.7943649292,-0.0013805296276242574,1.0,False,True
2007-05-24,171657.15345834263,37699.78592896602,5,2,16105.972946166992,-0.01222767191619467,1.0,False,True
2007-05-25,172250.79937257525,24364.78765932689,5,1,26590.147521972656,-0.009272436085271252,1.0,False,True
2007-05-29,172242.92722678697,13907.059507421203,5,2,32549.72939300537,-0.009296176517770517,1.0,False,True
2007-05-30,173699.80208259754,9744.016061830276,5,2,36853.62680435181,-0.0009430657943103452,1.0,False,True
2007-05-31,173069.25371719216,12892.323802412953,5,2,42511.40556335449,-0.004416366509930687,1.0,False,True
2007-06-01,173416.26542732638,22511.590405968866,5,1,52375.4250869751,-0.002081181888707667,1.0,False,True
2007-06-04,175517.68364730023,19316.321004460497,5,1,60781.91876602173,0.0,1.0,False,True
2007-06-05,175954.12563061592,17250.04364181314,5,0,67861.03734588623,0.0,1.0,False,True
2007-06-06,174187.9960516516,12108.995623493895,5,0,72030.15989685059,-0.010072120357370838,1.0,False,True
2007-06-07,171594.2824077316,12042.855827946885,4,2,75901.42163085938,-0.024539880429123386,1.0,False,False
2007-06-08,173276.06002454305,8471.544551296889,4,2,80303.65724563599,-0.01524806284190598,1.0,False,False
2007-06-11,172934.75381242164,37620.204833715135,4,2,16115.15474319458,-0.017108579454396214,1.0,False,False
2007-06-12,171298.57600825562,22442.081619769782,4,2,25415.465126037598,-0.026492035262071927,1.0,False,False
2007-06-13,173428.82300359037,15717.25210390172,4,2,32475.56930923462,-0.01439345493367041,1.0,False,False
2007-06-14,175342.43930603974,16129.13425636366,4,1,39587.34306335449,-0.00323415533006258,1.0,False,False
2007-06-15,176767.89810328512,16280.297448451602,4,1,46835.06441497803,0.0,1.0,False,False
2007-06-18,178200.04813367684,11440.67752119427,4,1,51939.2756652832,0.0,1.0,False,False
2007-06-19,178045.3865881964,8026.52896952059,4,1,55407.19757080078,-0.0008616878054661794,1.0,False,False
2007-06-20,175340.33640420923,35587.20761431521,4,1,15239.617668151855,-0.015997088606336148,1.0,False,False
2007-06-21,178255.2555219334,34273.92588406053,4,0,30019.438598632812,0.0,1.0,False,False
2007-06-22,178628.054350946,16460.124606341913,4,1,36642.77294540405,0.0,1.0,False,False
2007-06-25,177367.85715296294,27372.360227370023,4,1,48345.46422958374,-0.007304677760290607,1.0,False,False
2007-06-26,175137.06192583637,9247.956998028822,4,4,52033.17919921875,-0.019535615391939272,1.0,False,False
2007-06-27,176814.54257696512,17977.965289567306,4,4,60094.045864105225,-0.010376193799549141,0.995840775634628,False,False
2007-06-28,175965.33788900985,12610.098046828873,4,4,65511.05906677246,-0.015177171372271835,0.9957639884915769,False,False
2007-06-29,177000.1060636526,41213.15901088187,4,4,17610.38671875,-0.009199959262926008,1.0,False,False
2007-07-02,178863.75464260648,29792.89937799881,4,3,30613.25772857666,0.0,0.9780801540163052,False,False
2007-07-03,180559.14522535223,25171.061475675488,4,2,41510.56512451172,0.0,0.9775012337214397,False,False
2007-07-05,181248.10289533169,10710.253422300122,5,2,45862.149475097656,0.0,1.0,False,True
2007-07-06,182407.5312229257,7527.001672428409,5,2,49378.14939117432,0.0,1.0,False,True
2007-07-09,182828.81296074664,11912.21328323186,5,0,54569.717544555664,0.0,1.0,False,True
2007-07-10,181428.08559134218,28179.820535924722,4,0,65964.33881378174,-0.007684933783198783,1.0,False,False
2007-07-11,181949.5973053212,9532.14221859896,5,1,70613.0560760498,-0.00463747473855212,1.0,False,True
2007-07-12,184282.02382876462,11221.823400017376,5,1,76393.07281112671,0.0,1.0,False,True
2007-07-13,184771.22900037694,7903.2589629305185,5,1,79659.34106826782,0.0,1.0,False,True
2007-07-16,184703.383592557,20921.588062904615,5,1,88377.52001190186,-0.0003319861059431994,1.0,False,True
2007-07-17,183793.14018740598,14651.717216098143,5,1,94355.30853271484,-0.00530552238963627,1.0,False,True
2007-07-18,183963.42953733925,53509.33046546273,5,1,22895.34052658081,-0.004357397519623253,1.0,False,True
2007-07-19,184659.82144009828,18750.089799157886,5,1,31015.594116210938,0.0,1.0,False,True
2007-07-20,183900.00678757342,25269.301252031262,4,1,41504.111335754395,-0.005653850089193319,1.0,False,False
2007-07-23,187379.05296539047,20422.91355328174,4,0,50464.883361816406,0.0,1.0,False,False
2007-07-24,184170.8138012419,21987.78462333873,4,2,9365.877517700195,-0.01680960355096701,1.0,False,False
2007-07-25,184510.05534340098,16477.33923625673,4,5,16369.252281188965,-0.01520194558041063,1.0,False,False
2007-07-26,183025.08425354713,21827.38061840008,3,5,25122.58812713623,-0.0219133535046983,1.0,False,False
2007-07-27,180433.1371537897,18067.31804478648,3,5,32489.331386566162,-0.03702137015195152,0.9307823246200189,False,False
2007-07-30,182650.80555851466,14069.35849056979,3,5,39034.074783325195,-0.025225402195147035,0.8694655015178175,False,False
