date,symbol,action,shares,price,reason,total_score,value_score,quality_score,momentum_score,pnl_pct
2019-04-18 00:00:00-04:00,VZ,SELL_REDUCE,20628,39.67457962036133,REBALANCE_REDUCE,,,,,
2019-04-18 00:00:00-04:00,VZ,BUY_FULL_DEPLOY,20556,39.67457962036133,FULL_CAPITAL_DEPLOYMENT,,,,,
2019-04-26 00:00:00-04:00,VZ,SELL_REDUCE,20993,38.676570892333984,REBALANCE_REDUCE,,,,,
2019-04-26 00:00:00-04:00,VZ,BUY_FULL_DEPLOY,20958,38.676570892333984,FULL_CAPITAL_DEPLOYMENT,,,,,
2019-05-03 00:00:00-04:00,VZ,SELL_REDUCE,19594,39.12772750854492,REBALANCE_REDUCE,,,,,
2019-05-03 00:00:00-04:00,VZ,BUY_FULL_DEPLOY,19612,39.12772750854492,FULL_CAPITAL_DEPLOYMENT,,,,,
2019-05-10 00:00:00-04:00,VZ,SELL_REDUCE,19578,38.90213394165039,REBALANCE_REDUCE,,,,,
2019-05-10 00:00:00-04:00,VZ,BUY_FULL_DEPLOY,19548,38.90213394165039,FULL_CAPITAL_DEPLOYMENT,,,,,
2019-05-17 00:00:00-04:00,VZ,SELL_REDUCE,18953,39.708763122558594,REBALANCE_REDUCE,,,,,
2019-05-17 00:00:00-04:00,VZ,BUY_FULL_DEPLOY,18926,39.708763122558594,FULL_CAPITAL_DEPLOYMENT,,,,,
2019-05-24 00:00:00-04:00,VZ,SELL_REDUCE,18913,40.549556732177734,REBALANCE_REDUCE,,,,,
2019-05-24 00:00:00-04:00,VZ,BUY_FULL_DEPLOY,18859,40.549556732177734,FULL_CAPITAL_DEPLOYMENT,,,,,
2019-05-31 00:00:00-04:00,VZ,SELL_STOP,35625,37.152191162109375,STOP_LOSS,,,,,-0.07118651071556843
2019-05-31 00:00:00-04:00,VZ,BUY,15123,37.152191162109375,CONSOLIDATED_STRATEGY,58.4190710324751,80.0,0.0,73.67628412990042,
2019-05-31 00:00:00-04:00,DIS,BUY,2828,127.44453430175781,CONSOLIDATED_STRATEGY,57.603506839091224,72.0,0.0,86.4140273563649,
2019-05-31 00:00:00-04:00,VZ,BUY_FULL_DEPLOY,5606,37.152191162109375,FULL_CAPITAL_DEPLOYMENT,,,,,
2019-05-31 00:00:00-04:00,DIS,BUY_FULL_DEPLOY,1634,127.44453430175781,FULL_CAPITAL_DEPLOYMENT,,,,,
2019-06-07 00:00:00-04:00,VZ,SELL_REDUCE,6002,39.12772750854492,REBALANCE_REDUCE,,,,,
