date,value,cash,positions,leverage,regime_score,regime_label,drawdown
2014-06-24,127323.60257508226,6682.126640195664,12,1.0,0.8092242676209849,STRONG_BULL,-0.03510942435009169
2014-06-25,128607.44182062516,6683.253586156808,12,1.0,0.8095995212552171,STRONG_BULL,-0.02538016470286064
2014-06-26,128700.31518732659,6684.380722178283,12,1.0,0.8451934613132911,STRONG_BULL,-0.024676346758294988
2014-06-27,129328.00223181988,10825.235873613165,12,0.9860765756526184,0.845990972460589,STRONG_BULL,-0.01991957502516744
2014-06-30,129832.81326192668,12828.699487985703,12,0.8632210753034673,0.8320235974908456,STRONG_BULL,-0.016093988915577527
2014-07-01,130700.92376194266,12830.863058335859,12,1.0,0.8635114628150621,STRONG_BULL,-0.0095152272158825
2014-07-02,130518.14267994958,12832.981169062949,12,1.0,0.8902123028448632,STRONG_BULL,-0.010900388645934008
2014-07-03,130983.22707816742,14231.561272042072,12,1.0,0.8849601679617527,STRONG_BULL,-0.00737586103560687
2014-07-07,130353.58657596522,17938.35631155478,12,0.6206235572446654,0.8657761569360722,STRONG_BULL,-0.012147436567049372
2014-07-08,129353.10219087593,8713.42374353823,12,1.0,0.8007952606595516,STRONG_BULL,-0.019729361164951675
2014-07-09,129834.30515283428,8714.86214999748,12,1.0,0.832616160100091,STRONG_BULL,-0.016082682987630777
2014-07-10,129035.19378312002,8716.300793907956,12,1.0,0.8238173378776021,STRONG_BULL,-0.022138551765591943
2014-07-11,129036.96307359118,8717.739675308856,12,1.0,0.8095425403424696,STRONG_BULL,-0.022125143633347166
2014-07-14,130398.46910441111,9488.50591668074,12,1.0,0.7801518001549288,STRONG_BULL,-0.01180730537508724
2014-07-15,130007.71163950571,10293.855715298738,12,0.9649281523252594,0.7687715213401372,STRONG_BULL,-0.014768564620243554
2014-07-16,130410.56130213579,10295.555018464438,12,1.0,0.807345527894048,STRONG_BULL,-0.011715667631672345
2014-07-17,128393.14977694702,10297.254602150026,12,1.0,0.6705843827746315,STRONG_BULL,-0.02700412419819355
2014-07-18,129635.28049315859,19913.317162596075,8,1.0,0.6098372964062928,MILD,-0.01759094237205843
2014-07-21,129606.60352326914,19916.6044403499,8,1.0,0.6128910638909333,MILD,-0.01780826372823204
2014-07-22,130911.61415813572,19919.89226076545,8,1.0,0.6391369364179771,MILD,-0.007918561919306767
2014-07-23,132077.33409336422,19923.180623932305,8,1.0,0.6493718625512319,MILD,0.0
2014-07-24,132458.48042077018,3763.5528015867662,12,1.0,0.6783053261728461,STRONG_BULL,0.0
2014-07-25,132171.75673769935,32086.200706467338,8,1.0,0.5797960451643852,MILD,-0.0021646306235736357
2014-07-28,131326.77394900267,32091.497476107772,8,1.0,0.616555230643353,MILD,-0.008543858182371628
2014-07-29,130743.84514845925,32096.795120135575,8,1.0,0.5491971964819674,MILD,-0.012944699855110722
2014-07-30,130969.644702137,28405.164033777946,8,0.7831178476530773,0.6043100962515575,MILD,-0.011240018109098946
2014-07-31,128017.91842445292,26508.552291021035,5,0.9243855989236565,0.3877802073533288,BEAR,-0.03352418042401883
2014-08-01,128039.08068869155,27831.694086216296,5,0.9495301539049816,0.35583208314497444,BEAR,-0.03336441515892284
2014-08-04,129587.16948285291,27836.20017002073,5,1.0,0.3821889978939427,BEAR,-0.021677063852734876
2014-08-05,127294.76505223032,68313.48575461117,3,1.0,0.28391825287247535,SEVERE_BEAR,-0.03898365247839706
2014-08-06,127137.03220201004,22385.261631112167,5,1.0,0.30594057639918754,BEAR,-0.04017446223039796
2014-08-07,126184.30454025045,57945.897784446985,3,1.0,0.2986350702930126,SEVERE_BEAR,-0.047367113533154405
2014-08-08,126550.65017988076,20859.6134243292,5,0.8718926172906019,0.3078084581082378,BEAR,-0.04460137412208335
2014-08-11,128055.41918528573,20862.99069507409,5,0.8599867517146446,0.34729047776016214,BEAR,-0.03324106709889468
2014-08-12,128041.440914441,20866.368512615198,5,0.8635452059621151,0.3277690211343921,BEAR,-0.03334659655084315
2014-08-13,129904.77881191269,45019.35978042114,5,0.5344912980737685,0.34741400370094466,BEAR,-0.019279260948376814
2014-08-14,128827.85837633416,11073.314272514648,8,1.0,0.45943156716764544,MILD,-0.027409510005723437
2014-08-15,129681.17452530404,11075.107094825436,8,1.0,0.4535897300593387,MILD,-0.020967369447721998
2014-08-18,131016.27928274639,11076.900207402694,8,1.0,0.5139290784351442,MILD,-0.010887948687335626
