symbol,entry_date,exit_date,pnl,return
MSFT,2011-06-14,2011-06-16,-159.5490587885974,-0.009136459521167296
KO,2011-06-14,2011-06-16,-32.769530854007805,-0.0018765230860558503
DIS,2011-06-15,2011-06-17,-541.7509022474677,-0.00914739304507863
C,2011-06-15,2011-06-17,465.4500866718071,0.007859063765265444
GILD,2011-06-16,2011-06-20,308.927480006055,0.011276603431800312
MS,2011-06-16,2011-06-20,307.5995774737909,0.01122813176378252
AXP,2011-06-17,2011-06-20,402.5022817359344,0.007809611762312819
DIS,2011-06-17,2011-06-20,255.86203692750306,0.004964402101027772
JPM,2011-06-20,2011-06-22,375.1310738228793,0.0051509646540736365
GS,2011-06-20,2011-06-22,-334.78449941691366,-0.004596961551744112
MRK,2011-06-21,2011-06-23,-396.1127143197648,-0.022685205413219264
BAC,2011-06-21,2011-06-23,-195.54514395924494,-0.01119878660267397
ORCL,2011-06-22,2011-06-24,-1962.2081730083105,-0.03295732604301482
ABT,2011-06-22,2011-06-24,-380.491339085115,-0.00639074757269311
MRK,2011-06-23,2011-06-27,-345.0190523023175,-0.012630255333220689
MA,2011-06-23,2011-06-27,-54.09225775714833,-0.001980177681389399
CSCO,2011-06-24,2011-06-27,403.82776265485506,0.00793405202541016
GILD,2011-06-24,2011-06-27,598.7389683350733,0.011763495637794942
COP,2011-06-27,2011-06-29,2240.6162046325558,0.03117635169474735
AMZN,2011-06-27,2011-06-29,1039.1977252434597,0.014459590935559007
QCOM,2011-06-28,2011-06-30,415.90068694482335,0.02413928310579246
BA,2011-06-28,2011-06-30,439.4588909535038,0.02550662433383183
ORCL,2011-06-29,2011-07-01,1144.5443237189152,0.019080317776067113
BAC,2011-06-29,2011-07-01,-276.1268781016725,-0.004603219352461839
MA,2011-06-30,2011-07-05,1347.5866324702863,0.0484808352353048
WFC,2011-06-30,2011-07-05,355.13282717765446,0.012776274019197405
KO,2011-07-01,2011-07-05,159.7193060118446,0.0030380495372656522
JNJ,2011-07-01,2011-07-05,248.79222984534343,0.004732321581092287
PFE,2011-07-05,2011-07-07,-1978.341874885786,-0.02656106213850182
MCD,2011-07-05,2011-07-07,364.0024968550979,0.004887068842990669
BRK-B,2011-07-06,2011-07-08,88.44342653020439,0.004953017504436107
CSCO,2011-07-06,2011-07-08,204.80011643855988,0.011469236340411559
BA,2011-07-07,2011-07-11,-2094.5584394378175,-0.03475748183596744
GILD,2011-07-07,2011-07-11,-2008.577291460544,-0.03333069510479472
V,2011-07-08,2011-07-11,-575.0515023075596,-0.020444612640255638
PEP,2011-07-08,2011-07-11,-254.02663084307315,-0.00903132336330838
SLB,2011-07-11,2011-07-13,-876.3858738249149,-0.012165986668830833
C,2011-07-11,2011-07-13,-581.7724241444238,-0.0080761634433287
AMZN,2011-07-12,2011-07-14,-71.13663921306023,-0.004118689949510296
MRK,2011-07-12,2011-07-14,328.8144888768787,0.019037797477814037
PEP,2011-07-13,2011-07-15,-306.06566879463134,-0.00524788633584446
MS,2011-07-13,2011-07-15,-578.8436092723907,-0.009925012104934105
MCD,2011-07-14,2011-07-18,-130.45790960122892,-0.004795526956784179
GE,2011-07-14,2011-07-18,-352.75329947775606,-0.012966925209141987
MRK,2011-07-15,2011-07-18,-620.8250370887986,-0.012293233626065768
JNJ,2011-07-15,2011-07-18,-270.6870933125269,-0.005359995939041997
AMZN,2011-07-18,2011-07-20,1335.742327801583,0.018909867610004596
MA,2011-07-18,2011-07-20,162.891006722688,0.0023060191384785943
XOM,2011-07-19,2011-07-21,281.0989192380466,0.01659987066526554
GS,2011-07-19,2011-07-21,934.2194659167551,0.05516891473374471
ABT,2011-07-20,2011-07-22,608.8112632485326,0.010442342179460242
MRK,2011-07-20,2011-07-22,816.3192991135107,0.014001523893556155
JNJ,2011-07-21,2011-07-25,-91.00690137959735,-0.0033328479212900363
SLB,2011-07-21,2011-07-25,1122.3077789219833,0.04110107136189498
GE,2011-07-22,2011-07-25,-216.6469329195805,-0.0042158703911929956
ORCL,2011-07-22,2011-07-25,-538.7053901595505,-0.010483010644756083
DIS,2011-07-25,2011-07-27,-1854.0848463573848,-0.025669501935244626
ORCL,2011-07-25,2011-07-27,-3366.4279328053262,-0.04660764500922469
CAT,2011-07-26,2011-07-28,-915.4973190827878,-0.05286572962170135
IBM,2011-07-26,2011-07-28,-107.14638772237828,-0.006187207592205964
JPM,2011-07-27,2011-07-29,-310.71657572673246,-0.005446287662466187
KO,2011-07-27,2011-07-29,-567.3757804567351,-0.00994504945819595
GS,2011-07-28,2011-08-01,-329.2896900923897,-0.012450524396875365
V,2011-07-28,2011-08-01,-378.6558965210484,-0.014317072837395172
GE,2011-07-29,2011-08-01,164.59091073748806,0.0033347089871158912
BA,2011-07-29,2011-08-01,-98.91315482779707,-0.002004038891760704
BA,2011-08-01,2011-08-03,-2943.0662010756787,-0.04253140199665424
XOM,2011-08-01,2011-08-03,-1635.8149869878207,-0.023639802862165278
MRK,2011-08-02,2011-08-04,-701.8302391079086,-0.042300353843288716
KO,2011-08-02,2011-08-04,-309.9977642963247,-0.018684026976424965
XOM,2011-08-03,2011-08-05,-2046.6478669859384,-0.03733618092603024
GILD,2011-08-03,2011-08-05,-2722.0356182304704,-0.049657010357634555
AXP,2011-08-08,2011-08-10,-173.6811144011209,-0.005604644820471063
COP,2011-08-08,2011-08-10,394.30020902557146,0.012723966171255544
BA,2011-08-08,2011-08-10,-481.2843424059572,-0.01553092174782799
MS,2011-08-08,2011-08-10,-1215.2972138191294,-0.039217328022397455
C,2011-08-08,2011-08-10,597.1958092476533,0.019271354923349592
JPM,2011-08-10,2011-08-12,1379.6282844598127,0.04476325530112469
GS,2011-08-10,2011-08-12,1711.8876175509615,0.055543702122105874
GOOGL,2011-08-10,2011-08-12,826.3419838951866,0.026811393770185914
CVX,2011-08-10,2011-08-12,1799.5515903437574,0.05838803696145085
KO,2011-08-10,2011-08-12,1530.8528255565868,0.049669868783292326
IBM,2011-08-12,2011-08-15,916.5463613231443,0.028467206184632207
CVX,2011-08-12,2011-08-15,1087.6239266563812,0.0337807402636673
DIS,2011-08-12,2011-08-15,543.7502245759978,0.01688845257494573
MSFT,2011-08-12,2011-08-15,524.2648410325705,0.016283251949724097
CSCO,2011-08-12,2011-08-15,77.46491361326105,0.0024059990426670186
GE,2011-08-15,2011-08-17,-320.6939574431508,-0.00977913144566503
WMT,2011-08-15,2011-08-17,1027.5116423371528,0.03133258728190226
PEP,2011-08-15,2011-08-17,540.8813877797993,0.016493451357124544
BA,2011-08-15,2011-08-17,-272.6043303970254,-0.008312702867445145
JNJ,2011-08-15,2011-08-17,-168.3148685489336,-0.005132535819891876
ABT,2011-08-17,2011-08-19,-704.7681067430219,-0.02139163360992395
IBM,2011-08-17,2011-08-19,-2678.588959029512,-0.08130247815547059
BA,2011-08-17,2011-08-19,-2459.15382523207,-0.07464202354858938
C,2011-08-17,2011-08-19,-3400.944157414313,-0.10322792794842775
MSFT,2011-08-17,2011-08-19,-1567.4282166122596,-0.047575720011762516
PEP,2011-08-19,2011-08-22,-75.4210375670215,-0.002441540276181699
BA,2011-08-19,2011-08-22,450.3033577840221,0.014577282678623408
BAC,2011-08-19,2011-08-22,-2443.2660122189823,-0.07909374581273175
INTC,2011-08-19,2011-08-22,303.4996480661444,0.00982493265094611
GE,2011-08-19,2011-08-22,40.39310239140543,0.001307611106263416
JNJ,2011-08-22,2011-08-24,1080.9074742058642,0.03536861796376972
PFE,2011-08-22,2011-08-24,1223.9718682338687,0.04004986036179482
CMCSA,2011-08-22,2011-08-24,1216.0243619754517,0.039789808211794536
BRK-B,2011-08-22,2011-08-24,1329.2756202851458,0.04349552825227683
SLB,2011-08-22,2011-08-24,1576.1484274971106,0.051573509219462174
DIS,2011-08-24,2011-08-26,-108.6701553532902,-0.003419411534521332
BAC,2011-08-24,2011-08-26,3495.0100876286133,0.1099738724772501
C,2011-08-24,2011-08-26,1551.198890551103,0.04880997327594729
CVX,2011-08-24,2011-08-26,-241.55968499785465,-0.007600909103991588
AMZN,2011-08-24,2011-08-26,905.5278363187333,0.028493309117595487
PG,2011-08-26,2011-08-29,272.1354187829431,0.008286123480919647
MCD,2011-08-26,2011-08-29,313.53237154952086,0.009546599841886307
KO,2011-08-26,2011-08-29,588.2392700909736,0.017911021101547835
C,2011-08-26,2011-08-29,1594.3937113863244,0.048546944858678234
JPM,2011-08-26,2011-08-29,1295.6689029679935,0.03945121354800071
AMZN,2011-08-29,2011-08-31,1412.697741792265,0.042027833455853834
ABT,2011-08-29,2011-08-31,851.4527577948738,0.025330765132200863
SLB,2011-08-29,2011-08-31,488.29108745592754,0.014526685995505172
XOM,2011-08-29,2011-08-31,-46.143967479517016,-0.0013727855031190755
ORCL,2011-08-29,2011-08-31,191.223259131803,0.005688902197494119
WMT,2011-08-31,2011-09-02,-747.6081962111264,-0.02188395078700752
GOOGL,2011-08-31,2011-09-02,-1020.5459402609736,-0.029873371166525314
COP,2011-08-31,2011-09-02,-819.1007178921417,-0.023976676407239453
ORCL,2011-08-31,2011-09-02,-1340.2364748831917,-0.03923133695957158
CVX,2011-08-31,2011-09-02,-840.5024837924168,-0.024603147858582947
DIS,2011-09-02,2011-09-06,-718.331764183009,-0.021600779297738643
C,2011-09-02,2011-09-06,-821.2429575054524,-0.02469539669469211
BRK-B,2011-09-02,2011-09-06,-479.8638314236568,-0.014429868248049345
V,2011-09-02,2011-09-06,118.77506681610714,0.003571656067982601
IBM,2011-09-02,2011-09-06,-372.76281441241053,-0.011209259684742264
INTC,2011-09-06,2011-09-08,602.2447394048122,0.018348848849169784
PG,2011-09-06,2011-09-08,278.06266428962533,0.008471854486749223
WFC,2011-09-06,2011-09-08,656.5854779650732,0.020004471444030284
SLB,2011-09-06,2011-09-08,507.23307600595405,0.015454087738700356
QCOM,2011-09-06,2011-09-08,1392.8842520001447,0.04243760207784947
GILD,2011-09-08,2011-09-12,-1298.6916062187975,-0.03879742281422549
AAPL,2011-09-08,2011-09-12,-368.8911721268386,-0.011020342865778843
WFC,2011-09-08,2011-09-12,-413.62561637982276,-0.012356750323663054
SLB,2011-09-08,2011-09-12,-1371.1644759921303,-0.04096249461240464
ABT,2011-09-08,2011-09-12,-606.9853582526378,-0.018133225373448837
GOOGL,2011-09-12,2011-09-14,117.80112993823566,0.0036024253149198066
HD,2011-09-12,2011-09-14,1201.485103779951,0.03674209539098053
CAT,2011-09-12,2011-09-14,615.4547939859449,0.018820956396650747
PG,2011-09-12,2011-09-14,268.9238083859862,0.008223842467574464
ABT,2011-09-12,2011-09-14,263.6233046562019,0.008061750059564343
PG,2011-09-14,2011-09-16,1057.9694997094975,0.03189734499530845
CVX,2011-09-14,2011-09-16,790.1548969214467,0.023822844943787478
CMCSA,2011-09-14,2011-09-16,1444.1867281620487,0.04354163548049311
BRK-B,2011-09-14,2011-09-16,1022.1325183240708,0.0308168747557077
JPM,2011-09-14,2011-09-16,635.5738994320596,0.019162291489276936
C,2011-09-16,2011-09-19,-1507.530874424143,-0.04420009505563694
IBM,2011-09-16,2011-09-19,27.25753361982867,0.0007991780449862158
XOM,2011-09-16,2011-09-19,-389.6795185525711,-0.011425219909899208
GILD,2011-09-16,2011-09-19,-306.26883553361074,-0.008979657977708637
MCD,2011-09-16,2011-09-19,200.3152794364125,0.005873149626582609
C,2011-09-19,2011-09-21,-2667.4436694448796,-0.07908118183496667
ABT,2011-09-19,2011-09-21,-163.99848371381935,-0.004862031037352845
GS,2011-09-19,2011-09-21,-2237.0907607136687,-0.0663225931463207
V,2011-09-19,2011-09-21,519.1175547319522,0.015390176823499396
BAC,2011-09-19,2011-09-21,-2949.742547232188,-0.08745044156548278
BRK-B,2011-09-21,2011-09-23,-408.95753513203783,-0.012659899712393851
AAPL,2011-09-21,2011-09-23,-617.0998337431829,-0.019103259719132598
INTC,2011-09-21,2011-09-23,321.7538757208854,0.009960378398175979
BAC,2011-09-21,2011-09-23,-360.92822068942223,-0.011173079561489364
AXP,2011-09-21,2011-09-23,-1193.0285702518124,-0.03693200578522693
PG,2011-09-23,2011-09-26,670.4754990584197,0.021036555698652464
WMT,2011-09-23,2011-09-26,643.7104041899164,0.0201967854016443
MS,2011-09-23,2011-09-26,2064.231507893661,0.06476645477978119
DIS,2011-09-23,2011-09-26,500.9269057196239,0.01571687074012875
C,2011-09-23,2011-09-26,2218.3253080350833,0.0696012366831384
PEP,2011-09-26,2011-09-28,41.880842580689716,0.0012680148091981395
BAC,2011-09-26,2011-09-28,-2208.325982715595,-0.06686088142150969
C,2011-09-26,2011-09-28,-990.555760253032,-0.029990785665723375
SLB,2011-09-26,2011-09-28,-1535.5128123402633,-0.046490301192237196
HD,2011-09-26,2011-09-28,-389.9323174233454,-0.011805874061037312
JPM,2011-09-28,2011-09-30,-369.81655071834064,-0.01153481014949547
CMCSA,2011-09-28,2011-09-30,-1578.1902799847358,-0.04922474460389318
V,2011-09-28,2011-09-30,-700.4340070117382,-0.021846975959937998
GE,2011-09-28,2011-09-30,-477.8328250519509,-0.014903905488992463
JNJ,2011-09-28,2011-09-30,222.26300755642188,0.006932522599216532
XOM,2011-09-30,2011-10-03,-642.7837954491899,-0.02040099327694245
BA,2011-09-30,2011-10-03,-1177.4202150750384,-0.03736955110247602
GOOGL,2011-09-30,2011-10-03,-1196.5995898043661,-0.03797827568090996
ABT,2011-09-30,2011-10-03,-611.676804058409,-0.01941370404108711
MSFT,2011-09-30,2011-10-03,-457.33062125010207,-0.014514987769632963
HD,2011-10-03,2011-10-05,1204.8772126084577,0.039208754185861006
QCOM,2011-10-03,2011-10-05,2011.168522538444,0.0654468450406127
ORCL,2011-10-03,2011-10-05,1725.4118418914616,0.05614783653484219
AXP,2011-10-03,2011-10-05,77.34582998437982,0.0025169648852380144
ABT,2011-10-03,2011-10-05,586.5393237618325,0.01908698739179508
GE,2011-10-05,2011-10-07,478.30231811630864,0.015043964392057978
MS,2011-10-05,2011-10-07,-530.0541045163098,-0.016671704844776602
CAT,2011-10-05,2011-10-07,538.8470191247355,0.016948266946320494
SLB,2011-10-05,2011-10-07,546.5200246714317,0.017189604731759556
BAC,2011-10-05,2011-10-07,709.2660727631859,0.02230842949949807
