symbol,entry_date,exit_date,exit_reason,entry_price,exit_price,pnl,return
ADBE,2021-07-30,2021-08-06,hold_expired,626.1829301147461,634.6624904785157,1477.4703253725343,0.013540069452573378
META,2021-08-02,2021-08-09,hold_expired,350.45832363330254,359.1403439060211,2582.3665776274424,0.024770478220405505
GOOGL,2021-08-04,2021-08-11,hold_expired,134.73036585522945,134.88833025727217,118.38828537487832,0.001165026169463415
AMD,2021-08-05,2021-08-12,hold_expired,110.60527805328368,107.11641316986085,-3182.0966340804453,-0.03155242629326971
NVDA,2021-08-06,2021-08-13,hold_expired,20.410576216239317,20.080021010825252,-1965.3424497179892,-0.01624428442888686
ADBE,2021-08-06,2021-08-13,hold_expired,635.2974704589843,636.7115142822266,240.15767161598723,0.002224223909189227
NKE,2021-08-09,2021-08-16,hold_expired,160.48984581231804,160.31073062455152,-120.64514126258675,-0.0011222840102740543
PFE,2021-08-11,2021-08-18,hold_expired,36.931968269253986,38.48193626209457,4410.41804711965,0.041941116746006396
AMD,2021-08-12,2021-08-19,hold_expired,107.22358316802978,104.26783969497681,-2816.615125116179,-0.02757549585355171
NVDA,2021-08-13,2021-08-20,hold_expired,20.100111076869094,20.913746757710147,6151.627247978336,0.04042941244121887
ADBE,2021-08-13,2021-08-20,hold_expired,637.3485443115234,645.5470601196289,1174.1800373284361,0.01286190402609399
NKE,2021-08-16,2021-08-23,hold_expired,160.4711215506391,158.4977461493231,-1202.008059034194,-0.012303618135385035
WFC,2021-08-18,2021-08-25,hold_expired,42.42328434470837,44.33211023345677,4604.217825935491,0.044971197261542695
AMD,2021-08-19,2021-08-26,hold_expired,104.37215969467162,107.95599713516236,3471.479894681659,0.0343275203940582
PFE,2021-08-20,2021-08-27,hold_expired,39.94211898684731,36.65702183254845,-13241.955143423691,-0.0822714777696434
NVDA,2021-08-20,2021-08-27,hold_expired,20.934670966572288,22.767662940188966,8450.924912156826,0.08750994828349279
NKE,2021-08-23,2021-08-30,hold_expired,158.6563231839897,156.84033523687802,-1105.2461367290057,-0.011452351287660808
COST,2021-08-25,2021-09-01,hold_expired,429.13408453356436,436.4863970056246,1723.9751872844934,0.017130572324616344
AMD,2021-08-26,2021-09-02,hold_expired,108.06400713729857,108.79557347488404,690.8738160638525,0.006760496458892701
PFE,2021-08-27,2021-09-03,hold_expired,36.69369719206075,37.283836586528516,2607.11581713767,0.016055601903076464
NVDA,2021-08-27,2021-09-03,hold_expired,22.790441992655385,22.774672474349778,-71.68774724096133,-0.0007358136499068904
NKE,2021-08-30,2021-09-07,hold_expired,156.9972540315122,151.64506824906377,-3293.342489507536,-0.03409732109947572
ADBE,2021-09-01,2021-09-09,hold_expired,670.1549173278809,665.8469026794434,-635.49766739631,-0.006429878431122922
AMD,2021-09-02,2021-09-10,hold_expired,108.90442347335815,105.20737213516236,-3410.0268902528433,-0.033956851524038094
NVDA,2021-09-03,2021-09-13,hold_expired,22.797458539856876,22.218098034896997,-4204.464174412388,-0.025457245769094538
WFC,2021-09-03,2021-09-13,hold_expired,39.70856168509504,41.19046837684656,3695.569125760081,0.037294392667649556
NKE,2021-09-07,2021-09-14,hold_expired,151.79678917777719,147.4327001847559,-2781.8703727697684,-0.028756135203288773
ADBE,2021-09-09,2021-09-16,hold_expired,666.5130826721191,662.8784169616699,-530.5445463525638,-0.005454755210315538
AMD,2021-09-10,2021-09-17,hold_expired,105.31263213729858,101.52921183013916,-3490.5400732961334,-0.03593510322888501
NVDA,2021-09-13,2021-09-20,hold_expired,22.24032724753821,21.36229310998872,-6472.069009218579,-0.039524334681127135
NOW,2021-09-13,2021-09-20,hold_expired,128.46219399261474,129.935,1125.6206178049829,0.01145711404765415
AAPL,2021-09-14,2021-09-21,hold_expired,145.23230889645004,141.07322713681344,-2764.286245005263,-0.028644327087044463
ADBE,2021-09-16,2021-09-23,hold_expired,663.5416269836426,627.686,-5216.724467522432,-0.05403824797946921
AMD,2021-09-17,2021-09-24,hold_expired,101.63079183197021,105.01746469497681,3176.5483293570137,0.03331345551852285
NVDA,2021-09-20,2021-09-27,hold_expired,21.38366608958851,21.159809682580985,-1680.8857665141695,-0.010515334745009158
NOW,2021-09-20,2021-09-27,hold_expired,130.065,126.67063415908814,-2503.680675956422,-0.026105146203143505
TSLA,2021-09-21,2021-09-28,hold_expired,247.96725968170165,259.803352432251,4535.003931383221,0.04772844917406135
ADBE,2021-09-23,2021-09-29,position_stop,628.314,580.3496946411133,-7137.907279375913,-0.07633970492283586
AMD,2021-09-24,2021-10-01,hold_expired,105.12253469467163,101.68912786483766,-3119.9085613595776,-0.03267051008434303
NVDA,2021-09-27,2021-10-04,hold_expired,21.180980077461,19.89903812998445,-9564.561890295301,-0.06057047137501197
NOW,2021-09-27,2021-10-04,hold_expired,126.7973681602478,124.43175629425049,-1768.3104258412989,-0.018664518832964744
MSFT,2021-09-28,2021-10-05,hold_expired,275.49176733100427,275.8729078027268,133.37069070039374,0.001379861457949766
ADBE,2021-09-29,2021-10-06,hold_expired,580.9303346557617,578.1707919616699,-439.6891732999122,-0.004751934146678024
AMD,2021-10-01,2021-10-08,hold_expired,101.7908678627014,104.56769274520875,2521.2369326302983,0.02726988128494452
NVDA,2021-10-04,2021-10-11,hold_expired,19.91894712261075,20.774788035207756,6523.105122365813,0.0429159687675783
NOW,2021-10-04,2021-10-11,hold_expired,124.55625029754638,124.40976412200928,-107.98363930431327,-0.0011840929313846839
TSLA,2021-10-05,2021-10-12,hold_expired,258.8627040710449,270.0215989074707,4027.268702989793,0.04310352422712671
COST,2021-10-06,2021-10-13,hold_expired,434.1175366252332,424.79084314843095,-1995.9957059984251,-0.021486562255269324
AMD,2021-10-08,2021-10-15,hold_expired,104.67231274795532,111.84405152511597,6420.97446240864,0.06850654761424224
NOW,2021-10-11,2021-10-18,hold_expired,124.53423612213135,134.4127557296753,12379.562731693215,0.07931569594932127
MRK,2021-10-11,2021-10-18,hold_expired,70.26415946952027,68.92452670175399,-1786.779931245671,-0.019079894755559205
