date,portfolio_value,cash,n_positions,leverage,drawdown,regime_score,crash_active,max_positions
2016-03-03,500237.52392147237,500237.52392147237,0,1.0,-0.013786555072051938,0.0,False,2
2016-03-04,500313.35357787635,500313.35357787635,0,1.0,-0.01363705763714621,0.0,False,2
2016-03-07,500389.1947290933,500389.1947290933,0,1.0,-0.013487537540327698,0.0,False,2
2016-03-08,500465.0473768657,500465.0473768657,0,1.0,-0.01333799477816124,0.0,False,2
2016-03-09,500540.9115229363,500540.9115229363,0,1.0,-0.013188429347210978,0.0,False,2
2016-03-10,500616.7871690481,500616.7871690481,0,1.0,-0.01303884124404061,0.0,False,2
2016-03-11,500692.6743169444,500692.6743169444,0,1.0,-0.01288923046521336,1.0,False,5
2016-03-14,500768.5729683686,500768.5729683686,0,1.0,-0.012739597007291773,1.0,False,5
2016-03-15,500844.4831250646,500844.4831250646,0,1.0,-0.012589940866838161,1.0,False,5
2016-03-16,500920.4047887764,500920.4047887764,0,1.0,-0.01244026204041403,1.0,False,5
2016-03-17,500996.33796124835,500996.33796124835,0,1.0,-0.01229056052458043,1.0,False,5
2016-03-18,501072.282644225,501072.282644225,0,1.0,-0.012140836315898068,1.0,False,5
2016-03-21,501148.2388394512,501148.2388394512,0,1.0,-0.01199108941092696,1.0,False,5
2016-03-22,501224.2065486721,501224.2065486721,0,1.0,-0.011841319806226549,1.0,False,5
2016-03-23,501300.1857736331,501300.1857736331,0,1.0,-0.011691527498355931,1.0,False,5
2016-03-24,501376.1765160797,501376.1765160797,0,1.0,-0.011541712483873518,1.0,False,5
2016-03-28,501452.1787777579,501452.1787777579,0,1.0,-0.011391874759337376,1.0,False,5
2016-03-29,501528.1925604139,501528.1925604139,0,1.0,-0.01124201432130488,1.0,False,5
2016-03-30,501604.2178657941,501604.2178657941,0,1.0,-0.011092131166332947,1.0,False,5
2016-03-31,501680.2546956452,501680.2546956452,0,1.0,-0.010942225290978038,1.0,False,5
2016-04-01,501752.3214623911,501752.3214623911,0,1.0,-0.010792296691795922,1.0,False,5
2016-04-04,501824.3985815853,501824.3985815853,0,1.0,-0.010650196220130272,1.0,False,5
2016-04-05,501896.4860547149,501896.4860547149,0,1.0,-0.010508075335619031,1.0,False,5
2016-04-06,501968.5838832672,501968.5838832672,0,1.0,-0.01036593403532997,1.0,False,5
2016-04-07,502040.6920687298,502040.6920687298,0,1.0,-0.010223772316330289,1.0,False,5
2016-04-08,502112.81061259046,502112.81061259046,0,1.0,-0.010081590175686843,1.0,False,5
2016-04-11,502184.9395163372,502184.9395163372,0,1.0,-0.009939387610466028,1.0,False,5
2016-04-12,502257.0787814582,502257.0787814582,0,1.0,-0.009797164617733896,1.0,False,5
2016-04-13,502329.2284094419,502329.2284094419,0,1.0,-0.009654921194555926,1.0,False,5
2016-04-14,502401.3884017769,502401.3884017769,0,1.0,-0.009512657337997363,1.0,False,5
2016-04-15,502473.5587599521,502473.5587599521,0,1.0,-0.009370373045122886,1.0,False,5
2016-04-18,502545.7394854565,502545.7394854565,0,1.0,-0.009228068312996822,1.0,False,5
2016-04-19,502617.9305797794,502617.9305797794,0,1.0,-0.009085743138683043,1.0,False,5
2016-04-20,502690.1320444103,502690.1320444103,0,1.0,-0.008943397519245076,1.0,False,5
2016-04-21,502762.3438808389,502762.3438808389,0,1.0,-0.008801031451745872,1.0,False,5
2016-04-22,502834.5660905551,502834.5660905551,0,1.0,-0.008658644933248043,1.0,False,5
2016-04-25,502906.79867504904,502906.79867504904,0,1.0,-0.008516237960813852,1.0,False,5
2016-04-26,502971.2646358111,402400.23414875055,1,1.0,-0.008373810531505103,1.0,False,5
2016-04-27,502051.51994412433,402458.0392617513,1,1.0,-0.010174219384999402,1.0,False,5
2016-04-28,500075.98942014057,402515.8526785024,1,1.0,-0.014069565490986022,1.0,False,5
2016-04-29,500075.18086992326,402573.6744001967,1,1.0,-0.014071176157161757,1.0,False,5
2016-05-02,501579.7978316527,402631.5044280272,1,1.0,-0.011104405074094145,1.0,False,5
2016-05-03,500014.88213086285,402689.3427631871,1,1.0,-0.01419010531729511,1.0,False,5
2016-05-04,500248.69587659626,402747.1894068697,1,1.0,-0.013729090283517398,1.0,False,5
2016-05-05,500443.41695700935,402805.0443602686,1,1.0,-0.013345157747000493,1.0,False,5
2016-05-06,501373.2963502855,501373.2963502855,0,1.0,-0.011496313393675229,1.0,False,5
2016-05-09,501439.1100222216,401195.5770327196,1,1.0,-0.011397553839117228,1.0,False,5
2016-05-10,503946.9076965386,401253.20909576956,1,1.0,-0.006436573084914941,1.0,False,5
2016-05-11,503891.2706565832,401310.8494377111,1,1.0,-0.006546293923120783,1.0,False,5
2016-05-12,502915.0220846969,401368.49805973354,1,1.0,-0.008471266631004571,1.0,False,5
2016-05-13,500664.1456322767,401426.15496302623,1,1.0,-0.012909536818010955,1.0,False,5
2016-05-16,501614.0689891109,401483.82014877885,1,1.0,-0.011036504542444028,1.0,False,5
