date,portfolio_value,cash,n_positions,leverage,drawdown,regime_score,crash_active,max_positions,compass_account,rattle_account,catalyst_account,efa_value,recycled_pct,n_compass,n_rattle,n_catalyst,n_efa
2021-11-30,1054574.2584206467,345684.4366174657,7,1.0,-0.0468329256986993,0.47301339927681124,False,4,592742.9224382357,229356.41365385358,232474.92232855735,0.0,0.2292904938821545,4,2,1,0
2021-12-01,1043567.0566241686,129385.95337311809,10,1.0,-0.056781528998857383,0.4526332401914729,False,4,695232.770794245,149880.3983171201,198453.88751280366,0.0,0.32500000000000007,4,5,1,0
2021-12-02,1056515.5659222757,177713.9170119386,8,1.0,-0.04506082252120508,0.4372149579898496,False,4,723396.9912832332,125839.23025131415,207279.34438772828,0.0,0.13678006487172342,4,3,1,0
2021-12-03,1054451.9144202021,142206.3444435629,9,1.0,-0.0469309080971212,0.42460527808730847,False,4,706789.9271241257,145523.33616665145,202138.65112942507,0.0,0.13701488820409208,4,4,1,0
2021-12-06,1057802.0374665973,88381.98411527056,10,0.9798632923307207,-0.04389900639998282,0.4273257108125584,False,4,682517.2711349236,178067.22426858227,197217.54206309136,0.0,0.140279698193791,4,5,1,0
2021-12-07,1079013.7867208133,12451.355351121834,9,0.8753030507095434,-0.024719727594555336,0.4381432061423627,False,4,663202.7703791476,115149.71115606272,188609.60747747295,112051.69770812988,0.1402627447592647,4,3,1,1
2021-12-08,1080464.4737997507,235715.31953380714,8,0.8763963684041521,-0.023399840842037598,0.44398688344749554,False,4,569642.6110364395,173955.81078966102,224602.718218157,112263.33375549316,0.14315722724789676,4,2,1,1
2021-12-09,1069483.7298552045,235740.10705748826,8,0.8803828162992064,-0.03335017590775967,0.43944267784925145,False,4,565333.9386523732,171085.68758927626,221732.0553042287,111332.04830932617,0.315065684392819,4,2,1,1
2021-12-10,1081621.3602043227,277264.9018838388,7,0.86509433900204,-0.022379054045390867,0.47098510056295645,False,4,592285.6325940159,147670.4641600065,230093.3444134352,111571.91903686523,0.31134485511712834,4,1,1,1
2021-12-13,1076817.8340603928,416167.1846746588,5,0.8586024579743292,-0.02672351310402752,0.4553537281390076,False,4,649945.3068763701,176871.05348673,250001.47369729256,0.0,0.31066263477064854,4,0,1,0
2021-12-14,1067197.9942130032,368922.861888102,7,0.8504447774360172,-0.0354325088053153,0.46232250228558464,False,4,621872.7801993049,204079.3927016743,241245.8213120239,0.0,0.3141865496377312,4,2,1,0
2021-12-15,1079090.0715072944,101572.26670178302,7,0.8115047546250928,-0.02467155444788216,0.48936225700284314,False,4,624195.2993732516,67242.63235460545,202070.48581825572,185581.65396118164,0.3109012385990189,4,1,1,1
2021-12-16,1076165.9406622904,102194.39844868463,7,0.8003300778482557,-0.02729270124887723,0.4825573822779717,False,4,621604.1125659546,66296.64558580815,203276.46134200972,184988.72116851807,0.21274612030599596,4,1,1,1
