date,portfolio_value,cash,n_positions,leverage,drawdown,regime_score,crash_active,max_positions,rebalance_today,n_trend_holdings
2023-02-23,654174.8071559846,143.28890647281324,1,1.0,-0.2809612730685108,1.0,False,4,False,1
2023-02-24,649469.2883762014,143.31483494160355,1,1.0,-0.2861333621392136,1.0,False,4,False,1
2023-02-27,652014.8895809684,143.34076810221202,1,1.0,-0.2833353547890531,1.0,False,4,True,1
2023-02-28,654984.8219977035,143.36670595548767,1,1.0,-0.2800709421551617,1.0,False,4,False,1
2023-03-01,658764.6916889347,143.39287606847955,1,1.0,-0.27591628410089275,1.0,False,4,False,1
2023-03-02,658379.0531757144,143.41905095855554,1,1.0,-0.27634016016122365,1.0,False,4,False,1
2023-03-03,665437.3964177604,143.44523062658766,1,1.0,-0.26858195504360816,1.0,False,4,False,1
2023-03-06,662081.7925820657,143.47141507344807,1,1.0,-0.2722702799114604,1.0,False,4,True,1
2023-03-07,650510.8187712922,143.4976043000091,1,1.0,-0.28498856028604375,1.0,False,4,False,1
2023-03-08,650202.2779029214,143.52379830714324,1,1.0,-0.285327694173503,1.0,False,4,False,1
2023-03-09,656604.9382264658,143.5499970957231,1,1.0,-0.2782901854577032,1.0,False,4,False,1
2023-03-10,670760.1473676588,143.57620066662153,1,1.0,-0.2627314328905038,1.0,False,4,False,1
2023-03-13,686149.6212631466,50.11543428926615,2,1.0,-0.24581602962425445,1.0,False,4,True,2
2023-03-14,682175.3881321495,50.12458234473165,2,1.0,-0.25018430835135363,1.0,False,4,False,2
2023-03-15,687499.8516275779,50.13373207008029,2,1.0,-0.24433190382280534,1.0,False,4,False,2
2023-03-16,688887.6499559144,50.1428834656169,2,1.0,-0.24280649995418765,1.0,False,4,False,2
2023-03-17,708945.4430140096,50.15203653164634,2,1.0,-0.2207598995683076,1.0,False,4,False,2
2023-03-20,709214.5812352138,50.161191268473544,2,1.0,-0.22046407525912637,1.0,False,4,True,2
2023-03-21,695829.9918274737,50.1703476764035,2,1.0,-0.23517579818937406,1.0,False,4,False,2
2023-03-22,707672.2558988832,50.17950575574126,2,1.0,-0.22215932808844488,1.0,False,4,False,2
2023-03-23,716543.3768292641,50.188665506791914,2,1.0,-0.21240860139882914,1.0,False,4,False,2
2023-03-24,708482.6087842663,50.19782692986061,2,1.0,-0.22126862560130628,1.0,False,4,False,2
2023-03-27,701923.5090472762,142.37081790611194,1,1.0,-0.22847808146016005,1.0,False,4,True,1
2023-03-28,707670.486222734,142.39680623001544,1,1.0,-0.22216129173381902,1.0,False,4,False,1
2023-03-29,704160.6280910459,142.42279929781932,1,1.0,-0.22601916580437922,1.0,False,4,False,1
2023-03-30,710524.6805475986,142.44879711038956,1,1.0,-0.21902409307403967,1.0,False,4,False,1
2023-03-31,706822.0195079206,142.47479966859225,1,1.0,-0.22309388720249337,1.0,False,4,False,1
2023-04-03,711913.2514115876,48.09489455874288,2,1.0,-0.21749783623144722,1.0,False,4,True,2
2023-04-04,725181.8189295229,48.10367378552741,2,1.0,-0.2029136241201983,1.0,False,4,False,2
2023-04-05,724604.2930957892,48.112454614869215,2,1.0,-0.2035484138634348,1.0,False,4,False,2
2023-04-06,719436.1839735582,48.121237047060816,2,1.0,-0.20922896088489729,1.0,False,4,False,2
2023-04-10,714111.9641656746,48.130021082394805,2,1.0,-0.2150810975669408,1.0,False,4,False,2
2023-04-11,718624.8507436719,48.13880672116381,2,1.0,-0.2101207409286672,1.0,False,4,True,2
2023-04-12,722134.646228302,48.14759396366053,2,1.0,-0.20626293572383847,1.0,False,4,False,2
2023-04-13,731892.1164124123,48.15638281017771,2,1.0,-0.19553797484276353,1.0,False,4,False,2
2023-04-14,718931.7438475774,48.16517326100814,2,1.0,-0.20978341819840135,1.0,False,4,False,2
2023-04-17,715729.3286284024,48.17396531644467,2,1.0,-0.21330336520571058,1.0,False,4,False,2
2023-04-18,718506.7062746629,140.45627466281536,1,1.0,-0.2102505960379737,1.0,False,4,True,1
2023-04-19,715074.0042676326,140.481913506603,1,1.0,-0.21402368601462451,1.0,False,4,False,1
2023-04-20,717889.6234322747,140.50755703049708,1,1.0,-0.21092888738528956,1.0,False,4,False,1
2023-04-21,710792.7832052354,140.53320523535186,1,1.0,-0.21872940662242743,1.0,False,4,False,1
2023-04-24,712952.7194416181,140.5588581220218,1,1.0,-0.21635530440563142,1.0,False,4,False,1
2023-04-25,716578.3310156914,45.859793767533404,2,1.0,-0.21237019565697607,1.0,False,4,True,2
2023-04-26,712681.7810067966,45.86816499972907,2,1.0,-0.21665308843317388,1.0,False,4,False,2
2023-04-27,712719.4083447058,45.8765377600068,2,1.0,-0.21661173020166524,1.0,False,4,False,2
2023-04-28,712913.7751021732,45.88491204864553,2,1.0,-0.21639809123428574,1.0,False,4,False,2
2023-05-01,709709.748090617,45.893415324013276,2,1.0,-0.21991980998940253,1.0,False,4,False,2
2023-05-02,723404.4000204559,45.90192017518642,2,1.0,-0.20486728064897097,1.0,False,4,True,2
2023-05-03,729537.5482210971,45.91042660245698,2,1.0,-0.19812600721615656,1.0,False,4,False,2
2023-05-04,734666.4415633903,45.91893460611704,2,1.0,-0.19248856437354203,1.0,False,4,False,2
2023-05-05,723172.2958371307,45.92744418645873,2,1.0,-0.20512239886000885,1.0,False,4,False,2
2023-05-08,724058.0927546602,45.93595534377423,2,1.0,-0.20414877177281587,1.0,False,4,False,2
2023-05-09,729187.5863690793,137.42989019749643,1,1.0,-0.19851066529174777,1.0,False,4,True,1
2023-05-10,728146.2053583558,137.45535835571954,1,1.0,-0.19965532571878636,1.0,False,4,False,1
2023-05-11,721897.9096642415,137.48083123363705,1,1.0,-0.2065231639688614,1.0,False,4,False,1
2023-05-12,720663.6668923282,137.5063088321236,1,1.0,-0.20787978666404314,1.0,False,4,False,1
2023-05-15,722206.5276865378,137.531791152054,1,1.0,-0.206183945293001,1.0,False,4,False,1
2023-05-16,713181.1284451865,137.55727819430322,1,1.0,-0.21610424758854546,1.0,False,4,True,1
2023-05-17,710712.6762910779,137.58276995974637,1,1.0,-0.2188174562732863,1.0,False,4,False,1
2023-05-18,701494.4741416934,137.60826644925876,1,1.0,-0.22894967862677176,1.0,False,4,False,1
2023-05-19,708437.1114135378,137.63376766371582,1,1.0,-0.22131865217128274,1.0,False,4,False,1
2023-05-22,706778.6551689898,137.65927360399317,1,1.0,-0.22314155073656106,1.0,False,4,False,1
2023-05-23,707627.1665347592,137.68478427096662,1,1.0,-0.22220890621045758,1.0,False,4,True,1
2023-05-24,701918.8485290356,137.71029966551208,1,1.0,-0.22848322590744086,1.0,False,4,False,1
2023-05-25,695169.1240491587,137.73581978850564,1,1.0,-0.23590221153603283,1.0,False,4,False,1
2023-05-26,697946.1942822629,137.76134464082358,1,1.0,-0.23284978411312163,1.0,False,4,False,1
2023-05-30,702266.0409788376,137.78687422334232,1,1.0,-0.22810160800643595,1.0,False,4,False,1
2023-05-31,703346.0806580486,137.81240853693848,1,1.0,-0.22691447824409508,1.0,False,4,True,1
2023-06-01,708900.1366510738,137.83783820756136,1,1.0,-0.2208097161218822,1.0,False,4,False,1
2023-06-02,698447.7250432004,137.86327257056394,1,1.0,-0.2322985245487471,1.0,False,4,False,1
2023-06-05,702651.8663575008,137.88871162681207,1,1.0,-0.22767752645798317,1.0,False,4,False,1
2023-06-06,703423.2800306213,137.91415537717177,1,1.0,-0.22682962415725852,1.0,False,4,False,1
2023-06-07,694976.4660625628,137.9396038225092,1,1.0,-0.2361139722242316,1.0,False,4,True,1
2023-06-08,704156.1703487118,137.96505696369076,1,1.0,-0.2260240649555491,1.0,False,4,False,1
2023-06-09,702266.2446194158,137.99051480158286,1,1.0,-0.22810138409525274,1.0,False,4,False,1
2023-06-12,701649.1948103448,138.0159773370522,1,1.0,-0.22877961677140354,1.0,False,4,False,1
2023-06-13,696480.7955491852,138.04144457096558,1,1.0,-0.234460482703588,1.0,False,4,False,1
2023-06-14,696866.5445623782,138.06691650418998,1,1.0,-0.234036485197203,1.0,False,4,True,1
2023-06-15,701764.9765178935,138.09239313759252,1,1.0,-0.22865235487771832,1.0,False,4,False,1
2023-06-16,700685.0467074799,138.11787447204054,1,1.0,-0.2298393638877152,1.0,False,4,False,1
